ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2610359,A,Menispermaceae,,Abuta,,"acutifolia",,"","Miers",Accepted,,M,WCSP (in review),742767,580032-1,"Ann. Mag. Nat. Hist.","III, 14: 259","","1864"
kew-2610361,A,Menispermaceae,,Abuta,,"antioquiana",,"","Krukoff & Barneby",Accepted,,M,WCSP (in review),742769,131-2,"Mem. New York Bot. Gard.","20(2): 24","","1970"
kew-2610362,A,Menispermaceae,,Abuta,,"aristeguietae",,"","Kurkoff & Barneby",Accepted,,M,WCSP (in review),742770,,"Mem. New York Bot. Gard.","20(2): 21","","1970"
kew-2610363,A,Menispermaceae,,Abuta,,"barbata",,"","Miers",Accepted,,M,WCSP (in review),742771,580036-1,"Ann. Mag. Nat. Hist.","III, 14: 258","","1864"
kew-2610365,A,Menispermaceae,,Abuta,,"brevifolia",,"","Krukoff & Moldenke",Accepted,,M,WCSP (in review),742773,134-2,"Bull. Torrey Bot. Club","69: 160","","1942"
kew-2610367,A,Menispermaceae,,Abuta,,"bullata",,"","Moldenke",Accepted,,M,WCSP (in review),742775,136-2,"Brittonia","3: 52","","1938"
kew-2610369,A,Menispermaceae,,Abuta,,"candollei",,"","Triana & Planch.",Accepted,,M,WCSP (in review),742777,580043-1,"Ann. Sci. Nat., Bot.","IV, 17: 47","","1862"
kew-2610370,A,Menispermaceae,,Abuta,,"chiapasensis",,"","Krukoff & Barneby",Accepted,,M,WCSP (in review),742778,139-2,"Mem. New York Bot. Gard.","20(2): 23","","1970"
kew-2610371,A,Menispermaceae,,Abuta,,"chocoensis",,"","Krukoff & Barneby",Accepted,,M,WCSP (in review),742779,140-2,"Phytologia","50: 96","","1982"
tro-50073752,A,Menispermaceae,,Abuta,,"cinnamonifolia",,"","Dwyer",Unresolved,,L,TRO,50073752,,"","","",""
