ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2633371,A,Monimiaceae,,Ambora,,"cymosa",,"","Tul.",Unresolved,,L,WCSP (in review),765524,581724-1,"Ann. Sci. Nat., Bot.","IV, 3: 31","","1855"
kew-2633372,A,Monimiaceae,,Ambora,,"elliptica",,"","Tul.",Unresolved,,L,WCSP (in review),765525,581725-1,"Ann. Sci. Nat., Bot.","IV, 3: 31","","1855"
kew-2633374,A,Monimiaceae,,Ambora,,"fruticosa",,"","Boivin ex Tul.",Unresolved,,L,WCSP (in review),765527,581727-1,"Ann. Sci. Nat., Bot.","IV, 3: 30","","1855"
kew-2633375,A,Monimiaceae,,Ambora,,"grandifolia",,"","R.Br. ex Baker",Unresolved,,L,WCSP (in review),765528,581728-1,"Fl. Mauritius","287","","1877"
kew-2633379,A,Monimiaceae,,Ambora,,"peltatus",,"","R.Br. ex Baker",Unresolved,,L,WCSP (in review),765532,581732-1,"Fl. Mauritius","288","","1877"
kew-2633381,A,Monimiaceae,,Ambora,,"quadrifida",,"","Poir.",Unresolved,,L,WCSP (in review),765534,581734-1,"Encycl.","7: 565","","1806"
kew-2633382,A,Monimiaceae,,Ambora,,"racemosa",,"","R.Br. ex Baker",Unresolved,,L,WCSP (in review),765535,581735-1,"Fl. Mauritius","288","","1877"
kew-2633384,A,Monimiaceae,,Ambora,,"sempervirens",,"","F.Dietr.",Unresolved,,L,WCSP (in review),765537,581737-1,"Vollst. Lex. Gärtn.","1: 342","","1802"
kew-2633385,A,Monimiaceae,,Ambora,,"sieberi",,"","Tul.",Unresolved,,L,WCSP (in review),765538,,"Arch. Mus. Hist. Nat.","8: 304","","1856"
kew-2633386,A,Monimiaceae,,Ambora,,"tambourissa",,"","Tul.",Unresolved,,L,WCSP (in review),765539,,"Arch. Mus. Hist. Nat.","8: 303","","1856"
kew-2633389,A,Monimiaceae,,Ambora,,"tomentosa",,"","Sieber ex Tul.",Unresolved,,L,WCSP (in review),765542,581743-1,"Ann. Sci. Nat., Bot.","IV, 3: 31","","1855"
kew-2666706,A,Monimiaceae,,Austromatthaea,,"elegans",,"","L.B.Sm.",Accepted,,M,WCSP (in review),798708,581766-1,"Contr. Queensland Herb.","6: 6","","1969"
kew-2701140,A,Monimiaceae,,Carnegieodoxa,,"eximia",,"","(Perkins) G.Perkins",Accepted,,M,WCSP (in review),832554,581775-1,"Nat. Pflanzenfam.","Nachtr. 4: 94","","1914"
tro-50295627,A,Monimiaceae,,Citriosma,,"discolor",,"","Poepp. & Endl.",Unresolved,,L,TRO,50295627,,"Nov. Gen. Sp. Pl.","2: 47","47","1838"
tro-50300791,A,Monimiaceae,,Citrosma,,"fragante",,"","Ruiz & Pav.",Unresolved,,L,TRO,50300791,,"Fl. Peruv. Prodr.","134","134","1794"
kew-2758680,A,Monimiaceae,,Decarydendron,,"helenae",,"","Danguy",Accepted,,M,WCSP (in review),888330,581863-1,"Bull. Mus. Natl. Hist. Nat.","34: 279","","1928"
kew-2758682,A,Monimiaceae,,Decarydendron,,"lamii",,"","Cavaco",Accepted,,M,WCSP (in review),888332,581864-1,"Blumea, Suppl.","4: 28","","1958"
