ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2641228,A,Moringaceae,,Anoma,,"cochinchinensis",,"","Lour.",Unresolved,,L,WCSP (in review),773332,584702-1,"Fl. Cochinch.","280","","1790"
kew-2641229,A,Moringaceae,,Anoma,,"moringa",,"","(L.) Lour.",Unresolved,,L,WCSP (in review),773333,584703-1,"Fl. Cochinch.","279","","1790"
kew-2857542,A,Moringaceae,,Hyperanthera,,"aptera",,"","(Gaertn.) Steud.",Unresolved,,L,WCSP (in review),984285,584705-1,"Nomencl. Bot.","ed. 2, 1: 786","","1840"
kew-2857543,A,Moringaceae,,Hyperanthera,,"arborea",,"","J.F.Gmel.",Unresolved,,L,WCSP (in review),984286,584706-1,"Syst. Nat.","408","","1791"
kew-2857544,A,Moringaceae,,Hyperanthera,,"borziana",,"","Chiov.",Unresolved,,L,WCSP (in review),984287,584707-1,"Fl. Somala","1: 85","","1929"
kew-2857545,A,Moringaceae,,Hyperanthera,,"cochinchinensis",,"","Willd.",Unresolved,,L,WCSP (in review),984288,584708-1,"Sp. Pl.","2: 537","","1799"
kew-2857546,A,Moringaceae,,Hyperanthera,,"decandra",,"","Willd.",Unresolved,,L,WCSP (in review),984289,584709-1,"Sp. Pl.","2: 535","","1799"
kew-2857547,A,Moringaceae,,Hyperanthera,,"dioica",,"","Vahl",Unresolved,,L,WCSP (in review),984290,1028698-2,"Symb. Bot.","1: 31","","1790"
kew-2857548,A,Moringaceae,,Hyperanthera,,"longituba",,"","Chiov.",Unresolved,,L,WCSP (in review),984291,584711-1,"Fl. Somala","1: 86","","1929"
kew-2857549,A,Moringaceae,,Hyperanthera,,"monodynama",,"","Vilm.",Unresolved,,L,WCSP (in review),984292,584712-1,"Summa Pl.","2: 248","","1789"
kew-2857552,A,Moringaceae,,Hyperanthera,,"pterygosperma",,"","(Gaertn.) Oken",Unresolved,,L,WCSP (in review),984295,584715-1,"Allg. Naturgesch.","3(3): 1727","","1841"
kew-2857553,A,Moringaceae,,Hyperanthera,,"rivae",,"","Chiov.",Unresolved,,L,WCSP (in review),984296,584716-1,"Fl. Somala","1: 85","","1929"
kew-2857554,A,Moringaceae,,Hyperanthera,,"ruspoliana",,"","(Engl.) Chiov.",Unresolved,,L,WCSP (in review),984297,584717-1,"Fl. Somala","2: 11","","1932"
kew-2857555,A,Moringaceae,,Hyperanthera,,"semidecandra",,"","Vahl",Unresolved,,L,WCSP (in review),984298,584718-1,"Symb. Bot.","1: 30","","1790"
kew-2501713,A,Moringaceae,,Moringa,,"amara",,"","Durin",Unresolved,,L,WCSP (in review),638199,584719-1,"Rev. Gén. Bot.","25: 469","","1913"
kew-2501711,A,Moringaceae,,Moringa,,"arabica",,"","(Lam.) Pers.",Unresolved,,L,WCSP (in review),638197,584721-1,"Syn. Pl.","1: 460","","1805"
tro-21400011,A,Moringaceae,,Moringa,,"arborea",,"","Verdc.",Accepted,,M,TRO,21400011,906717-1,"Kew Bull.","40: 15, f. 2/A–F","15","1985"
tro-21400012,A,Moringaceae,,Moringa,,"borziana",,"","Mattei",Accepted,,M,TRO,21400012,584722-1,"Bull. Ort. Bot. Palermo","7: 172","172","1908"
tro-50213479,A,Moringaceae,,Moringa,,"concanensis",,"","Nimmo",Accepted,,M,TRO,50213479,584723-1,"J. Grah. Cat. Bomb. Pl.","43","43",""
kew-2501706,A,Moringaceae,,Moringa,,"domestica",,"","Buch.-Ham.",Unresolved,,L,WCSP (in review),638192,584725-1,"Mem. Wern. Nat. Hist. Soc.","5: 371","","1826"
tro-21400002,A,Moringaceae,,Moringa,,"drouhardii",,"","Jum.",Accepted,,M,TRO,21400002,,"Ann. Mus. Colon. Marseille, sér. 4,","8: 15–19, f. 3–4","15","1930"
kew-2501704,A,Moringaceae,,Moringa,,"edulis",,"","Medik.",Unresolved,,L,WCSP (in review),638190,584727-1,"Theodora","48","","1786"
kew-2501703,A,Moringaceae,,Moringa,,"erecta",,"","Salisb.",Unresolved,,L,WCSP (in review),638189,584728-1,"Prodr. Stirp. Chap. Allerton","326","","1796"
tro-21400001,A,Moringaceae,,Moringa,,"hildebrandtii",,"","Engl.",Accepted,,M,TRO,21400001,584729-1,"Annuario Reale Ist. Bot. Roma","9: 250","250","1902"
tro-21400014,A,Moringaceae,,Moringa,,"longituba",,"","Engl.",Accepted,,M,TRO,21400014,584730-1,"Annuario Reale Ist. Bot. Roma","9: 251","251","1902"
kew-2501700,A,Moringaceae,,Moringa,,"moringa",,"","Small",Unresolved,,L,WCSP (in review),638186,584731-1,"Fl. S.E. U.S.","491","","1903"
kew-2501698,A,Moringaceae,,Moringa,,"myrepsica",,"","Thell.",Unresolved,,L,WCSP (in review),638184,584733-1,"Bull. Herb. Boissier","II, 8: 784","","1908"
kew-2501697,A,Moringaceae,,Moringa,,"nux-eben",,"","Desf.",Unresolved,,L,WCSP (in review),638183,584734-1,"Tabl. École Bot.","ed. 3: 303","","1829"
kew-2501727,A,Moringaceae,,Moringa,,"octogona",,"","Stokes",Unresolved,,L,WCSP (in review),638213,584735-1,"Bot. Mat. Med.","2: 466","","1812"
tro-21400003,A,Moringaceae,,Moringa,,"oleifera",,"","Lam.",Accepted,,M,TRO,21400003,584736-1,"Encycl.","1(2): 398","398","1785"
kew-2501707,A,Moringaceae,,Moringa,,"ovalifolia",,"","Dinter & A.Berger",Accepted,,M,WCSP (in review),638193,584737-1,"Neue Pfl. Südw.-Afr.","45","","1914"
tro-21400006,A,Moringaceae,,Moringa,,"ovalifolia",,"","Dinter & Berger",Unresolved,,L,TRO,21400006,,"","","",""
kew-2501737,A,Moringaceae,,Moringa,,"parvifolia",,"","Noronha",Unresolved,,L,WCSP (in review),638222,584739-1,"Verh. Batav. Genootsch. Kunsten","5(4): 20","","1790"
tro-50213481,A,Moringaceae,,Moringa,,"peregrina",,"","(Forssk.) Fiori",Accepted,,M,TRO,50213481,,"Agric. Colon.","4: 59","59","1911"
kew-2501734,A,Moringaceae,,Moringa,,"polygona",,"","DC.",Unresolved,,L,WCSP (in review),638220,584742-1,"Prodr.","2: 478","","1825"
tro-50213485,A,Moringaceae,,Moringa,,"pygmaea",,"","Verdc.",Accepted,,M,TRO,50213485,906718-1,"Kew Bull.","40(1): 18","18","1985"
