ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-100367159,B,Neckeraceae,,Alleniella,,"besseri",,"","(Lobarzewski) S. Olsson, Enroth & D. Quandt",Accepted,,M,TRO,100367159,,"Taxon","60(1): 46","46","2011"
tro-100367160,B,Neckeraceae,,Alleniella,,"brownii",,"","(Dixon) S. Olsson, Enroth & D. Quandt",Accepted,,M,TRO,100367160,,"Taxon","60(1): 46","46","2011"
tro-100367164,B,Neckeraceae,,Alleniella,,"chilensis",,"","(Schimp. ex Mont.) S. Olsson, Enroth & D. Quandt",Accepted,,M,TRO,100367164,,"Taxon","60(1): 46","46","2011"
tro-100367165,B,Neckeraceae,,Alleniella,,"complanata",,"","(Hedw.) S. Olsson, Enroth & D. Quandt",Accepted,,M,TRO,100367165,,"Taxon","60(1): 46","46","2011"
tro-100367166,B,Neckeraceae,,Alleniella,,"hymenodonta",,"","(Müll. Hal.) S. Olsson, Enroth & D. Quandt",Accepted,,M,TRO,100367166,,"Taxon","60(1): 46","46","2011"
tro-100367167,B,Neckeraceae,,Alleniella,,"remota",,"","(Bruch & Schimp. ex Müll. Hal.) S. Olsson, Enroth & D. Quandt",Accepted,,M,TRO,100367167,,"Taxon","60(1): 46","46","2011"
tro-100367168,B,Neckeraceae,,Alleniella,,"scabridens",,"","(Müll. Hal.) S. Olsson, Enroth & D. Quandt",Accepted,,M,TRO,100367168,,"Taxon","60(1): 46","46","2011"
tro-100367169,B,Neckeraceae,,Alleniella,,"submacrocarpa",,"","(Dixon) S. Olsson, Enroth & D. Quandt",Accepted,,M,TRO,100367169,,"Taxon","60(1): 46","46","2011"
tro-100367170,B,Neckeraceae,,Alleniella,,"urnigera",,"","(Müll. Hal.) S. Olsson, Enroth & D. Quandt",Accepted,,M,TRO,100367170,,"Taxon","60(1): 46","46","2011"
tro-100367171,B,Neckeraceae,,Alleniella,,"valentiniana",,"","(Besch.) S. Olsson, Enroth & D. Quandt",Accepted,,M,TRO,100367171,,"Taxon","60(1): 46","46","2011"
tro-35168245,B,Neckeraceae,,Arbuscula,,"alleghaniensis",,"","(Müll. Hal.) H.A. Crum, Steere & L.E. Anderson",Accepted,,M,TRO,35168245,,"Bryologist","67: 163","163","1964"
tro-35168243,B,Neckeraceae,,Arbuscula,,"alopecura",,"","(Hedw.) H.A. Crum, Steere & L.E. Anderson",Accepted,,M,TRO,35168243,,"Bryologist","67: 163","163","1964"
tro-35168244,B,Neckeraceae,,Arbuscula,,"leibergii",,"","(E. Britton) H.A. Crum, Steere & L.E. Anderson",Accepted,,M,TRO,35168244,,"Bryologist","67: 163","163","1964"
tro-35179424,B,Neckeraceae,,Baldwiniella,,"kealeensis",,"","(Reichardt) E.B. Bartram",Accepted,,M,TRO,35179424,,"Bernice P. Bishop Mus. Bull.","101: 179. 133","179","1933"
