ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2610183,A,Nyctaginaceae,,Abronia,×,"alba",,"","Eastw.",Accepted,,M,WCSP (in review),742591,51-2,"Proc. Calif. Acad. Sci.","III, 1: 97","","1898"
kew-2610185,A,Nyctaginaceae,,Abronia,,"alpina",,"","Brandegee",Accepted,,M,WCSP (in review),742593,53-2,"Bot. Gaz.","27: 456","","1899"
kew-2610186,A,Nyctaginaceae,,Abronia,,"ameliae",,"","Lundell",Accepted,,M,WCSP (in review),742594,54-2,"Wrightia","1: 54","","1945"
kew-2610187,A,Nyctaginaceae,,Abronia,,"ammophila",,"","Greene",Accepted,,M,WCSP (in review),742595,292697-2,"Pittonia","4: 22","","1900"
kew-2610189,A,Nyctaginaceae,,Abronia,,"angustifolia",,"","Greene",Accepted,,M,WCSP (in review),742597,,"Pittonia","3: 34","","1897"
kew-2610193,A,Nyctaginaceae,,Abronia,,"argillosa",,"","S.L.Welsh & Goodrich",Accepted,,M,WCSP (in review),742601,58-2,"Great Basin Naturalist","40: 78","","1880"
kew-2610197,A,Nyctaginaceae,,Abronia,,"bigelovii",,"","Heimerl",Accepted,,M,WCSP (in review),742605,62-2,"Smithsonian Misc. Collect.","52: 197","","1909"
kew-2610198,A,Nyctaginaceae,,Abronia,,"bolackii",,"","N.D.Atwood, S.L.Welsh & K.D.Heil",Accepted,,M,WCSP (in review),742606,20006836-1,"Novon","12: 167","","2002"
kew-2610202,A,Nyctaginaceae,,Abronia,,"carnea",,"","Greene",Accepted,,M,WCSP (in review),742610,65-2,"Pittonia","3: 343","","1898"
kew-2610203,A,Nyctaginaceae,,Abronia,,"carnea",var.,"wootonii","(Standl.) Govaerts",Accepted,,L,WCSP (in review),742611,982671-1,"World Checklist Seed Pl.","1(1): 6","","1995"
kew-2610207,A,Nyctaginaceae,,Abronia,,"crux-maltae",,"","Kellogg",Accepted,,M,WCSP (in review),742615,68-2,"Proc. Calif. Acad. Sci.","2: 16","","1863"
kew-2610209,A,Nyctaginaceae,,Abronia,,"elliptica",,"","A.Nelson",Accepted,,M,WCSP (in review),742617,326890-2,"Bull. Torrey Bot. Club","26: 7","","1899"
kew-2610213,A,Nyctaginaceae,,Abronia,,"fragrans",,"","Nutt. ex Hook.",Accepted,,M,WCSP (in review),742621,326889-2,"Hooker's J. Bot. Kew Gard. Misc.","5: 261","","1853"
kew-2610222,A,Nyctaginaceae,,Abronia,,"gracilis",,"","Benth.",Accepted,,M,WCSP (in review),742630,603987-1,"Bot. Voy. Sulphur","44","","1844"
kew-2610224,A,Nyctaginaceae,,Abronia,×,"insularis",,"","Standl.",Unresolved,,L,WCSP (in review),742632,81-2,"Contr. U. S. Natl. Herb.","12: 311","","1909"
tro-22500338,A,Nyctaginaceae,,Abronia,,"insularis",,"","Standl.",Accepted,,M,TRO,22500338,,"Contr. U.S. Natl. Herb.","12(8): 311–312, pl. 28","311","1909"
kew-2610226,A,Nyctaginaceae,,Abronia,,"latifolia",,"","Eschsch.",Accepted,,M,WCSP (in review),742634,326895-2,"Mém. Acad. Imp. Sci. St. Pétersbourg Hist. Acad.","5: 281","","1826"
kew-2610229,A,Nyctaginaceae,,Abronia,,"macrocarpa",,"","L.A.Galloway",Accepted,,M,WCSP (in review),742637,84-2,"Brittonia","24: 148","","1972"
kew-2610230,A,Nyctaginaceae,,Abronia,,"maritima",,"","Nutt. ex S.Watson",Accepted,,M,WCSP (in review),742638,326891-2,"Bot. California","2: 44","","1880"
kew-2610232,A,Nyctaginaceae,,Abronia,,"mellifera",,"","Douglas ex Hook.",Accepted,,M,WCSP (in review),742640,88-2,"Bot. Mag.","56: t. 2879","","1829"
kew-2610234,A,Nyctaginaceae,,Abronia,,"micrantha",,"","Torr.",Accepted,,M,WCSP (in review),742642,,"Finst. Fren. Rept. Senate Document","243: 92","","1843"
kew-2610237,A,Nyctaginaceae,,Abronia,×,"minor",,"","Standl.",Accepted,,M,WCSP (in review),742645,86-2,"Contr. U. S. Natl. Herb.","12: 313","","1909"
kew-2610238,A,Nyctaginaceae,,Abronia,,"nana",,"","S.Watson",Accepted,,M,WCSP (in review),742646,326896-2,"Proc. Amer. Acad. Arts","14: 294","","1879"
kew-2610240,A,Nyctaginaceae,,Abronia,,"nana",subsp.,"covillei","(Heimerl) Munz",Accepted,,L,WCSP (in review),742648,90-2,"Aliso","4: 90","","1958"
kew-2610241,A,Nyctaginaceae,,Abronia,,"nana",var.,"harrisii","S.L.Welsh",Accepted,,L,WCSP (in review),742649,271469-2,"Great Basin Naturalist","46: 258","","1986"
