ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2669761,A,Nymphaeaceae,,Barclaya,,"longifolia",,"","Wall.",Accepted,,M,WCSP (in review),801637,605259-1,"Trans. Linn. Soc. London","15: 442","","1827"
kew-2669762,A,Nymphaeaceae,,Barclaya,,"motleyi",,"","Hook.f.",Accepted,,L,WCSP (in review),801638,,"Trans. Linn. Soc. London","23: 157","","1862"
kew-2704663,A,Nymphaeaceae,,Castalia,,"acutiloba",,"","(DC.) Hand.-Mazz.",Unresolved,,L,WCSP (in review),835514,605285-1,"Symb. Sin.","7: 334","","1931"
kew-2704664,A,Nymphaeaceae,,Castalia,,"alba",,"","Wood",Unresolved,,L,WCSP (in review),835515,49250-2,"Cycl.","6: 2","","1806"
kew-2704673,A,Nymphaeaceae,,Castalia,,"capensis",,"","J.Schust.",Unresolved,,L,WCSP (in review),835523,605295-1,"Bull. Herb. Boissier","II, 7: 902","","1907"
kew-2704677,A,Nymphaeaceae,,Castalia,,"elegans",,"","(Hook.) Greene",Unresolved,,L,WCSP (in review),835527,49253-2,"Bull. Torrey Bot. Club","15: 85","","1888"
kew-2704678,A,Nymphaeaceae,,Castalia,,"flava",,"","(Leitn.) Greene",Unresolved,,L,WCSP (in review),835528,49254-2,"Bull. Torrey Bot. Club","15: 85","","1888"
kew-2704681,A,Nymphaeaceae,,Castalia,,"gracilis",,"","Rose",Unresolved,,L,WCSP (in review),835531,49256-2,"Contr. U. S. Natl. Herb.","10: 94","","1906"
kew-2704690,A,Nymphaeaceae,,Castalia,,"odorata",,"","Wood",Unresolved,,L,WCSP (in review),835540,49262-2,"Cycl.","6: 7","","1806"
kew-2704695,A,Nymphaeaceae,,Castalia,,"polysepala",,"","(Engelm.) Greene",Unresolved,,L,WCSP (in review),835545,,"Bull. Torrey Bot. Club","15: 84","","1888"
kew-2704696,A,Nymphaeaceae,,Castalia,,"pringlei",,"","Rose",Unresolved,,L,WCSP (in review),835546,49267-2,"Contr. U. S. Natl. Herb.","10: 94","","1906"
kew-2704699,A,Nymphaeaceae,,Castalia,,"pudica",,"","Salisb.",Unresolved,,L,WCSP (in review),835549,,"Ann. Bot. (König & Sims)","2: 72","","1806"
kew-2704704,A,Nymphaeaceae,,Castalia,,"rubrodisca",,"","(Morong) Greene",Unresolved,,L,WCSP (in review),835554,605325-1,"Bull. Torrey Bot. Club","15: 85","","1888"
kew-2704711,A,Nymphaeaceae,,Castalia,,"spiralis",,"","Cockerell",Unresolved,,L,WCSP (in review),835561,49273-2,"Muhlenbergia","3: 145","","1908"
kew-2704717,A,Nymphaeaceae,,Castalia,,"tuberosa",,"","Greene",Unresolved,,L,WCSP (in review),835567,49276-2,"Bull. Torrey Bot. Club","15: 85","","1888"
kew-2704719,A,Nymphaeaceae,,Castalia,,"zanzibarensis",,"","Britton",Unresolved,,L,WCSP (in review),835569,49277-2,"Fl. Bermuda","135","","1918"
kew-2805124,A,Nymphaeaceae,,Euryale,,"bonplandia",,"","Rojas Acosta",Unresolved,,L,WCSP (in review),932772,605347-1,"Cat. Hist. Nat. Corrientes","151","","1897"
kew-2805125,A,Nymphaeaceae,,Euryale,,"brasiliana",,"","Steud.",Unresolved,Invalid,L,WCSP (in review),932773,605348-1,"Nomencl. Bot.","ed. 2, 1: 617","","1840"
kew-2805126,A,Nymphaeaceae,,Euryale,,"cruziana",,"","Orb. ex Walp.",Unresolved,,L,WCSP (in review),932774,605349-1,"Ann. Bot. Syst.","1: 22","","1848"
kew-2805127,A,Nymphaeaceae,,Euryale,,"ferox",,"","Salisb.",Accepted,,M,WCSP (in review),932775,605350-1,"Ann. Bot. (König & Sims)","2: 74","","1805"
kew-2805129,A,Nymphaeaceae,,Euryale,,"policantha",,"","Rojas Acosta",Unresolved,,L,WCSP (in review),932777,605352-1,"Cat. Hist. Nat. Corrientes","65","","1897"
tro-22600174,A,Nymphaeaceae,,Hydrostemma,,"kunstleri",,"","(Ridl.) B. C. Stone",Accepted,,M,TRO,22600174,910766-1,"Gard. Bull. Singapore","35(1): 69–71","69","1982"
kew-2494525,A,Nymphaeaceae,,Leuconymphaea,,"berneriana",,"","Kuntze",Unresolved,,L,WCSP (in review),631094,605358-1,"Revis. Gen. Pl.","1: 12","","1891"
kew-2494508,A,Nymphaeaceae,,Leuconymphaea,,"candida",,"","Kuntze",Unresolved,,L,WCSP (in review),631077,139166-2,"Revis. Gen. Pl.","1: 12","","1891"
kew-2494533,A,Nymphaeaceae,,Leuconymphaea,,"coerulea",,"","Kuntze",Unresolved,,L,WCSP (in review),631102,605361-1,"Revis. Gen. Pl.","1: 12","","1891"
kew-2494532,A,Nymphaeaceae,,Leuconymphaea,,"elegans",,"","Kuntze",Unresolved,,L,WCSP (in review),631101,139167-2,"Revis. Gen. Pl.","1: 11","","1891"
kew-2494531,A,Nymphaeaceae,,Leuconymphaea,,"emirnensis",,"","Kuntze",Unresolved,,L,WCSP (in review),631100,605363-1,"Revis. Gen. Pl.","1: 12","","1891"
kew-2494530,A,Nymphaeaceae,,Leuconymphaea,,"flava",,"","Kuntze",Unresolved,,L,WCSP (in review),631099,139168-2,"Revis. Gen. Pl.","1: 11","","1891"
kew-2494528,A,Nymphaeaceae,,Leuconymphaea,,"gibertii",,"","Morong ex Conard",Unresolved,,L,WCSP (in review),631097,605366-1,"Waterlilies","211","","1905"
kew-2494535,A,Nymphaeaceae,,Leuconymphaea,,"gracilis",,"","Kuntze",Unresolved,,L,WCSP (in review),631104,139171-2,"Revis. Gen. Pl.","1: 11","","1891"
kew-2494524,A,Nymphaeaceae,,Leuconymphaea,,"intermedia",,"","Kuntze",Unresolved,,L,WCSP (in review),631093,605370-1,"Revis. Gen. Pl.","1: 12","","1891"
kew-2494519,A,Nymphaeaceae,,Leuconymphaea,,"odorata",,"","MacMill.",Unresolved,,L,WCSP (in review),631088,139175-2,"Metasp. Minnesota Valley","228","","1892"
kew-2494701,A,Nymphaeaceae,,Leuconymphaea,,"parkeriana",,"","Kuntze",Unresolved,,L,WCSP (in review),631267,139177-2,"Revis. Gen. Pl.","1: 11","","1891"
kew-2493760,A,Nymphaeaceae,,Leuconymphaea,,"reniformis",,"","MacMill.",Unresolved,,L,WCSP (in review),630452,,"Metasp. Minnesota Valley","228","","1892"
kew-2494231,A,Nymphaeaceae,,Leuconymphaea,,"reniformis",,"","Kuntze",Unresolved,,L,WCSP (in review),630801,139178-2,"Revis. Gen. Pl.","1: 11","","1891"
kew-2493759,A,Nymphaeaceae,,Leuconymphaea,,"rubra",,"","Kuntze",Unresolved,,L,WCSP (in review),630451,605380-1,"Revis. Gen. Pl.","1: 11","","1891"
kew-2493758,A,Nymphaeaceae,,Leuconymphaea,,"sansebariensis",,"","Kuntze",Unresolved,,L,WCSP (in review),630450,605381-1,"Revis. Gen. Pl.","1: 12","","1891"
kew-2493755,A,Nymphaeaceae,,Leuconymphaea,,"tuberosa",,"","Kuntze",Unresolved,,L,WCSP (in review),630447,139179-2,"Revis. Gen. Pl.","1: 12","","1891"
tro-50111240,A,Nymphaeaceae,,Nenuphar,,"lutea",,"","Hayne",Unresolved,,L,TRO,50111240,,"Getreue Darstell. Gew.","4: t. 36","t. 36","1816"
kew-2384542,A,Nymphaeaceae,,Nenuphar,,"luteum",,"","Link",Unresolved,,L,WCSP (in review),523235,605426-1,"Enum. Hort. Berol. Alt.","2: 70","","1822"
kew-2384541,A,Nymphaeaceae,,Nenuphar,,"minimum",,"","Link",Unresolved,,L,WCSP (in review),523234,605427-1,"Enum. Hort. Berol. Alt.","2: 70","","1822"
tro-22600214,A,Nymphaeaceae,,Nuphar,,"advena",,"","(Aiton) W.T. Aiton",Accepted,,M,TRO,22600214,30043701-2,"Hort. Kew. (ed. 2)","3: 295","295","1811"
tro-50041939,A,Nymphaeaceae,,Nuphar,,"advena",var.,"erthryaeum","(G.S. Mill. & Standl.) Standl.",Accepted,,L,TRO,50041939,,"Publ. Field Mus. Nat. Hist., Bot. Ser.","8(5): 310","310","1931"
tro-50227443,A,Nymphaeaceae,,Nuphar,,"advena",subsp.,"orbiculata","(Small) Padgett",Accepted,,L,TRO,50227443,1084887-2,"Sida","18(3): 824","824","1999"
tro-50041950,A,Nymphaeaceae,,Nuphar,,"bombycina",,"","(G.S. Mill. & Standl.) Standl.",Accepted,,M,TRO,50041950,605431-1,"Publ. Field Mus. Nat. Hist., Bot. Ser.","8(5): 311","311","1931"
kew-2384494,A,Nymphaeaceae,,Nuphar,,"centricavata",,"","J.Schust.",Unresolved,,L,WCSP (in review),523187,,"Allg. Bot. Z. Syst.","11: 145","","1905"
tro-50041944,A,Nymphaeaceae,,Nuphar,,"chartacea",,"","(G.S. Mill. & Standl.) Standl.",Accepted,,M,TRO,50041944,,"Publ. Field Mus. Nat. Hist., Bot. Ser.","8(5): 310","310","1931"
kew-2605037,A,Nymphaeaceae,,Nuphar,×,"fluminalis",,"","Shiga & Kadono",Unresolved,,L,WCSP (in review),738192,77085684-1,"Acta Phytotax. Geobot.","58: 49","","2007"
kew-2384515,A,Nymphaeaceae,,Nuphar,×,"hybrida",,"","(Peck) Bergmans",Unresolved,,L,WCSP (in review),523208,605437-1,"Vaste Pl. Rotsheesters","ed. 2: 548","","1939"
kew-2384520,A,Nymphaeaceae,,Nuphar,,"intermedia",,"","Ledeb.",Unresolved,,L,WCSP (in review),523213,605439-1,"Fl. Altaic.","2: 274","","1830"
tro-22600159,A,Nymphaeaceae,,Nuphar,×,"intermedia",,"","Ledeb.",Accepted,,M,TRO,22600159,,"","","",""
kew-2384519,A,Nymphaeaceae,,Nuphar,,"japonica",,"","DC.",Unresolved,,L,WCSP (in review),523212,605440-1,"Syst. Nat.","2: 62","","1821"
kew-2384517,A,Nymphaeaceae,,Nuphar,,"jurana",,"","Magnin",Unresolved,,L,WCSP (in review),523210,,"Ann. Soc. Bot. Lyon","19(Compt-Rend.): 5","","1894"
tro-50111186,A,Nymphaeaceae,,Nuphar,,"longifolia",,"","(Michx.) Sm.",Accepted,,M,TRO,50111186,,"Cycl.","Nuphar no. 5","","1819"
tro-50041943,A,Nymphaeaceae,,Nuphar,,"ludoviciana",,"","(G.S. Mill. & Standl.) Standl.",Accepted,,M,TRO,50041943,,"Publ. Field Mus. Nat. Hist., Bot. Ser.","8(5): 310","310","1931"
kew-2384511,A,Nymphaeaceae,,Nuphar,,"lutea",,"","(L.) Sm.",Accepted,,M,WCSP (in review),523204,30385379-2,"Fl. Graec. Prodr.","1: 361","","1809"
tro-22600196,A,Nymphaeaceae,,Nuphar,,"lutea",subsp.,"advena","(Aiton) Kartesz & Gandhi",Accepted,,L,TRO,22600196,281415-2,"Phytologia","67(6): 463","463","1989"
