ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2635933,A,Olacaceae,,Anacolosa,,"casearioides",,"","Cavaco & Keraudren",Accepted,,M,WCSP (in review),768069,607582-1,"Bull. Soc. Bot. France","110: 246","","1963"
kew-2635934,A,Olacaceae,,Anacolosa,,"cauliflora",,"","Sleumer",Accepted,,M,WCSP (in review),768070,607583-1,"Blumea","26: 148","","1980"
kew-2635936,A,Olacaceae,,Anacolosa,,"clarkii",,"","Pierre",Accepted,,M,WCSP (in review),768072,607585-1,"Fl. Forest. Cochinch.","t. 266","","1892"
kew-2635937,A,Olacaceae,,Anacolosa,,"crassipes",,"","(Kurz) Kurz",Accepted,,M,WCSP (in review),768073,,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist.","44(2): 153","","1875"
kew-2635938,A,Olacaceae,,Anacolosa,,"densiflora",,"","Bedd.",Accepted,,M,WCSP (in review),768074,607587-1,"Madras J. Lit. Sci.","III, 1: 38","","1864"
kew-2635939,A,Olacaceae,,Anacolosa,,"frutescens",,"","(Blume) Blume",Accepted,,M,WCSP (in review),768075,,"Mus. Bot.","1: 251","","1850"
kew-2635940,A,Olacaceae,,Anacolosa,,"glochidiiformis",,"","Kaneh. & Hatus.",Accepted,,M,WCSP (in review),768076,607589-1,"Bot. Mag. (Tokyo)","50: 601","","1936"
kew-2635941,A,Olacaceae,,Anacolosa,,"griffithii",,"","Mast.",Accepted,,M,WCSP (in review),768077,607590-1,"Fl. Brit. India","1: 580","","1875"
kew-2635943,A,Olacaceae,,Anacolosa,,"ilicoides",,"","Mast.",Accepted,,M,WCSP (in review),768079,607592-1,"Fl. Brit. India","1: 580","","1875"
kew-2635944,A,Olacaceae,,Anacolosa,,"insularis",,"","Christoph.",Accepted,,M,WCSP (in review),768080,607593-1,"Bernice P. Bishop Mus. Bull.","128: 80","","1935"
kew-2635945,A,Olacaceae,,Anacolosa,,"lutea",,"","Gillespie",Accepted,,M,WCSP (in review),768081,607594-1,"Bernice P. Bishop Mus. Bull.","91: 5","","1932"
kew-2635948,A,Olacaceae,,Anacolosa,,"papuana",,"","Schellenb.",Accepted,,M,WCSP (in review),768084,607598-1,"Bot. Jahrb. Syst.","58: 157","","1923"
kew-2635949,A,Olacaceae,,Anacolosa,,"pervilleana",,"","Baill.",Accepted,,M,WCSP (in review),768085,607599-1,"Adansonia","3: 119","","1862"
kew-2635950,A,Olacaceae,,Anacolosa,,"poilanei",,"","Gagnep.",Accepted,,M,WCSP (in review),768086,607600-1,"Notul. Syst. (Paris)","13: 131","","1947"
kew-2635953,A,Olacaceae,,Anacolosa,,"uncifera",,"","Louis & Boutique",Accepted,,M,WCSP (in review),768089,607602-1,"Bull. Jard. Bot. État","18: 256","","1947"
