ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
gcc-20987,A,Pandaceae,,Bennettia,,"alpina",,"","Gray",Unresolved,,L,TICA,8F881E53-2719-4943-8E40-26CB6A0180D0,184463-1,"Nat. Arr. Brit. Pl. ii. 440 (1821)","","440","1821"
kew-4673149,A,Pandaceae,,Bennettia,,"horsfieldii",,"","Miq.",Unresolved,,L,WCSP (in review),1030212,111484-1,"Fl. Ned. Ind.","1(2): 105","","1859"
kew-4673153,A,Pandaceae,,Bennettia,,"trinervia",,"","(K.Schum. & Lauterb.) Gilg ex Diels",Unresolved,,L,WCSP (in review),1030216,364984-1,"Bot. Jahrb. Syst.","57: 430","","1922"
kew-85205,A,Pandaceae,,Galearia,,"aristifera",,"","Miq.",Accepted,,H,WCSP,85205,349131-1,"Fl. Ned. Ind., Eerste Bijv.","471","","1861"
tro-13049880,A,Pandaceae,,Galearia,,"bonanni",,"","C. Presl",Unresolved,,L,TRO,13049880,495576-1,"Symb. Bot.","1: 50","50","1830"
kew-85208,A,Pandaceae,,Galearia,,"celebica",,"","Koord.",Accepted,,H,WCSP,85208,349133-1,"Meded. Lands Plantentuin","19: 584, 626","","1898"
tro-13049881,A,Pandaceae,,Galearia,,"cupani",,"","C. Presl",Unresolved,,L,TRO,13049881,495577-1,"Symb. Bot.","1: 50","50","1830"
kew-85215,A,Pandaceae,,Galearia,,"filiformis",,"","(Blume) Boerl.",Accepted,,H,WCSP,85215,,"Handl. Fl. Ned. Ind.","3: 282","","1890"
kew-85219,A,Pandaceae,,Galearia,,"fulva",,"","(Tul.) Miq.",Accepted,,H,WCSP,85219,349139-1,"Fl. Ned. Ind.","1(2): 430","","1859"
kew-85226,A,Pandaceae,,Galearia,,"maingayi",,"","Hook.f.",Accepted,,H,WCSP,85226,349146-1,"Fl. Brit. India","5: 377","","1887"
kew-85228,A,Pandaceae,,Galearia,,"modesta",,"","(Boiss.) Soják",Unresolved,,L,WCSP (in review),85228,495580-1,"Cas. Nár. Mus., Odd. Prír.","148: 78","","1979 publ. 1980"
kew-85233,A,Pandaceae,,Galearia,,"physodes",,"","(Steven ex M.Bieb.) Soják",Unresolved,,L,WCSP (in review),85233,495581-1,"Cas. Nár. Mus., Odd. Prír.","148: 78","","1979 publ. 1980"
kew-127056,A,Pandaceae,,Microdesmis,,"afrodecandra",,"","Floret, A.M.Louis & J.M.Reitsma",Accepted,,H,WCSP,127056,938094-1,"Bull. Mus. Natl. Hist. Nat., B, Adansonia","11: 104","","1989"
kew-127057,A,Pandaceae,,Microdesmis,,"camerunensis",,"","J.Léonard",Accepted,,H,WCSP,127057,352289-1,"Bull. Jard. Bot. État","31: 189","","1961"
kew-127058,A,Pandaceae,,Microdesmis,,"caseariifolia",,"","Planch. ex Hook.",Accepted,,H,WCSP,127058,352290-1,"Hooker's Icon. Pl.","8: 758","","1848"
kew-127061,A,Pandaceae,,Microdesmis,,"haumaniana",,"","J.Léonard",Accepted,,H,WCSP,127061,352291-1,"Bull. Jard. Bot. État","31: 185","","1961"
kew-127062,A,Pandaceae,,Microdesmis,,"kasaiensis",,"","J.Léonard",Accepted,,H,WCSP,127062,352292-1,"Bull. Jard. Bot. État","31: 182","","1961"
kew-127063,A,Pandaceae,,Microdesmis,,"keayana",,"","J.Léonard",Accepted,,H,WCSP,127063,352293-1,"Bull. Jard. Bot. État","31: 180","","1961"
kew-127064,A,Pandaceae,,Microdesmis,,"klainei",,"","J.Léonard",Accepted,,H,WCSP,127064,352294-1,"Bull. Jard. Bot. État","31: 189","","1961"
kew-127065,A,Pandaceae,,Microdesmis,,"magallanensis",,"","(Elmer) Steenis",Accepted,,H,WCSP,127065,352295-1,"Acta Bot. Neerl.","4: 480","","1955"
kew-127068,A,Pandaceae,,Microdesmis,,"pierlotiana",,"","J.Léonard",Accepted,,H,WCSP,127068,352298-1,"Bull. Jard. Bot. État","31: 171","","1961"
kew-127069,A,Pandaceae,,Microdesmis,,"puberula",,"","Hook.f. ex Planch.",Accepted,,H,WCSP,127069,,"Hooker's Icon. Pl.","8: t. 758","","1848"
kew-127072,A,Pandaceae,,Microdesmis,,"yafungana",,"","J.Léonard",Accepted,,H,WCSP,127072,352300-1,"Bull. Jard. Bot. État","31: 176","","1961"
kew-146837,A,Pandaceae,,Panda,,"oleosa",,"","Pierre",Accepted,,H,WCSP,146837,670661-1,"Bull. Mens. Soc. Linn. Paris","2: 1255","","1896"
