ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2621411,A,Passifloraceae,,Adenia,,"aculeata",,"","(Oliv.) Engl.",Accepted,,M,WCSP (in review),753773,674032-1,"Bot. Jahrb. Syst.","14: 375","","1891"
kew-2621412,A,Passifloraceae,,Adenia,,"aculeata",subsp.,"inermis","W.J.de Wilde",Accepted,,L,WCSP (in review),753774,888116-1,"Meded. Landbouwhoogeschool","71(18): 69","","1971"
kew-2621413,A,Passifloraceae,,Adenia,,"aculeata",subsp.,"manganiana","(Chiov.) W.J.de Wilde",Accepted,,L,WCSP (in review),753775,888117-1,"Meded. Landbouwhoogeschool","71(18): 68","","1971"
kew-2621415,A,Passifloraceae,,Adenia,,"acuta",,"","W.J.de Wilde",Accepted,,M,WCSP (in review),753777,674035-1,"Adansonia","n.s., 10: 126","","1970"
kew-2621416,A,Passifloraceae,,Adenia,,"adenifera",,"","W.J.de Wilde",Accepted,,M,WCSP (in review),753778,674036-1,"Meded. Landbouwhoogeschool","71(18): 242","","1971"
kew-2621421,A,Passifloraceae,,Adenia,,"antongilliana",,"","(Tul.) Schinz",Accepted,,M,WCSP (in review),753783,674041-1,"Bot. Jahrb. Syst.","15(33; 1): 3","","1892"
kew-2621422,A,Passifloraceae,,Adenia,,"apiculata",,"","(De Wild. & T.Durand) Engl.",Unresolved,,L,WCSP (in review),753784,674042-1,"Veg. Erde","9(III 2): 603","","1921"
kew-2621423,A,Passifloraceae,,Adenia,,"apiculata",,"","(Mast.) Chakrav.",Unresolved,,L,WCSP (in review),753785,,"Bull. Bot. Soc. Bengal","3: 67","","1949"
kew-2621426,A,Passifloraceae,,Adenia,,"ballyi",,"","Verdc.",Accepted,,M,WCSP (in review),753788,674048-1,"Bol. Soc. Brot.","II, 38: 102","","1964"
kew-2621427,A,Passifloraceae,,Adenia,,"banaensis",,"","C.Cusset",Accepted,,M,WCSP (in review),753789,674049-1,"in Fl. Camb., Laos & Vietn.","5: 138","","1967"
kew-2621428,A,Passifloraceae,,Adenia,,"bequaertii",,"","Robyns & Lawalrée",Accepted,,M,WCSP (in review),753790,674050-1,"Bull. Jard. Bot. État","18: 284","","1947"
kew-2621431,A,Passifloraceae,,Adenia,,"boivinii",,"","W.J.de Wilde",Accepted,,M,WCSP (in review),753793,674051-1,"Adansonia","n.s., 10: 124","","1970"
kew-2621436,A,Passifloraceae,,Adenia,,"cardiophylla",,"","(Mast.) Engl.",Accepted,,M,WCSP (in review),753798,674056-1,"Bot. Jahrb. Syst.","14: 376","","1891"
kew-2621441,A,Passifloraceae,,Adenia,,"cissampeloides",,"","(Planch. ex Hook.) Harms",Accepted,,L,WCSP (in review),753803,674060-1,"Nat. Pflanzenfam.","Nachtr. 1: 255","","1897"
kew-2621442,A,Passifloraceae,,Adenia,,"cladosepala",,"","(Baker) Harms",Accepted,,M,WCSP (in review),753804,674061-1,"Nat. Pflanzenfam.","Nachtr. 1: 256","","1897"
kew-2621445,A,Passifloraceae,,Adenia,,"cordifolia",,"","(Blume) Engl.",Accepted,,M,WCSP (in review),753807,674065-1,"Bot. Jahrb. Syst.","14: 376","","1891"
kew-2621447,A,Passifloraceae,,Adenia,,"craibii",,"","Chatterjee",Unresolved,,L,WCSP (in review),753809,674066-1,"Bull. Bot. Soc. Bengal","5: 139","","1952"
kew-2621448,A,Passifloraceae,,Adenia,,"crassa",,"","Merr.",Accepted,,M,WCSP (in review),753810,674067-1,"Philipp. J. Sci., C","10: 331","","1915"
kew-2621449,A,Passifloraceae,,Adenia,,"cynanchifolia",,"","(Benth.) Harms",Accepted,,M,WCSP (in review),753811,674068-1,"Nat. Pflanzenfam.","Nachtr. 1: 255","","1897"
kew-2621450,A,Passifloraceae,,Adenia,,"densiflora",,"","(Baker) Harms",Accepted,,M,WCSP (in review),753812,674069-1,"Nat. Pflanzenfam.","Nachtr. 1: 256","","1897"
kew-2621451,A,Passifloraceae,,Adenia,,"digitata",,"","(Harv.) Engl.",Accepted,,M,WCSP (in review),753813,674071-1,"Bot. Jahrb. Syst.","14: 375","","1891"
kew-2621452,A,Passifloraceae,,Adenia,,"dinklagei",,"","Hutch. & Dalziel",Accepted,,M,WCSP (in review),753814,674072-1,"Fl. W. Trop. Afr.","1: 174","","1927"
kew-2621454,A,Passifloraceae,,Adenia,,"dolichosiphon",,"","Harms",Accepted,,M,WCSP (in review),753816,674074-1,"Notizbl. Bot. Gart. Berlin-Dahlem","13: 425","","1936"
kew-2621455,A,Passifloraceae,,Adenia,,"ecirrosa",,"","W.J.de Wilde",Accepted,,M,WCSP (in review),753817,674075-1,"Adansonia","n.s., 10: 124","","1970"
