ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2641493,A,Pedaliaceae,,Anthadenia,,"sesamoides",,"","Lem.",Unresolved,,L,WCSP (in review),773597,675787-1,"Hortus Van Houtteanus","1(1): 4","","1845"
kew-2670722,A,Pedaliaceae,,Basonca,,"longiflora",,"","Raf.",Unresolved,,L,WCSP (in review),802593,675788-1,"Fl. Tellur.","4: 68","","1838"
kew-2711299,A,Pedaliaceae,,Ceratotheca,,"integribracteata",,"","Engl.",Accepted,,M,WCSP (in review),841887,675791-1,"Bot. Jahrb. Syst.","19: 156","","1894"
kew-2711300,A,Pedaliaceae,,Ceratotheca,,"integribracteata",subsp.,"elliptica","(Schinz) Ihlenf.",Accepted,,L,WCSP (in review),841888,,"Mitt. Bot. Staatssamml. München","6: 598","","1967"
kew-2711304,A,Pedaliaceae,,Ceratotheca,,"reniformis",,"","Abels",Accepted,,M,WCSP (in review),841892,675795-1,"Morphol., Geogr., Taxon., Dicerocaryum & Ceratotheca","177, 183","","1973"
kew-2711305,A,Pedaliaceae,,Ceratotheca,,"saxicola",,"","E.A.Bruce",Accepted,,M,WCSP (in review),841893,675796-1,"Bothalia","6: 233","","1951"
kew-2711306,A,Pedaliaceae,,Ceratotheca,,"sesamoides",,"","Endl.",Accepted,,M,WCSP (in review),841894,675797-1,"Linnaea","7: 5","","1832"
kew-2711311,A,Pedaliaceae,,Ceratotheca,,"triloba",,"","(Bernh.) Hook.f.",Accepted,,M,WCSP (in review),841899,,"Bot. Mag.","114: t. 6974","","1888"
tro-24300034,A,Pedaliaceae,,Ceratotheca,,"triloba",,"","(Bernh.) E. Mey.",Unresolved,,L,TRO,24300034,,"","","",""
kew-2606943,A,Pedaliaceae,,Dewinteria,,"petrophila",,"","(De Winter) van Jaarsv. & A.E.van Wyk",Accepted,,M,WCSP (in review),739972,77088530-1,"Bothalia","37: 198","","2007"
