ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-7487,A,Penaeaceae,,Alzatea,,"verticillata",,"","Ruiz & Pav.",Accepted,,H,WCSP,7487,159960-1,"Fl. Peruv.","3: 20","","1802"
kew-18521,A,Penaeaceae,,Axinandra,,"alata",,"","Baill.",Accepted,,H,WCSP,18521,552816-1,"Adansonia","12: 86","","1876"
kew-18522,A,Penaeaceae,,Axinandra,,"beccariana",,"","Baill.",Accepted,,H,WCSP,18522,552817-1,"Adansonia","12: 85","","1876"
kew-18524,A,Penaeaceae,,Axinandra,,"coriacea",,"","Baill.",Accepted,,H,WCSP,18524,552818-1,"Adansonia","12: 85","","1876"
kew-18526,A,Penaeaceae,,Axinandra,,"zeylanica",,"","Thwaites",Accepted,,H,WCSP,18526,552820-1,"Hooker's J. Bot. Kew Gard. Misc.","6: 67","","1854"
kew-2681385,A,Penaeaceae,,Brachysiphon,,"acutus",,"","(Thunb.) A.Juss.",Accepted,,M,WCSP (in review),813096,676042-1,"Ann. Sci. Nat., Bot.","III, 6: 25","","1846"
tro-24400029,A,Penaeaceae,,Brachysiphon,,"acutus",,"","Juss.",Unresolved,,L,TRO,24400029,,"","","",""
kew-2681386,A,Penaeaceae,,Brachysiphon,,"ericifolius",,"","A.Juss.",Unresolved,,L,WCSP (in review),813097,676043-1,"Ann. Sci. Nat., Bot.","III, 6: 24","","1846"
kew-2681387,A,Penaeaceae,,Brachysiphon,,"fucatus",,"","(L.) Gilg",Accepted,,M,WCSP (in review),813098,676044-1,"Bot. Jahrb. Syst.","18: 520","","1894"
kew-2681388,A,Penaeaceae,,Brachysiphon,,"imbricatus",,"","A.Juss.",Unresolved,,L,WCSP (in review),813099,676045-1,"Ann. Sci. Nat., Bot.","III, 6: 25","","1846"
kew-2681389,A,Penaeaceae,,Brachysiphon,,"microphyllus",,"","Rourke",Accepted,,M,WCSP (in review),813100,982630-1,"Nordic J. Bot.","15: 63","","1995"
kew-2681390,A,Penaeaceae,,Brachysiphon,,"mundii",,"","Sond.",Accepted,,M,WCSP (in review),813101,676046-1,"Linnaea","23: 102","","1850"
kew-2681391,A,Penaeaceae,,Brachysiphon,,"petraeus",,"","W.F.Barker",Unresolved,,L,WCSP (in review),813102,676047-1,"J. S. African Bot.","29: 167","","1963"
kew-2681392,A,Penaeaceae,,Brachysiphon,,"rupestris",,"","Sond.",Accepted,,M,WCSP (in review),813103,676048-1,"Linnaea","23: 101","","1850"
kew-2681393,A,Penaeaceae,,Brachysiphon,,"speciosus",,"","Sond.",Unresolved,,L,WCSP (in review),813104,676049-1,"Linnaea","23: 103","","1850"
kew-51888,A,Penaeaceae,,Crypteronia,,"borneensis",,"","J.T.Pereira & K.M.Wong",Accepted,,H,WCSP,51888,985709-1,"Sandakania","6: 45","","1995"
kew-51889,A,Penaeaceae,,Crypteronia,,"cumingii",,"","(Planch.) Endl.",Accepted,,H,WCSP,51889,552852-1,"Gen. Pl.","Suppl. 4(2): 39","","1848"
kew-51890,A,Penaeaceae,,Crypteronia,,"elegans",,"","J.T.Pereira & K.M.Wong",Accepted,,H,WCSP,51890,985710-1,"Sandakania","6: 48","","1995"
kew-51892,A,Penaeaceae,,Crypteronia,,"glabriflora",,"","J.T.Pereira & K.M.Wong",Accepted,,H,WCSP,51892,985711-1,"Sandakania","6: 50","","1995"
kew-51893,A,Penaeaceae,,Crypteronia,,"griffithii",,"","C.B.Clarke",Accepted,,H,WCSP,51893,552854-1,"Fl. Brit. India","2: 574","","1869"
kew-51899,A,Penaeaceae,,Crypteronia,,"macrophylla",,"","Beus.-Osinga",Accepted,,H,WCSP,51899,,"Blumea","22: 261","","1975"
kew-51900,A,Penaeaceae,,Crypteronia,,"paniculata",,"","Blume",Accepted,,H,WCSP,51900,552858-1,"Bijdr.","1151","","1827"
kew-51905,A,Penaeaceae,,Crypteronia,,"paniculata",var.,"pubescens","(Wall.) Kurz",Accepted,,L,WCSP,51905,,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist.","46(2): 86","","1877"
kew-55031,A,Penaeaceae,,Dactylocladus,,"stenostachys",,"","Oliv.",Accepted,,H,WCSP,55031,568142-1,"Hooker's Icon. Pl.","24: t. 2341","","1895"
kew-2789083,A,Penaeaceae,,Endonema,,"lateriflora",,"","(L.f.) Gilg",Accepted,,M,WCSP (in review),916911,676050-1,"Nat. Pflanzenfam.","3(6a): 210","","1894"
kew-2789084,A,Penaeaceae,,Endonema,,"retzioides",,"","Sond.",Accepted,,M,WCSP (in review),916912,676051-1,"Linnaea","23: 103","","1850"
kew-2826614,A,Penaeaceae,,Glischrocolla,,"formosa",,"","(Thunb.) R.Dahlgren",Accepted,,L,WCSP (in review),954037,676056-1,"Bot. Not.","120: 59","","1967"
tro-24400004,A,Penaeaceae,,Glischrocolla,,"formosa",,"","Dahlg.",Unresolved,,L,TRO,24400004,,"","","",""
kew-2398153,A,Penaeaceae,,Olinia,,"acuminata",,"","Klotzsch",Unresolved,,L,WCSP (in review),536659,553987-1,"Allg. Gartenzeitung","4: 27","","1836"
kew-2398348,A,Penaeaceae,,Olinia,,"capensis",,"","Klotzsch",Unresolved,,L,WCSP (in review),536853,553988-1,"Allg. Gartenzeitung","4: 27","","1836"
tro-23100010,A,Penaeaceae,,Olinia,,"emarginata",,"","Burtt Davy",Accepted,,M,TRO,23100010,,"","","",""
kew-2398327,A,Penaeaceae,,Olinia,,"huillensis",,"","Welw. ex A.Fern. & R.Fern.",Accepted,,M,WCSP (in review),536832,611224-1,"Mem. Junta Invest. Ultramar, 2 Ser.","28: 15","","1962"
kew-2896877,A,Penaeaceae,,Olinia,,"huillensis",subsp.,"discolor","(Mildbr.) Sebola",Accepted,,L,WCSP (in review),1019705,77098525-1,"Kew Bull.","64: 112","","2009"
kew-2398326,A,Penaeaceae,,Olinia,,"macrantha",,"","Engl.",Unresolved,,L,WCSP (in review),536831,832265-1,"Pflanzenw. Ost-Afrikas","A: 123","","1895"
kew-2398324,A,Penaeaceae,,Olinia,,"micrantha",,"","Decne.",Unresolved,,L,WCSP (in review),536829,553990-1,"Car. Affin. Olinées","14","","1877"
tro-23100011,A,Penaeaceae,,Olinia,,"radiata",,"","J. Hofmeyr & Phill.",Accepted,,M,TRO,23100011,,"","","",""
kew-2398322,A,Penaeaceae,,Olinia,,"rochetiana",,"","A.Juss.",Accepted,,M,WCSP (in review),536827,553991-1,"Compt. Rend. Hebd. Séances Acad. Sci.","22: 812","","1846"
kew-2398321,A,Penaeaceae,,Olinia,,"ruandensis",,"","Gilg",Accepted,,M,WCSP (in review),536826,611227-1,"Wiss. Erg. Deut. Zentr.-Afr. Exped., Bot.","2: 575","","1913"
kew-2398320,A,Penaeaceae,,Olinia,,"usambarensis",,"","Gilg ex Engl.",Accepted,,M,WCSP (in review),536825,832266-1,"Abh. Königl. Akad. Wiss. Berlin","1894: 63, 277","","1894"
kew-2398319,A,Penaeaceae,,Olinia,,"vanguerioides",,"","Baker f.",Accepted,,M,WCSP (in review),536824,611228-1,"J. Linn. Soc., Bot.","40: 72","","1911"
tro-23100014,A,Penaeaceae,,Olinia,,"ventosa",,"","(L.) Cufod.",Accepted,,L,TRO,23100014,,"","","",""
tro-24400006,A,Penaeaceae,,Penaea,,"acutifolia",,"","Juss.",Accepted,,M,TRO,24400006,,"","","",""
kew-2563070,A,Penaeaceae,,Penaea,,"affinis",,"","Endl.",Unresolved,,L,WCSP (in review),697867,676060-1,"Gen. Pl.","Suppl. 4(2): 73","","1848"
kew-2563071,A,Penaeaceae,,Penaea,,"barbata",,"","Endl.",Unresolved,,L,WCSP (in review),697868,676061-1,"Gen. Pl.","Suppl. 4(2): 73","","1848"
kew-2563072,A,Penaeaceae,,Penaea,,"bolusii",,"","Gand.",Unresolved,,L,WCSP (in review),697869,676062-1,"Bull. Soc. Bot. France","60: 26","","1913"
tro-24400007,A,Penaeaceae,,Penaea,,"cneorum",,"","Meerb.",Accepted,,M,TRO,24400007,,"","","",""
tro-24400011,A,Penaeaceae,,Penaea,,"cneorum",subsp.,"ovata","R. Dahlgren",Accepted,,L,TRO,24400011,,"","","",""
tro-50268599,A,Penaeaceae,,Penaea,,"dahlgrenii",,"","Rourke",Accepted,,M,TRO,50268599,937666-1,"S. African J. Bot.","55(4): 400–404, f. 1–4","400","1989"
kew-2562986,A,Penaeaceae,,Penaea,,"dregei",,"","Endl.",Unresolved,,L,WCSP (in review),697783,676066-1,"Gen. Pl.","Suppl. 4(2): 73","","1848"
kew-2562995,A,Penaeaceae,,Penaea,,"dubia",,"","Stephens",Unresolved,,L,WCSP (in review),697792,676067-1,"Bull. Misc. Inform. Kew","1910: 237","","1910"
kew-2562987,A,Penaeaceae,,Penaea,,"ericifolia",,"","Gilg",Unresolved,,L,WCSP (in review),697784,676068-1,"Bot. Jahrb. Syst.","18: 520","","1894"
kew-2562988,A,Penaeaceae,,Penaea,,"fucata",,"","L.",Unresolved,,L,WCSP (in review),697785,676076-1,"Mant. Pl.","199","","1767"
kew-2562993,A,Penaeaceae,,Penaea,,"fucata",,"","Zeyh. ex A.DC.",Unresolved,,L,WCSP (in review),697790,676074-1,"Prodr.","14: 489","","1856"
kew-2562966,A,Penaeaceae,,Penaea,,"fuscata",,"","Steud.",Unresolved,,L,WCSP (in review),697763,676078-1,"Nomencl. Bot.","1: 603","","1821"
kew-2562969,A,Penaeaceae,,Penaea,,"imbricata",,"","Eckl. ex A.DC.",Unresolved,,L,WCSP (in review),697766,676081-1,"Prodr.","14: 484","","1856"
kew-2562970,A,Penaeaceae,,Penaea,,"intermedia",,"","Endl.",Unresolved,,L,WCSP (in review),697767,676082-1,"Gen. Pl.","Suppl. 4(2): 73","","1848"
kew-2562974,A,Penaeaceae,,Penaea,,"macrosiphon",,"","Gand.",Unresolved,,L,WCSP (in review),697771,676086-1,"Bull. Soc. Bot. France","60: 420","","1913"
tro-24400014,A,Penaeaceae,,Penaea,,"mucronata",,"","L.",Accepted,,M,TRO,24400014,676088-1,"Sp. Pl.","1: 111–112","111","1753"
kew-2562977,A,Penaeaceae,,Penaea,,"myrtifolia",,"","Endl.",Unresolved,,L,WCSP (in review),697774,676089-1,"Gen. Pl.","Suppl. 4(2): 73","","1848"
kew-2562978,A,Penaeaceae,,Penaea,,"myrtilloides",,"","A.DC.",Unresolved,,L,WCSP (in review),697775,676090-1,"Prodr.","14: 485","","1856"
kew-2563000,A,Penaeaceae,,Penaea,,"myrtilloides",,"","Thunb.",Unresolved,,L,WCSP (in review),697797,676091-1,"Prodr. Pl. Cap.","30","","1794"
kew-2562971,A,Penaeaceae,,Penaea,,"myrtoides",,"","L.f.",Unresolved,,L,WCSP (in review),697768,676092-1,"Suppl. Pl.","122","","1782"
kew-2563012,A,Penaeaceae,,Penaea,,"punicea",,"","Steud.",Unresolved,,L,WCSP (in review),697809,,"Nomencl. Bot.","ed. 2, 2: 297","","1841"
kew-2563015,A,Penaeaceae,,Penaea,,"scandens",,"","Lour.",Unresolved,,L,WCSP (in review),697812,676098-1,"Fl. Cochinch.","73","","1790"
kew-2563025,A,Penaeaceae,,Penaea,,"squamosa",,"","L.",Unresolved,,L,WCSP (in review),697822,676100-1,"Sp. Pl.","112","","1753"
kew-2563018,A,Penaeaceae,,Penaea,,"tetragona",,"","P.J.Bergius",Unresolved,,L,WCSP (in review),697815,676101-1,"Descr. Pl. Cap.","36","","1767"
kew-2563010,A,Penaeaceae,,Penaea,,"tomentosa",,"","Thunb.",Unresolved,,L,WCSP (in review),697807,676102-1,"Prodr. Pl. Cap.","30","","1794"
kew-158645,A,Penaeaceae,,Plectronia,,"blepharopetala",,"","K.Schum. ex Engl.",Unresolved,,L,WCSP,158645,928196-1,"Abh. Königl. Preuss. Akad. Wiss., Phys.-Math. Cl.","1894: 61","","1895"
