ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-50135029,A,Phrymaceae,,Berendtia,,"primuloides",,"","Göpp.",Unresolved,,L,TRO,50135029,,"","","","1845"
kew-2674788,A,Phrymaceae,,Berendtiella,,"coulteri",,"","(A.Gray) Thieret",Accepted,,M,WCSP (in review),806618,31589-2,"Ceiba","4: 305","","1955"
tro-50130637,A,Phrymaceae,,Berendtiella,,"ghiesgreghtii",,"","A. Gray",Unresolved,,L,TRO,50130637,,"","","",""
kew-2674789,A,Phrymaceae,,Berendtiella,,"levigata",,"","(B.L.Rob. & Greenm.) Thieret",Accepted,,M,WCSP (in review),806619,31590-2,"Ceiba","4: 305","","1955"
kew-2674791,A,Phrymaceae,,Berendtiella,,"spinulosa",,"","(S.Watson) Thieret",Accepted,,M,WCSP (in review),806621,799739-1,"Ceiba","4: 305","","1955"
kew-2770885,A,Phrymaceae,,Diplacus,,"arachnoideus",,"","Greene",Unresolved,,L,WCSP (in review),899008,802105-1,"Bull. Calif. Acad. Sci.","1(4): 210","","1885"
kew-2770886,A,Phrymaceae,,Diplacus,,"aridus",,"","Abrams",Unresolved,,L,WCSP (in review),899009,81392-2,"Bull. Torrey Bot. Club","32: 540","","1905"
kew-2770887,A,Phrymaceae,,Diplacus,,"aurantiacus",,"","(Curtis) Jeps.",Unresolved,,L,WCSP (in review),899010,802107-1,"Man. Fl. Pl. Calif.","918","","1925"
kew-2770889,A,Phrymaceae,,Diplacus,,"aurantius",,"","G.Don",Unresolved,,L,WCSP (in review),899012,802109-1,"Hort. Brit.","ed. 3: 516","","1839"
kew-2770892,A,Phrymaceae,,Diplacus,,"cardinalis",,"","(Douglas ex Benth.) Douglas",Unresolved,,L,WCSP (in review),899015,,"Rev. Hort.","IV, 6: 37","","1857"
kew-2770894,A,Phrymaceae,,Diplacus,,"fasciculatus",,"","(Pennell) McMinn",Unresolved,,L,WCSP (in review),899017,81397-2,"Madroño","11: 70","","1951"
kew-2770895,A,Phrymaceae,,Diplacus,,"glutinosus",,"","(J.C.Wendl.) Nutt.",Unresolved,,L,WCSP (in review),899018,802115-1,"Ann. Nat. Hist.","1: 137","","1838"
kew-2770897,A,Phrymaceae,,Diplacus,,"glutinosus",var.,"latifolius","(Nutt.) Greene",Unresolved,,L,WCSP (in review),899020,81398-2,"Pittonia","2: 155","","1890"
kew-2770899,A,Phrymaceae,,Diplacus,,"glutinosus",var.,"puniceus","(Nutt.) Benth.",Unresolved,,L,WCSP (in review),899022,81400-2,"Prodr.","10: 368","","1846"
kew-2770901,A,Phrymaceae,,Diplacus,,"godronii",,"","Verschaff. ex E.Morren",Unresolved,,L,WCSP (in review),899024,802116-1,"Belgique Hort.","13: 4","","1863"
kew-2770906,A,Phrymaceae,,Diplacus,×,"linearis",,"","(Benth.) Greene",Unresolved,,L,WCSP (in review),899029,81406-2,"Pittonia","2: 156","","1890"
kew-2770909,A,Phrymaceae,,Diplacus,,"longiflorus",var.,"calycinus","(Eastw.) Jeps.",Unresolved,,L,WCSP (in review),899032,81407-2,"Man. Fl. Pl. Calif.","919","","1925"
