ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35153188,B,Pilotrichaceae,,Callicostella,,"africana",,"","Mitt.",Accepted,,M,TRO,35153188,,"Trans. Linn. Soc. London","23: 53. pl. 5: f. 9","53","1860"
tro-35161743,B,Pilotrichaceae,,Callicostella,,"aiomensis",,"","E.B. Bartram",Accepted,,M,TRO,35161743,,"Brittonia","13: 373","373","1961"
tro-35153191,B,Pilotrichaceae,,Callicostella,,"apophysata",,"","(Hampe) A. Jaeger",Accepted,,M,TRO,35153191,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1875–76 352 (Gen. Sp. Musc. 2: 256)","256)","1877"
tro-35153193,B,Pilotrichaceae,,Callicostella,,"aquatica",,"","E.B. Bartram",Accepted,,M,TRO,35153193,,"Bryologist","42: 155. f. 4","155","1939"
tro-35153194,B,Pilotrichaceae,,Callicostella,,"armata",,"","Herzog",Accepted,,M,TRO,35153194,,"Hedwigia","57: 238","238","1916"
tro-35153195,B,Pilotrichaceae,,Callicostella,,"ascensionis",,"","(Müll. Hal.) Broth.",Accepted,,M,TRO,35153195,,"Nat. Pflanzenfam.","I(3): 938","938","1907"
tro-35153196,B,Pilotrichaceae,,Callicostella,,"aspera",,"","(Mitt.) A. Jaeger",Accepted,,M,TRO,35153196,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1875–76: 354 (Gen. Sp. Musc. 2: 258)","354 ","1877"
tro-35153197,B,Pilotrichaceae,,Callicostella,,"asprella",,"","(Hampe) A. Jaeger",Accepted,,M,TRO,35153197,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1877–78: 510 (Gen. Sp. Musc. 2: 774)","510 ","1880"
tro-35153198,B,Pilotrichaceae,,Callicostella,,"attenuata",,"","(Müll. Hal.) Broth.",Accepted,,M,TRO,35153198,,"Nat. Pflanzenfam.","I(3): 937","937","1907"
tro-35153199,B,Pilotrichaceae,,Callicostella,,"baileyi",,"","(Broth.) Broth.",Accepted,,M,TRO,35153199,,"Nat. Pflanzenfam.","I(3): 938","938","1907"
tro-35153201,B,Pilotrichaceae,,Callicostella,,"beccariana",,"","(Hampe) A. Jaeger",Accepted,,M,TRO,35153201,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1875–76: 355 (Gen. Sp. Musc. 2: 259)","355 ","1877"
tro-35153202,B,Pilotrichaceae,,Callicostella,,"belangeriana",,"","(Besch.) A. Jaeger",Accepted,,M,TRO,35153202,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1875–76: 353 (Gen. Sp. Musc. 2: 257)","353 ","1877"
