ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35102212,B,Plagiotheciaceae,,Acrocladiopsis,,"draytonii",,"","(Sull.) Cardot",Accepted,,M,TRO,35102212,,"Rev. Bryol.","41: 9","9","1914"
tro-35102213,B,Plagiotheciaceae,,Acrocladiopsis,,"eudorae",,"","(Sull.) Cardot",Accepted,,M,TRO,35102213,,"Rev. Bryol.","41: 9","9","1914"
tro-35190473,B,Plagiotheciaceae,,Bardunovia,,"baicalensis",,"","Ignatov & Ochyra",Accepted,,M,TRO,35190473,,"Arctoa","5: 54. f. 22, 24, 26–29","54","1995"
tro-35187071,B,Plagiotheciaceae,,Isocladiella,,"flagellifera",,"","(Sakurai) S.H. Lin",Accepted,,M,TRO,35187071,,"Yushania","3(2): 13","13","1986"
tro-35186482,B,Plagiotheciaceae,,Isocladiella,,"surcularis",,"","(Dixon) B.C. Tan & Mohamed",Accepted,,M,TRO,35186482,,"Cryptog. Bryol. Lichénol.","11: 357","357","1990"
tro-35184158,B,Plagiotheciaceae,,Isopterygiopsis,,"alpicola",,"","(Lindb. ex Lindb. & Arnell) Hedenäs",Accepted,,M,TRO,35184158,,"J. Bryol.","15: 495","495","1988"
tro-35168895,B,Plagiotheciaceae,,Isopterygiopsis,,"muelleriana",,"","(Schimp.) Z. Iwats.",Accepted,,M,TRO,35168895,,"J. Hattori Bot. Lab.","33: 379","379","1970"
tro-35183633,B,Plagiotheciaceae,,Isopterygiopsis,,"pulchella",,"","(Hedw.) Z. Iwats.",Accepted,,M,TRO,35183633,,"J. Hattori Bot. Lab.","63: 450","450","1987"
tro-35109102,B,Plagiotheciaceae,,Pilaisaea,,"radicans",,"","Bach. Pyl.",Unresolved,,L,TRO,35109102,,"J. Bot. Agric.","4(3): 75. 33 f. 2","75","1815"
tro-35217025,B,Plagiotheciaceae,,Plagiotheciella,,"latebricola",f.,"gemmascens","(Ryan & I. Hagen) Podp.",Unresolved,,L,TRO,35217025,,"Consp. Musc. Eur.","682","682","1954"
tro-35109853,B,Plagiotheciaceae,,Plagiotheciella,,"passaicensis",,"","(Austin) M. Fleisch.",Accepted,,M,TRO,35109853,,"Nat. Pflanzenfam. (ed. 2)","11: 466","466","1925"
tro-35217027,B,Plagiotheciaceae,,Plagiotheciella,,"pilifera",f.,"brevipila","(Schimp.) Podp.",Unresolved,,L,TRO,35217027,,"Consp. Musc. Eur.","683","683","1954"
tro-35109872,B,Plagiotheciaceae,,Plagiothecium,,"acuminatum",,"","Venturi",Unresolved,,L,TRO,35109872,,"Atti Soc. Crittog. Ital.","3: 170","170","1884"
tro-35109873,B,Plagiotheciaceae,,Plagiothecium,,"albescens",,"","(Warnst.) Jedl.",Accepted,,M,TRO,35109873,,"Spisy PYír. Fak. Masarykovy Univ.","318: 6","6","1950"
tro-35109875,B,Plagiotheciaceae,,Plagiothecium,,"albulum",,"","(Müll. Hal.) Kindb.",Accepted,,M,TRO,35109875,,"Eur. N. Amer. Bryin.","1: 73","73","1897"
tro-35109877,B,Plagiotheciaceae,,Plagiothecium,,"alpinum",,"","(Kern) Jedl.",Accepted,,M,TRO,35109877,,"Spisy PYír. Fak. Masarykovy Univ.","318: 5","5","1950"
tro-35109885,B,Plagiotheciaceae,,Plagiothecium,,"aptychopsis",,"","(Müll. Hal.) Kindb.",Accepted,,M,TRO,35109885,,"Enum. Bryin. Exot., suppl. 2,","102","102","1891"
tro-35109886,B,Plagiotheciaceae,,Plagiothecium,,"araucarieti",,"","Broth.",Unresolved,,L,TRO,35109886,,"Ergebn. Bot. Exped. Südbras., Musci","338","338","1924"
tro-100374971,B,Plagiotheciaceae,,Plagiothecium,,"argentatum",,"","(Mitt.) Q. Zuo",Accepted,,M,TRO,100374971,,"J. Bryol.","33(3): 227","227","2011"
tro-35109889,B,Plagiotheciaceae,,Plagiothecium,,"arnoldii",,"","Milde",Unresolved,,L,TRO,35109889,,"Hedwigia","8: 51","51","1869"
tro-35109893,B,Plagiotheciaceae,,Plagiothecium,,"auritum",,"","(Kern) Jedl.",Accepted,,M,TRO,35109893,,"Spisy PYír. Fak. Masarykovy Univ.","318: 6","6","1950"
tro-35109894,B,Plagiotheciaceae,,Plagiothecium,,"austrodenticulatum",,"","Renauld & Cardot",Accepted,,M,TRO,35109894,,"Prodr. Fl. Bryol. Madagascar","249","249","1898"
tro-35109895,B,Plagiotheciaceae,,Plagiothecium,,"austropulchellum",,"","(Müll. Hal.) Kindb.",Accepted,,M,TRO,35109895,,"Enum. Bryin. Exot., suppl. 2,","102","102","1891"
tro-35100179,B,Plagiotheciaceae,,Plagiothecium,,"berggrenianum",,"","Frisvoll",Accepted,,M,TRO,35100179,,"Lindbergia","7: 96. f. 2: a–i","96","1981"
tro-35109901,B,Plagiotheciaceae,,Plagiothecium,,"borrerianum",,"","Spruce",Unresolved,,L,TRO,35109901,,"J. Bot.","18: 290","290","1880"
tro-35109909,B,Plagiotheciaceae,,Plagiothecium,,"brasiliense",,"","(Hampe) A. Jaeger",Accepted,,M,TRO,35109909,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1877–78: 512 (Gen. Sp. Musc. 2: 776)","512 ","1880"
tro-35109913,B,Plagiotheciaceae,,Plagiothecium,,"cacti",,"","(Müll. Hal.) Kindb.",Accepted,,M,TRO,35109913,,"Enum. Bryin. Exot., suppl. 2,","102","102","1891"
tro-35168897,B,Plagiotheciaceae,,Plagiothecium,,"cavifolium",,"","(Brid.) Z. Iwats.",Accepted,,M,TRO,35168897,,"J. Hattori Bot. Lab.","33: 360","360","1970"
tro-35168900,B,Plagiotheciaceae,,Plagiothecium,,"cavifolium",f.,"acuminatum","(Jedl.) Z. Iwats.",Accepted,,L,TRO,35168900,,"J. Hattori Bot. Lab.","33: 363","363","1970"
tro-35168898,B,Plagiotheciaceae,,Plagiothecium,,"cavifolium",var.,"fallax","(Cardot & Thér.) Z. Iwats.",Accepted,,L,TRO,35168898,,"J. Hattori Bot. Lab.","33: 363","363","1970"
tro-35168899,B,Plagiotheciaceae,,Plagiothecium,,"cavifolium",var.,"orthocladium","(Schimp.) Z. Iwats.",Accepted,,L,TRO,35168899,,"J. Hattori Bot. Lab.","33: 371","371","1970"
tro-35168901,B,Plagiotheciaceae,,Plagiothecium,,"cavifolium",f.,"otii","(Sakurai) Z. Iwats.",Accepted,,L,TRO,35168901,,"J. Hattori Bot. Lab.","33: 363","363","1970"
tro-35109916,B,Plagiotheciaceae,,Plagiothecium,,"ceylonense",,"","Broth. ex Dixon",Accepted,,M,TRO,35109916,,"J. Bot.","53: 294","294","1915"
tro-35109917,B,Plagiotheciaceae,,Plagiothecium,,"chapmannii",,"","(Duby) A. Jaeger",Accepted,,M,TRO,35109917,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1876–77: 452 (Gen. Sp. Musc. 2: 518)","452 ","1878"
tro-35109918,B,Plagiotheciaceae,,Plagiothecium,,"chrismarii",,"","(Müll. Hal.) Besch.",Accepted,,M,TRO,35109918,,"Mém. Soc. Sci. Nat. Cherbourg","16: 251","251","1872"
tro-35109921,B,Plagiotheciaceae,,Plagiothecium,,"cochleatum",,"","Dixon",Accepted,,M,TRO,35109921,,"Notes Roy. Bot. Gard. Edinburgh","19: 299. 12","299","1938"
tro-35183301,B,Plagiotheciaceae,,Plagiothecium,,"cordifolium",,"","Lazarenko",Accepted,,M,TRO,35183301,,"Bot. Žurn. (Kiev)","2: 192","192","1945"
tro-35109923,B,Plagiotheciaceae,,Plagiothecium,,"corticola",,"","Ångström",Accepted,,M,TRO,35109923,,"Öfvers. Förh. Kongl. Svenska Vetensk.-Akad.","30(5): 143","143","1873"
tro-35109925,B,Plagiotheciaceae,,Plagiothecium,,"curvifolium",,"","Schlieph. ex Limpr.",Accepted,,M,TRO,35109925,,"Laubm. Deutschl.","3: 269","269","1897"
tro-35140988,B,Plagiotheciaceae,,Plagiothecium,,"dehradunense",,"","Vohra",Accepted,,M,TRO,35140988,,"Bull. Bot. Surv. India","16: 139. f. 1–17","139","1974"
tro-35109932,B,Plagiotheciaceae,,Plagiothecium,,"demissum",,"","(Wilson) Dixon",Accepted,,M,TRO,35109932,,"Stud. Handb. Brit. Mosses","439","439","1896"
tro-35109933,B,Plagiotheciaceae,,Plagiothecium,,"densifolium",,"","(Lindb. ex Broth.) Limpr.",Accepted,,M,TRO,35109933,,"Laubm. Deutschl.","3: 282","282","1897"
tro-35109935,B,Plagiotheciaceae,,Plagiothecium,,"densum",,"","(Schimp.) Jedl.",Accepted,,M,TRO,35109935,,"Spisy PYír. Fak. Masarykovy Univ.","318: 6","6","1950"
