ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-25300017,A,Platanaceae,,Platanus,,"acerifolia",,"","(Aiton) Willd.",Accepted,,M,TRO,25300017,,"Sp. Pl.","4: 474","474","1797"
kew-2570318,A,Platanaceae,,Platanus,,"dubia",,"","E.H.L.Krause",Unresolved,,L,WCSP (in review),704307,685850-1,"Deutschl. Fl.","ed. 2, 7: 152","","1902"
kew-2555541,A,Platanaceae,,Platanus,,"gentryi",,"","Nixon & J.M.Poole",Accepted,,M,WCSP (in review),691300,60429575-2,"Lundellia","6: 118","","2003"
kew-2570290,A,Platanaceae,,Platanus,×,"hispanica",,"","Mill. ex Münchh.",Unresolved,,L,WCSP (in review),704279,685855-1,"Hausvater","5: 229","","1770"
tro-50040986,A,Platanaceae,,Platanus,,"hispanica",,"","Münchh.",Unresolved,,L,TRO,50040986,,"","","",""
kew-2570289,A,Platanaceae,,Platanus,,"kerrii",,"","Gagnep.",Accepted,,M,WCSP (in review),704278,685860-1,"Bull. Soc. Bot. France","85: 301","","1939"
kew-2570401,A,Platanaceae,,Platanus,,"mexicana",,"","Moric.",Accepted,,M,WCSP (in review),704390,,"Pl. Nouv. Amér.","39","","1837"
kew-2555540,A,Platanaceae,,Platanus,,"mexicana",var.,"interior","Nixon & J.M.Poole",Accepted,,L,WCSP (in review),691299,60429576-2,"Lundellia","6: 127","","2003"
kew-2570459,A,Platanaceae,,Platanus,,"occidentalis",,"","L.",Accepted,,M,WCSP (in review),704446,685871-1,"Sp. Pl.","999","","1753"
kew-2570460,A,Platanaceae,,Platanus,,"occidentalis",var.,"palmeri","(Kuntze) Nixon & J.M.Poole ex Geerinck",Unresolved,,L,WCSP (in review),704447,1004682-1,"Belg. J. Bot.","130: 127","","1998"
kew-2570462,A,Platanaceae,,Platanus,,"orientalis",,"","L.",Accepted,,M,WCSP (in review),704449,685873-1,"Sp. Pl.","999","","1753"
kew-2570467,A,Platanaceae,,Platanus,,"racemosa",,"","Nutt.",Accepted,,M,WCSP (in review),704454,,"N. Amer. Sylv.","1: 47","","1842"
kew-2555582,A,Platanaceae,,Platanus,,"rzedowskii",,"","Nixon & J.M.Poole",Accepted,,M,WCSP (in review),691341,60429577-2,"Lundellia","6: 129","","2003"
kew-2570450,A,Platanaceae,,Platanus,,"wrightii",,"","S.Watson",Accepted,,M,WCSP (in review),704437,201702-2,"Proc. Amer. Acad. Arts","10: 349","","1875"
