ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
ifn-27997,P,Polypodiaceae,,Acrosorus,,"exaltatus",,"","Copel.",Unresolved,,L,IPNI,17237090-1,17237090-1,"Philipp. J. Sci.","1(Suppl. 2):  159. t. 15","","1906"
ifn-27998,P,Polypodiaceae,,Acrosorus,,"friderici-et-pauli",,"","Copel.",Unresolved,,L,IPNI,17237100-1,17237100-1,"Philipp. J. Sci.","1(Suppl. 2): 159","","1906"
ifn-27999,P,Polypodiaceae,,Acrosorus,,"grammitidiphyllus",,"","Parris",Unresolved,,L,IPNI,77061475-1,77061475-1,"Kew Bull.","59(2): 223","","2004 [Oct. 2004]"
ifn-28000,P,Polypodiaceae,,Acrosorus,,"merrillii",,"","Copel.",Unresolved,,L,IPNI,17237110-1,17237110-1,"Philipp. J. Sci., C","2: 136","","1907"
ifn-28001,P,Polypodiaceae,,Acrosorus,,"nudicarpus",,"","P.M.Zamora & Co",Unresolved,,L,IPNI,17501230-1,17501230-1,"Nat. Appl. Sci. Bull. Univ. Philipp.","32(1-4): 47, t. 4","","1981"
ifn-28002,P,Polypodiaceae,,Acrosorus,,"reineckei",,"","Copel.",Unresolved,,L,IPNI,17237120-1,17237120-1,"Philipp. J. Sci., C","2: 136","","1907"
ifn-28003,P,Polypodiaceae,,Acrosorus,,"schlechteri",,"","Christ",Unresolved,,L,IPNI,17237130-1,17237130-1,"Geogr. Farne","221, 232, 238","","1910"
tro-100364587,P,Polypodiaceae,,Acrosorus,,"streptophyllus",,"","(Baker) Copel.",Accepted,,M,TRO,100364587,17367500-1,"Philipp. J. Sci.","56(4): 480","480","1935"
ifn-28006,P,Polypodiaceae,,Acrosorus,,"symmetricus",,"","Copel.",Unresolved,,L,IPNI,17367510-1,17367510-1,"Philipp. J. Sci.","81(1): 44","","1952"
ifn-28007,P,Polypodiaceae,,Acrosorus,,"triangularis",,"","Copel.",Unresolved,,L,IPNI,17237140-1,17237140-1,"Philipp. J. Sci., C","3(6): 347","","1909"
ifn-28011,P,Polypodiaceae,,Adenophorus,×,"abbottiae",,"","W.H.Wagner",Unresolved,,L,IPNI,17565960-1,17565960-1,"Contr. Univ. Michigan Herb.","20: 257 (1995)","","1995"
tro-26602583,P,Polypodiaceae,,Adenophorus,,"abietinus",,"","K.A. Wilson",Accepted,,M,TRO,26602583,,"","","",""
tro-50042809,P,Polypodiaceae,,Adenophorus,,"bipinnata",,"","Gaudich.",Unresolved,,L,TRO,50042809,,"Ann. Sci. Nat.","1825: 508","508","1825"
ifn-28013,P,Polypodiaceae,,Adenophorus,,"bipinnatus",,"","Gaudich.",Unresolved,,L,IPNI,17008360-1,17008360-1,"Ann. Sci. Nat. (Paris)","3: 508","","1824"
ifn-28014,P,Polypodiaceae,,Adenophorus,×,"carsonii",,"","T.A.Ranker",Unresolved,,L,IPNI,17546600-1,17546600-1,"Novon","2(4): 408","","1992 [22 Dec 1992]"
ifn-28015,P,Polypodiaceae,,Adenophorus,,"epigaeus",,"","W.H.Wagner",Unresolved,,L,IPNI,17565940-1,17565940-1,"Contr. Univ. Michigan Herb.","20: 257 (1995):","","1995"
