ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35102144,B,Pottiaceae,,Acaulon,,"apiculatum",,"","Mitt.",Accepted,,M,TRO,35102144,,"J. Proc. Linn. Soc., Bot.","4: 71","71","1859"
tro-35102147,B,Pottiaceae,,Acaulon,,"austro-muticum",,"","Geh. ex G. Roth",Unresolved,,L,TRO,35102147,,"Hedwigia","54: 272. 10 f. 4","272","1914"
tro-35102149,B,Pottiaceae,,Acaulon,,"capense",,"","Müll. Hal.",Accepted,,M,TRO,35102149,,"Bot. Zeitung (Berlin)","14: 415","415","1856"
tro-35182633,B,Pottiaceae,,Acaulon,,"casasianum",,"","Brugués & H.A. Crum",Accepted,,M,TRO,35182633,,"Lindbergia","10: 1. f. 1–11","1","1984"
tro-35100314,B,Pottiaceae,,Acaulon,,"chrysacanthum",,"","I.G. Stone",Accepted,,M,TRO,35100314,,"J. Bryol.","9: 213. f. 1–3, 4: a–j, 5: a–i. pl. 1: a–b","213","1976"
tro-35102151,B,Pottiaceae,,Acaulon,,"crassinervium",,"","Müll. Hal.",Accepted,,M,TRO,35102151,,"Hedwigia","41: 119","119","1902"
tro-35183291,B,Pottiaceae,,Acaulon,,"dertosense",,"","Casas, Sérgio, Cros & Brugués",Accepted,,M,TRO,35183291,,"Anales Jard. Bot. Madrid","42: 299. f. 1","299","1986"
tro-35100315,B,Pottiaceae,,Acaulon,,"eremicola",,"","I.G. Stone",Accepted,,M,TRO,35100315,,"J. Bryol.","10: 467. f. 1–2, pl. 1","467","1979"
tro-35102152,B,Pottiaceae,,Acaulon,,"floerkeanum",,"","(F. Weber & D. Mohr) Müll. Hal.",Accepted,,M,TRO,35102152,,"Bot. Zeitung (Berlin)","5: 99","99","1847"
tro-35184151,B,Pottiaceae,,Acaulon,,"fontiquerianum",,"","Casas & Sérgio",Accepted,,M,TRO,35184151,,"Cryptog. Bryol. Lichénol.","11: 61. f. 1–2","61","1990"
tro-35183739,B,Pottiaceae,,Acaulon,,"granulosum",,"","I.G. Stone",Accepted,,M,TRO,35183739,,"J. Bryol.","15: 257. f. 1, 4: a–c","257","1988"
tro-35102155,B,Pottiaceae,,Acaulon,,"integrifolium",,"","Müll. Hal.",Accepted,,M,TRO,35102155,,"Bot. Zeitung (Berlin)","13: 745","745","1855"
tro-35100316,B,Pottiaceae,,Acaulon,,"leucochaete",,"","I.G. Stone",Accepted,,M,TRO,35100316,,"J. Bryol.","9: 217. f. 4: k–l, 5: j–m, 6–7. pl. 1: c–d","217","1976"
tro-35204691,B,Pottiaceae,,Acaulon,,"longifolium",,"","Herrnst. & Heyn",Accepted,,M,TRO,35204691,,"Nova Hedwigia","69: 229. f. 1","229","1999"
tro-35102158,B,Pottiaceae,,Acaulon,,"mediterraneum",,"","Limpr.",Accepted,,M,TRO,35102158,,"Laubm. Deutschl.","1: 180","180","1885"
tro-35102160,B,Pottiaceae,,Acaulon,,"minus",,"","(Hook. & Taylor) A. Jaeger",Accepted,,M,TRO,35102160,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1868–69: 78","78","1869"
tro-35102161,B,Pottiaceae,,Acaulon,,"muticum",,"","(Schreb. ex Hedw.) Müll. Hal.",Accepted,,M,TRO,35102161,,"Bot. Zeitung (Berlin)","5: 99","99","1847"
tro-35169656,B,Pottiaceae,,Acaulon,,"muticum",var.,"mediterraneum","(Limpr.) Sérgio",Accepted,,L,TRO,35169656,,"Bol. Soc. Brot.","46: 460","460","1972"
tro-35168779,B,Pottiaceae,,Acaulon,,"muticum",var.,"rufescens","(A. Jaeger) H.A. Crum",Accepted,,L,TRO,35168779,,"Bryologist","72: 240","240","1969"
tro-35102166,B,Pottiaceae,,Acaulon,,"nanum",,"","Müll. Hal.",Accepted,,M,TRO,35102166,,"Flora","71: 1","1","1888"
tro-35100002,B,Pottiaceae,,Acaulon,,"recurvatum",,"","Magill",Accepted,,M,TRO,35100002,,"Fl. S. Africa, Bryophyta","1: 199. f. 56: 12–18","199","1981"
tro-35102169,B,Pottiaceae,,Acaulon,,"robustum",,"","Broth. ex G. Roth",Accepted,,M,TRO,35102169,,"Hedwigia","53: 94. pl. 2: f. 7","94","1913"
tro-35100003,B,Pottiaceae,,Acaulon,,"rufochaete",,"","Magill",Accepted,,M,TRO,35100003,,"Fl. S. Africa, Bryophyta","1: 201. f. 56: 19–25","201","1981"
tro-35102173,B,Pottiaceae,,Acaulon,,"schimperianum",,"","(Sull.) Sull.",Accepted,,M,TRO,35102173,,"Musci Bor.-Amer.","26 [Schedae 8]","26","1856"
tro-35102174,B,Pottiaceae,,Acaulon,,"sphaericum",,"","J. Shaw",Accepted,,M,TRO,35102174,,"Cape Monthly Mag.","17: 313","313","1878"
tro-35102176,B,Pottiaceae,,Acaulon,,"triquetrum",,"","(Spruce) Müll. Hal.",Accepted,,M,TRO,35102176,,"Bot. Zeitung (Berlin)","5: 100","100","1847"
tro-35102179,B,Pottiaceae,,Acaulon,,"uleanum",,"","Müll. Hal.",Accepted,,M,TRO,35102179,,"Flora","71: 3","3","1888"
tro-35102181,B,Pottiaceae,,Acaulon,,"vesiculosum",,"","Müll. Hal.",Accepted,,M,TRO,35102181,,"Flora","71: 2","2","1888"
