ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35183426,B,Prionodontaceae,,Prionodon,,"balboi",,"","Tosco & Piovano",Accepted,,M,TRO,35183426,,"Allionia","4: 121. f. 7","121","1956"
tro-35142869,B,Prionodontaceae,,Prionodon,,"contortus",,"","Herzog",Accepted,,M,TRO,35142869,,"Biblioth. Bot.","87: 110","110","1916"
tro-35142870,B,Prionodontaceae,,Prionodon,,"densus",,"","(Sw. ex Hedw.) Müll. Hal.",Accepted,,M,TRO,35142870,,"Bot. Zeitung (Berlin)","2: 129. 1","129","1844"
tro-35142877,B,Prionodontaceae,,Prionodon,,"elongatus",,"","(Hook. f. & Wilson) A. Jaeger",Accepted,,M,TRO,35142877,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1875–76: 223 (Gen. Sp. Musc. 2: 127)","223 ","1877"
tro-35142883,B,Prionodontaceae,,Prionodon,,"fuscolutescens",,"","Hampe",Accepted,,M,TRO,35142883,,"Ann. Sci. Nat., Bot., sér. 5,","4: 357","357","1865"
tro-35142887,B,Prionodontaceae,,Prionodon,,"hoffmannii",,"","Müll. Hal.",Accepted,,M,TRO,35142887,,"Hedwigia","40: 56","56","1901"
tro-35142888,B,Prionodontaceae,,Prionodon,,"jamesonii",,"","Müll. Hal.",Accepted,,M,TRO,35142888,,"Hedwigia","40: 56","56","1901"
tro-35142895,B,Prionodontaceae,,Prionodon,,"luteovirens",,"","(Taylor) Mitt.",Accepted,,M,TRO,35142895,,"J. Linn. Soc., Bot.","12: 417","417","1869"
tro-35142896,B,Prionodontaceae,,Prionodon,,"lycopodioides",,"","Hampe",Accepted,,M,TRO,35142896,,"Linnaea","32: 150","150","1863"
tro-35142905,B,Prionodontaceae,,Prionodon,,"pinnatus",,"","Hampe",Accepted,,M,TRO,35142905,,"Ann. Sci. Nat., Bot., sér. 5,","4: 355","355","1865"
tro-100356575,B,Prionodontaceae,,Taiwanobryum,,"anacamptolepis",,"","(Müll. Hal.) S. Olsson, Enroth & D. Quandt",Accepted,,M,TRO,100356575,,"Org. Divers. Evol.","10(2): 120","120","2010"
tro-100356576,B,Prionodontaceae,,Taiwanobryum,,"crenulatum",,"","(Harv.) S. Olsson, Enroth & D. Quandt",Accepted,,M,TRO,100356576,,"Org. Divers. Evol.","10(2): 121","121","2010"
tro-100356578,B,Prionodontaceae,,Taiwanobryum,,"guangdongense",,"","(Enroth) S. Olsson, Enroth & D. Quandt",Accepted,,M,TRO,100356578,,"Org. Divers. Evol.","10(2): 121","121","2010"
tro-100356577,B,Prionodontaceae,,Taiwanobryum,,"mucronatum",,"","(Bosch & Sande Lac.) S. Olsson, Enroth & D. Quandt",Accepted,,M,TRO,100356577,,"Org. Divers. Evol.","10(2): 121","121","2010"
tro-35182613,B,Prionodontaceae,,Taiwanobryum,,"robustum",,"","Veloira",Unresolved,,L,TRO,35182613,,"Bryologist","62: 105. f. 1–9","105","1959"
tro-35182614,B,Prionodontaceae,,Taiwanobryum,,"speciosum",,"","Nog.",Accepted,,M,TRO,35182614,,"Trans. Nat. Hist. Soc. Taiwan","26: 143. 1 f. 2","143","1936"
