ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35200639,B,Pseudolepicoleaceae,,Archeochaete,,"kuehnemannii",,"","R.M. Schust.",Accepted,,M,TRO,35200639,,"J. Hattori Bot. Lab.","26: 262","262","1963"
tro-35212351,B,Pseudolepicoleaceae,,Archeophylla,,"schusteri",,"","(E.A. Hodgs. & Allison) R.M. Schust.",Accepted,,M,TRO,35212351,,"J. Hattori Bot. Lab.","26: 263","263","1963"
tro-35184838,B,Pseudolepicoleaceae,,Blepharostoma,,"arachnoideum",,"","M. Howe",Accepted,,M,TRO,35184838,,"Mem. Torrey Bot. Club","7: 140","140","1899"
tro-35208554,B,Pseudolepicoleaceae,,Blepharostoma,,"minus",,"","Horik.",Accepted,,M,TRO,35208554,,"Hikobia","1: 104","104","1952"
tro-35186560,B,Pseudolepicoleaceae,,Blepharostoma,,"quadrilaciniata",,"","(Sull.) Schiffner",Accepted,,M,TRO,35186560,,"Hedwigia","51: 282","282","1912"
tro-35184839,B,Pseudolepicoleaceae,,Blepharostoma,,"trichophyllum",,"","(L.) Dumort.",Accepted,,M,TRO,35184839,,"Recueil Observ. Jungerm.","18","18","1835"
tro-35190903,B,Pseudolepicoleaceae,,Chaetocolea,,"palmata",,"","Spruce",Accepted,,M,TRO,35190903,,"Trans. & Proc. Bot. Soc. Edinburgh","15: 346","346","1885"
tro-35207830,B,Pseudolepicoleaceae,,Fulfordiella,,"fuegiana",,"","Hässel de Menéndez",Accepted,,M,TRO,35207830,,"Comun. Mus. Argent. Ci. Nat. ""Bernardino Rivadavia,"" Ci. Bot.","2: 48","48","1974"
tro-35202335,B,Pseudolepicoleaceae,,Herzogiaria,,"teres",,"","(Stephani) Fulford ex Hässel de Menéndez",Accepted,,M,TRO,35202335,,"Lindbergia","7: 24","24","1981"
tro-35204164,B,Pseudolepicoleaceae,,Isophyllaria,,"attenuata",,"","(Rodway) E.A. Hodgs.",Accepted,,M,TRO,35204164,,"J. Roy. Soc. New Zealand","2: 111","111","1972"
tro-35207831,B,Pseudolepicoleaceae,,Isophyllaria,,"fuegiana",,"","(Hässel de Menéndez) R.M. Schust.",Accepted,,M,TRO,35207831,,"Nova Hedwigia Beih.","118: 141","141","2000"
tro-35213380,B,Pseudolepicoleaceae,,Lophochaete,,"trollii",,"","(Herzog) R.M. Schust.",Accepted,,M,TRO,35213380,,"J. Hattori Bot. Lab.","23: 199","199","1960"
tro-35209438,B,Pseudolepicoleaceae,,Pseudolepicolea,,"andoi",,"","(R.M. Schust.) Inoue",Accepted,,M,TRO,35209438,,"Bull. Natl. Sci. Mus., Tokyo, B","4: 94","94","1978"
tro-35185904,B,Pseudolepicoleaceae,,Pseudolepicolea,,"fryei",,"","(Perss.) Grolle & Ando",Accepted,,M,TRO,35185904,,"Hikobia","3: 180","180","1963"
tro-35208612,B,Pseudolepicoleaceae,,Pseudolepicolea,,"georgica",,"","Fulford & J. Taylor",Unresolved,,L,TRO,35208612,,"Nova Hedwigia","1:","","1959"
tro-35202858,B,Pseudolepicoleaceae,,Pseudolepicolea,,"grolleana",,"","(R.M. Schust.) Grolle",Accepted,,M,TRO,35202858,,"Ann. Bot. Fenn.","21: 30","30","1984"
tro-35208218,B,Pseudolepicoleaceae,,Pseudolepicolea,,"kuehnemannii",,"","(R.M. Schust.) Hässel de Menéndez",Accepted,,M,TRO,35208218,,"Comun. Mus. Argent. Ci. Nat. ""Bernardino Rivadavia,"" Ci. Bot.","2: 48","48","1974"
tro-35200640,B,Pseudolepicoleaceae,,Pseudolepicolea,,"quadrilaciniata",,"","(Sull.) Fulford & J. Taylor",Accepted,,M,TRO,35200640,,"Nova Hedwigia","1: 413","413","1960"
tro-35209441,B,Pseudolepicoleaceae,,Pseudolepicolea,,"trollii",,"","Grolle & Ando",Accepted,,M,TRO,35209441,,"Fl. Bras.","","",""
tro-35211531,B,Pseudolepicoleaceae,,Temnoma,,"chaetophylla",,"","R.M. Schust.",Accepted,,M,TRO,35211531,,"Phytologia","39: 239","239","1978"
tro-35200642,B,Pseudolepicoleaceae,,Temnoma,,"pilosum",,"","(A. Evans) R.M. Schust.",Accepted,,M,TRO,35200642,,"Bryologist","62: 240","240","1960"
tro-35212352,B,Pseudolepicoleaceae,,Temnoma,,"pulchellum",,"","(Hook.) Mitt. ex Bastow",Accepted,,M,TRO,35212352,,"Pap. & Proc. Roy. Soc. Tasmania","1887: 226","226","1888"
tro-35208220,B,Pseudolepicoleaceae,,Temnoma,,"quadripartitum",,"","(Hook.) Mitt.",Accepted,,M,TRO,35208220,,"J. Linn. Soc., Bot.","15: 68","68","1877"
tro-35208240,B,Pseudolepicoleaceae,,Temnoma,,"quadripartitum",var.,"randii","(S.W. Arnell) R.M. Schust.",Accepted,,L,TRO,35208240,,"Candollea","21: 307","307","1967"
tro-35209561,B,Pseudolepicoleaceae,,Temnoma,,"setigerum",,"","(Lindenb.) R.M. Schust.",Accepted,,M,TRO,35209561,,"Nova Hedwigia","5: 35","35","1963"
tro-35208219,B,Pseudolepicoleaceae,,Temnoma,,"subintegrum",,"","Fulford",Unresolved,,L,TRO,35208219,,"Mem. New York Bot. Gard.","11(1): 57. f. 4","57","1963"
