ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-26609078,P,Psilotaceae,,Bernhardia,,"californica",,"","Müll. Hal.",Unresolved,,L,TRO,26609078,,"Bot. Zeitung (Berlin)","14: 222, f. 3–5","222","1856"
tro-50211351,P,Psilotaceae,,Bernhardia,,"floridana",,"","Müll. Hal.",Unresolved,,L,TRO,50211351,,"Bot. Zeitung (Berlin)","14: 233","233","1856"
tro-50211353,P,Psilotaceae,,Bernhardia,,"indica",,"","Müll. Hal.",Unresolved,,L,TRO,50211353,,"Bot. Zeitung (Berlin)","14: 234","234","1856"
tro-50211352,P,Psilotaceae,,Bernhardia,,"mariana",,"","Müll. Hal.",Unresolved,,L,TRO,50211352,,"Bot. Zeitung (Berlin)","14: 233","233","1856"
tro-50211354,P,Psilotaceae,,Bernhardia,,"novae-hollandiae",,"","Müll. Hal.",Unresolved,,L,TRO,50211354,,"Bot. Zeitung (Berlin)","14: 237","237","1856"
tro-50211355,P,Psilotaceae,,Bernhardia,,"oahuensis",,"","Müll. Hal.",Unresolved,,L,TRO,50211355,,"Bot. Zeitung (Berlin)","14: 237","237","1856"
tro-50211348,P,Psilotaceae,,Bernhardia,,"ramulosa",,"","Müll. Hal.",Unresolved,,L,TRO,50211348,,"Bot. Zeitung (Berlin)","14: 222","222","1856"
tro-50211349,P,Psilotaceae,,Bernhardia,,"zollingeri",,"","Müll. Hal.",Unresolved,,L,TRO,50211349,,"Bot. Zeitung (Berlin)","14: 223","223","1856"
tro-26625279,P,Psilotaceae,,Psilotum,,"complanatum",,"","Sw.",Accepted,,M,TRO,26625279,,"J. Bot. (Schrader)","1800(2): 110","110","1801"
tro-26602814,P,Psilotaceae,,Psilotum,,"nudum",,"","(L.) P. Beauv.",Accepted,,M,TRO,26602814,212103-2,"Prodr. Aethéogam.","106, 112","106","1805"
tro-26616172,P,Psilotaceae,,Tmesipteris,,"forsteri",,"","Endl.",Unresolved,,L,TRO,26616172,,"","","",""
tro-26610270,P,Psilotaceae,,Tmesipteris,,"lanceolata",,"","Danguy",Unresolved,,L,TRO,26610270,,"","","",""
tro-26610268,P,Psilotaceae,,Tmesipteris,,"oblanceolata",,"","Copel.",Unresolved,,L,TRO,26610268,,"Philipp. J. Sci.","60: 99","99","1936"
tro-26610433,P,Psilotaceae,,Tmesipteris,,"oblongifolia",,"","A.F. Braithw.",Unresolved,,L,TRO,26610433,17524740-1,"Fern Gaz.","13(2): 93","93","1986"
tro-26610269,P,Psilotaceae,,Tmesipteris,,"sigmatifolia",,"","Chinn.",Unresolved,,L,TRO,26610269,,"","","",""
tro-26616171,P,Psilotaceae,,Tmesipteris,,"tannensis",,"","(Spreng.) Bernh.",Accepted,,M,TRO,26616171,,"J. Bot. (Schrader)","1800(2): 131, t. 2, f. 5","131","1800"
tro-26610434,P,Psilotaceae,,Tmesipteris,,"vanuatensis",,"","A.F. Braithw.",Unresolved,,L,TRO,26610434,17524750-1,"Fern Gaz.","13(2): 94","94","1986"
tro-26614851,P,Psilotaceae,,Tmesipteris,,"vieillardii",,"","P.A. Dang.",Unresolved,,L,TRO,26614851,,"","","",""
