ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
ifn-4722,P,Pteridaceae,,Acropteris,,"dichotoma",,"","Farw.",Unresolved,,L,IPNI,17296410-1,17296410-1,"Amer. Midl. Naturalist","12. 289. 1931","","1931"
tro-50332458,P,Pteridaceae,,Acropteris,,"radiata",,"","Link",Unresolved,,L,TRO,50332458,,"","","",""
ifn-4724,P,Pteridaceae,,Acropteris,,"seelosii",,"","Heufl.",Unresolved,,L,IPNI,17000540-1,17000540-1,"Verh. Zool.-Bot. Vereins Wien","6. 345. 1856","","1856"
tro-26603168,P,Pteridaceae,,Acropteris,,"septentrionalis",,"","(L.) Link",Accepted,,M,TRO,26603168,17000550-1,"Hort. Berol.","2: 56","56","1833"
ifn-45037,P,Pteridaceae,,Acrostichum,,"acrocarpon",,"","Baker",Unresolved,,L,IPNI,17000600-1,17000600-1,"Syn. Fil. (Hooker & Baker)","408","","1868"
tro-50008302,P,Pteridaceae,,Acrostichum,,"aculeatum",,"","Desv.",Unresolved,,L,TRO,50008302,17000640-1,"Ges. Naturf. Freunde Berlin Mag. Neuesten Entdeck. Gesammten Naturk.","5: 310","310","1811"
tro-50296948,P,Pteridaceae,,Acrostichum,,"acutum",,"","Fée",Unresolved,,L,TRO,50296948,,"Crypt. Vasc. Brésil","2: 9, t. 83, f. 3","9","1873"
ifn-45053,P,Pteridaceae,,Acrostichum,,"adenolepis",,"","Kunze",Unresolved,,L,IPNI,17000730-1,17000730-1,"Linnaea","9. 27. 1834","","1834"
ifn-45054,P,Pteridaceae,,Acrostichum,,"aemulum",,"","Kaulf.",Unresolved,,L,IPNI,17000740-1,17000740-1,"Enum. Filic.","63","","1824 [8 Apr-28 May 1824]"
ifn-45055,P,Pteridaceae,,Acrostichum,,"aemulum",,"","Blume",Unresolved,,L,IPNI,17000750-1,17000750-1,"Enum. Pl. Javae","2: 101","","1828"
tro-50060572,P,Pteridaceae,,Acrostichum,,"alatum",,"","Roxb.",Unresolved,,L,TRO,50060572,17000780-1,"Calcutta J. Nat. Hist.","4: 480","480","1844"
ifn-45062,P,Pteridaceae,,Acrostichum,,"albidulum",,"","Cav.; Sw.",Unresolved,,L,IPNI,17000810-1,17000810-1,"Syn. Fil. (Swartz)","16, 205, t. 1 f. 2","","1806"
tro-26621490,P,Pteridaceae,,Acrostichum,,"album",,"","Vell.",Unresolved,,L,TRO,26621490,17000820-1,"Fl. Flumin.","11: t. 91","t. 91","1831"
tro-26601718,P,Pteridaceae,,Acrostichum,,"alcicorne",,"","Willemet",Unresolved,,L,TRO,26601718,,"Ann. Bot. (Usteri)","18 (Neue Ann. Bot. 12): 61","61","1796"
ifn-45072,P,Pteridaceae,,Acrostichum,,"alismifolium",,"","F",Unresolved,,L,IPNI,17000860-1,17000860-1,"M","2: 28, t. 3.","","1845"
ifn-45077,P,Pteridaceae,,Acrostichum,,"amplissimum",,"","F",Unresolved,,L,IPNI,17000900-1,17000900-1,"Crypt. Vasc. Bresil","1. 5 t. 6. 1869","","1869"
