ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35148276,B,Pterigynandraceae,,Haptymenium,,"filiforme",,"","(Hedw.) Fürnr.",Accepted,,M,TRO,35148276,,"Flora","10(2) Beil. 1: 81","81","1827"
tro-35150716,B,Pterigynandraceae,,Maschalanthus,,"filiformis",,"","(Hedw.) Spreng. ex Schultz",Accepted,,M,TRO,35150716,,"Prodr. Fl. Starg.","356","356","1806"
tro-35150721,B,Pterigynandraceae,,Maschalocarpus,,"aureus",,"","(Schwägr.) Spreng.",Accepted,,M,TRO,35150721,,"Syst. Veg.","4(1): 160","160","1827"
tro-35150722,B,Pterigynandraceae,,Maschalocarpus,,"ciliatus",,"","(Hedw.) Spreng.",Accepted,,M,TRO,35150722,,"Syst. Veg.","4(1): 160","160","1827"
tro-35150724,B,Pterigynandraceae,,Maschalocarpus,,"declinatus",,"","(Hook.) Spreng.",Accepted,,M,TRO,35150724,,"Syst. Veg.","4(1): 158","158","1827"
tro-35150725,B,Pterigynandraceae,,Maschalocarpus,,"decumbens",,"","(Schwägr.) Spreng.",Accepted,,M,TRO,35150725,,"Syst. Veg.","4(1): 158","158","1827"
tro-35150727,B,Pterigynandraceae,,Maschalocarpus,,"filiformis",,"","(Hedw.) Spreng.",Accepted,,M,TRO,35150727,,"Fl. Hal. Tent. Nov.","297","297","1806"
tro-35150728,B,Pterigynandraceae,,Maschalocarpus,,"flavescens",,"","(Hook.) Spreng.",Accepted,,M,TRO,35150728,,"Syst. Veg.","4(1): 159","159","1827"
tro-35150729,B,Pterigynandraceae,,Maschalocarpus,,"fulgens",,"","(Hedw.) Spreng.",Accepted,,M,TRO,35150729,,"Syst. Veg.","4(1): 160","160","1827"
tro-35150730,B,Pterigynandraceae,,Maschalocarpus,,"gracilis",,"","(Hedw.) Spreng.",Accepted,,M,TRO,35150730,,"Syst. Veg.","4(1): 158","158","1827"
