ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35112411,B,Pterobryaceae,,Calyptothecium,,"acostatum",,"","J.X. Luo",Accepted,,M,TRO,35112411,,"Acta Phytotax. Sin.","21: 224. f. 1: 10–12","224","1983"
tro-35154044,B,Pterobryaceae,,Calyptothecium,,"acutifolium",,"","(Brid.) Broth.",Accepted,,M,TRO,35154044,,"Index Bryol. (ed. 2)","1: 288","288","1904"
tro-35154046,B,Pterobryaceae,,Calyptothecium,,"acutum",,"","(Mitt.) Broth.",Accepted,,M,TRO,35154046,,"Index Bryol. (ed. 2)","1: 288","288","1904"
tro-35167797,B,Pterobryaceae,,Calyptothecium,,"auriculatum",,"","(Dixon) Nog.",Accepted,,M,TRO,35167797,,"J. Hattori Bot. Lab.","47: 314","314","1980"
tro-35154049,B,Pterobryaceae,,Calyptothecium,,"australinum",,"","(Mitt.) Paris",Accepted,,M,TRO,35154049,,"Index Bryol. (ed. 2)","1: 289","289","1904"
tro-35154051,B,Pterobryaceae,,Calyptothecium,,"bescherellei",,"","(Renauld) Broth.",Accepted,,M,TRO,35154051,,"Nat. Pflanzenfam.","I(3): 839","839","1906"
tro-35161797,B,Pterobryaceae,,Calyptothecium,,"biplicatum",,"","(Müll. Hal.) Broth. ex Paris",Accepted,,M,TRO,35161797,,"Coll. Nom. Broth.","4","4","1909"
tro-35154053,B,Pterobryaceae,,Calyptothecium,,"breviusculum",,"","(Müll. Hal. ex Dusén) Broth.",Accepted,,M,TRO,35154053,,"Index Bryol. (ed. 2)","1: 289","289","1904"
tro-35154055,B,Pterobryaceae,,Calyptothecium,,"buftonii",,"","Broth. & Geh.",Accepted,,M,TRO,35154055,,"Oefvers. Förh. Finska Vetensk.-Soc.","37: 167","167","1895"
tro-35154056,B,Pterobryaceae,,Calyptothecium,,"burmense",,"","E.B. Bartram",Accepted,,M,TRO,35154056,,"Farlowia","1: 183","183","1943"
tro-35169672,B,Pterobryaceae,,Calyptothecium,,"compressum",,"","Nog.",Accepted,,M,TRO,35169672,,"Bull. Natl. Sci. Mus.","16: 310. f. 2","310","1973"
tro-35154059,B,Pterobryaceae,,Calyptothecium,,"crispulum",,"","(Besch. & Sande Lac.) Broth.",Accepted,,M,TRO,35154059,,"Nat. Pflanzenfam.","I(3): 839","839","1906"
tro-35154062,B,Pterobryaceae,,Calyptothecium,,"cuspidatum",var.,"robustum","(Broth.) Nog.",Unresolved,,L,TRO,35154062,,"J. Sci. Hiroshima Univ., Ser. B, Div. 2, Bot.","3: 217","217","1939"
tro-35154064,B,Pterobryaceae,,Calyptothecium,,"duplicatum",,"","(Schwägr.) Broth.",Accepted,,M,TRO,35154064,,"Nat. Pflanzenfam.","I(3): 839","839","1906"
tro-35154067,B,Pterobryaceae,,Calyptothecium,,"enerve",,"","Dixon",Unresolved,,L,TRO,35154067,,"Trav. Bryol.","1[13]: 14","14","1942"
tro-35154068,B,Pterobryaceae,,Calyptothecium,,"extensum",,"","M. Fleisch.",Accepted,,M,TRO,35154068,,"Musci Buitenzorg","3: 864","864","1908"
tro-35154069,B,Pterobryaceae,,Calyptothecium,,"formosanum",,"","Broth.",Accepted,,M,TRO,35154069,,"Oefvers. Förh. Finska Vetensk.-Soc.","62A(9): 23","23","1921"
tro-35154071,B,Pterobryaceae,,Calyptothecium,,"hamatum",,"","(Müll. Hal.) M. Fleisch.",Accepted,,M,TRO,35154071,,"Hedwigia","45: 62","62","1905"
tro-35154072,B,Pterobryaceae,,Calyptothecium,,"himantocladioides",,"","E.B. Bartram",Accepted,,M,TRO,35154072,,"Philipp. J. Sci.","68: 238. f. 296","238","1939"
tro-35169711,B,Pterobryaceae,,Calyptothecium,,"hoehnelii",,"","(Müll. Hal.) Argent",Accepted,,M,TRO,35169711,,"J. Bryol.","7: 571","571","1973"
tro-35154073,B,Pterobryaceae,,Calyptothecium,,"hookeri",,"","(Mitt.) Broth.",Accepted,,M,TRO,35154073,,"Nat. Pflanzenfam.","I(3): 839","839","1906"
tro-35154074,B,Pterobryaceae,,Calyptothecium,,"humile",,"","(Mitt.) Broth.",Accepted,,M,TRO,35154074,,"Bull. Acad. Int. Géogr. Bot.","13: 86. 4","86","1904"
tro-35167800,B,Pterobryaceae,,Calyptothecium,,"integrifolium",,"","(E.B. Bartram) Nog.",Accepted,,M,TRO,35167800,,"J. Hattori Bot. Lab.","47: 315","315","1980"
tro-35154075,B,Pterobryaceae,,Calyptothecium,,"japonicum",,"","Thér.",Unresolved,,L,TRO,35154075,,"Monde Pl.","9: 22. 19 f. 1–11","22","1907"
tro-35154077,B,Pterobryaceae,,Calyptothecium,,"longiusculum",,"","(Müll. Hal. ex Dusén) Broth.",Accepted,,M,TRO,35154077,,"Index Bryol. (ed. 2)","1: 289","289","1904"
tro-35154078,B,Pterobryaceae,,Calyptothecium,,"luzonense",,"","(R.S. Williams) E.B. Bartram",Accepted,,M,TRO,35154078,,"Philipp. J. Sci.","68: 235. f. 291","235","1939"
tro-35154083,B,Pterobryaceae,,Calyptothecium,,"maxwellii",,"","(Cardot & Dixon) Broth.",Accepted,,M,TRO,35154083,,"Nat. Pflanzenfam. (ed. 2)","11: 183","183","1925"
tro-35154084,B,Pterobryaceae,,Calyptothecium,,"nematosum",,"","(Müll. Hal.) M. Fleisch.",Accepted,,M,TRO,35154084,,"Hedwigia","45: 62","62","1905"
tro-35154085,B,Pterobryaceae,,Calyptothecium,,"nitidum",,"","(Renauld & Cardot) M. Fleisch.",Accepted,,M,TRO,35154085,,"Hedwigia","45: 62","62","1905"
