ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35142850,B,Racopilaceae,,Powellia,,"acutifolia",,"","Broth.",Accepted,,M,TRO,35142850,,"Nat. Pflanzenfam.","I(3): 975. 710 a–e","975","1907"
tro-35142851,B,Racopilaceae,,Powellia,,"australis",,"","(Hampe) Broth.",Accepted,,M,TRO,35142851,,"Nat. Pflanzenfam.","I(3): 975","975","1907"
tro-35184084,B,Racopilaceae,,Powellia,,"breviseta",,"","(E.B. Bartram) Zanten",Accepted,,M,TRO,35184084,,"Jaarb. Kon. Ned. Bot. Ver.","1969: 56","56","1969"
tro-35214494,B,Racopilaceae,,Powellia,,"elliptica",,"","(Renauld) Zanten",Accepted,,M,TRO,35214494,,"Acta Acad. Paedagog. Agriensis, Sect. Biol.","24: 26","26","2003"
tro-35204055,B,Racopilaceae,,Powellia,,"integra",,"","(Dixon) Zanten",Accepted,,M,TRO,35204055,,"Bryobrothera","5: 21","21","1999"
tro-35142852,B,Racopilaceae,,Powellia,,"involutifolia",,"","Mitt.",Accepted,,M,TRO,35142852,,"J. Linn. Soc., Bot.","10: 187. 6 d","187","1868"
tro-35186154,B,Racopilaceae,,Powellia,,"macromitrioides",,"","H. Akiy.",Accepted,,M,TRO,35186154,,"Acta Phytotax. Geobot.","41: 131. f. 1–7","131","1990"
tro-35184083,B,Racopilaceae,,Powellia,,"parvula",,"","(E.B. Bartram) T.J. Kop. & D.H. Norris",Accepted,,M,TRO,35184083,,"Acta Bot. Fenn.","133: 21","21","1986"
tro-35214493,B,Racopilaceae,,Powellia,,"pocsii",,"","Zanten",Accepted,,M,TRO,35214493,,"Acta Acad. Paedagog. Agriensis, Sect. Biol.","24: 24. f. 1: a–b","24","2003"
tro-35168361,B,Racopilaceae,,Powellia,,"subelimbata",,"","Zanten",Accepted,,M,TRO,35168361,,"Nova Guinea, Bot.","10(16): 297. pl. 25: f. 3","297","1964"
tro-100355441,B,Racopilaceae,,Powelliopsis,,"elliptica",,"","(Renauld) Zanten",Accepted,,M,TRO,100355441,,"Lindbergia","33: 64","64","2008"
tro-100355438,B,Racopilaceae,,Powelliopsis,,"integra",,"","(Dixon) Zanten",Accepted,,M,TRO,100355438,,"Lindbergia","33: 62","62","2008"
tro-100355440,B,Racopilaceae,,Powelliopsis,,"pocsii",,"","(Zanten) Zanten",Accepted,,M,TRO,100355440,,"Lindbergia","33: 64","64","2008"
tro-100355437,B,Racopilaceae,,Powelliopsis,,"subelimbata",,"","(Zanten) Zanten",Accepted,,M,TRO,100355437,,"Lindbergia","33: 61","61","2008"
tro-35144863,B,Racopilaceae,,Racopilum,,"africanum",,"","Mitt.",Accepted,,M,TRO,35144863,,"J. Proc. Linn. Soc., Bot.","7: 162","162","1863"
tro-35144867,B,Racopilaceae,,Racopilum,,"angustistipulaceum",,"","Müll. Hal.",Accepted,,M,TRO,35144867,,"Linnaea","40: 255","255","1876"
tro-35144868,B,Racopilaceae,,Racopilum,,"anomalum",,"","Schwägr.",Accepted,,M,TRO,35144868,,"Sp. Musc. Frond., Suppl. 3","2(2): 278","278","1830"
tro-35144869,B,Racopilaceae,,Racopilum,,"arcuatum",,"","(Hedw.) A. Jaeger",Accepted,,M,TRO,35144869,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1874–75: 142 (Gen. Sp. Musc. 2: 58)","142 ","1876"
tro-35144871,B,Racopilaceae,,Racopilum,,"aubertii",,"","P. Beauv.",Accepted,,M,TRO,35144871,,"Prodr. Aethéogam.","87","87","1805"
tro-35144873,B,Racopilaceae,,Racopilum,,"ayresii",,"","Mitt.",Accepted,,M,TRO,35144873,,"J. Linn. Soc., Bot.","22: 308","308","1886"
tro-35144876,B,Racopilaceae,,Racopilum,,"brevipes",,"","Müll. Hal. ex Broth.",Accepted,,M,TRO,35144876,,"Bot. Jahrb. Syst.","20: 217","217","1894"
tro-35144878,B,Racopilaceae,,Racopilum,,"buettneri",,"","Broth.",Accepted,,M,TRO,35144878,,"Bot. Jahrb. Syst.","20: 215","215","1894"
tro-35144879,B,Racopilaceae,,Racopilum,,"capense",,"","Müll. Hal. ex Broth.",Accepted,,M,TRO,35144879,,"Bot. Jahrb. Syst.","20: 216","216","1894"
tro-35144881,B,Racopilaceae,,Racopilum,,"cardotii",,"","Renauld",Accepted,,M,TRO,35144881,,"Prodr. Fl. Bryol. Madagascar","266","266","1898"
tro-35144883,B,Racopilaceae,,Racopilum,,"chevalieri",,"","Thér.",Accepted,,M,TRO,35144883,,"Bull. Mus. Natl. Hist. Nat.","18: 478","478","1912"
tro-35144886,B,Racopilaceae,,Racopilum,,"convolutaceum",,"","(Müll. Hal.) Reichardt",Accepted,,M,TRO,35144886,,"Reise Novara","1(3): 194","194","1870"
tro-35144888,B,Racopilaceae,,Racopilum,,"crassicuspidatum",,"","Thér. & Corb.",Accepted,,M,TRO,35144888,,"Bull. Mus. Natl. Hist. Nat.","18: 115","115","1912"
