ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35145005,B,Regmatodontaceae,,Regmatodon,,"acidodon",,"","(Mont.) Paris",Accepted,,M,TRO,35145005,,"Index Bryol.","1108","1108","1898"
tro-35145007,B,Regmatodontaceae,,Regmatodon,,"brasiliensis",,"","S.O. Lindberg ex Müll. Hal.",Unresolved,,L,TRO,35145007,,"Bot. Zeitung (Berlin)","20: 374","374","1862"
tro-35145008,B,Regmatodontaceae,,Regmatodon,,"brevicuspis",,"","P. de la Varde & J.-F. Leroy",Unresolved,,L,TRO,35145008,,"Bull. Jard. Bot. État Brux.","18: 182. 16","182","1947"
tro-35145010,B,Regmatodontaceae,,Regmatodon,,"crassirameus",,"","Cardot",Unresolved,,L,TRO,35145010,,"Rev. Bryol.","37: 58","58","1910"
tro-35145011,B,Regmatodontaceae,,Regmatodon,,"cuspidatus",,"","(Mitt.) Paris",Accepted,,M,TRO,35145011,,"Index Bryol.","1108","1108","1898"
tro-35145012,B,Regmatodontaceae,,Regmatodon,,"declinatus",,"","(Hook.) Brid.",Accepted,,M,TRO,35145012,,"Bryol. Univ.","2: 294","294","1827"
tro-35145014,B,Regmatodontaceae,,Regmatodon,,"densus",,"","Schimp. ex Kiaer",Unresolved,,L,TRO,35145014,,"Forh. Vidensk.-Selsk. Kristiania","1882(24): 37","37","1883"
tro-35145016,B,Regmatodontaceae,,Regmatodon,,"filiformis",,"","Schimp. ex Besch.",Unresolved,,L,TRO,35145016,,"Mém. Soc. Sci. Nat. Cherbourg","16: 231","231","1872"
tro-35145018,B,Regmatodontaceae,,Regmatodon,,"gracillimus",,"","(Müll. Hal. ex Kiaer) Paris",Accepted,,M,TRO,35145018,,"Index Bryol.","1109","1109","1898"
tro-35145019,B,Regmatodontaceae,,Regmatodon,,"handelii",,"","Broth.",Unresolved,,L,TRO,35145019,,"Akad. Wiss. Wien Sitzungsber., Math.-Naturwiss. Kl., Abt. 1,","133: 578","578","1924"
tro-35145021,B,Regmatodontaceae,,Regmatodon,,"laevis",,"","(Thwaites & Mitt.) Paris",Accepted,,M,TRO,35145021,,"Index Bryol.","1109","1109","1898"
tro-35168042,B,Regmatodontaceae,,Regmatodon,,"longinervis",,"","C. Gao",Unresolved,,L,TRO,35168042,,"Acta Bot. Yunnan.","3: 398. f. 2: 23–27","398","1981"
tro-35145024,B,Regmatodontaceae,,Regmatodon,,"muelleri",,"","(Dozy & Molk.) Müll. Hal.",Accepted,,M,TRO,35145024,,"Linnaea","36: 21","21","1869"
tro-35145025,B,Regmatodontaceae,,Regmatodon,,"newtonii",,"","Broth.",Unresolved,,L,TRO,35145025,,"Bot. Jahrb. Syst.","24: 281","281","1897"
tro-35145026,B,Regmatodontaceae,,Regmatodon,,"nietneri",,"","Müll. Hal.",Accepted,,M,TRO,35145026,,"Linnaea","36: 20","20","1869"
tro-35145029,B,Regmatodontaceae,,Regmatodon,,"orthostegius",,"","Mont.",Accepted,,M,TRO,35145029,,"Ann. Sci. Nat., Bot., sér. 2,","17: 248","248","1842"
tro-35145033,B,Regmatodontaceae,,Regmatodon,,"polysetus",,"","(Griff.) Thér.",Accepted,,M,TRO,35145033,,"Bull. Soc. Bot. Genève","26: 88. 7–12","88","1936"
tro-35145034,B,Regmatodontaceae,,Regmatodon,,"pringlei",,"","Cardot",Unresolved,,L,TRO,35145034,,"Rev. Bryol.","37: 58","58","1910"
tro-35145035,B,Regmatodontaceae,,Regmatodon,,"rufus",,"","(Reinw. & Hornsch.) Müll. Hal.",Accepted,,M,TRO,35145035,,"Syn. Musc. Frond.","2: 30","30","1850"
tro-35145036,B,Regmatodontaceae,,Regmatodon,,"schlotheimioides",,"","Spruce ex Mitt.",Unresolved,,L,TRO,35145036,,"J. Linn. Soc., Bot.","12: 566","566","1869"
tro-35145039,B,Regmatodontaceae,,Regmatodon,,"secundus",,"","Kiaer",Unresolved,,L,TRO,35145039,,"Forh. Vidensk.-Selsk. Kristiania","1882(24): 38. 2 f. 5–7, 3 f. 1–5","38","1883"
tro-35145040,B,Regmatodontaceae,,Regmatodon,,"serrulatus",,"","(Dozy & Molk.) Bosch & Sande Lac.",Accepted,,M,TRO,35145040,,"Bryol. Jav.","2: 111","111","1864"
tro-35145041,B,Regmatodontaceae,,Regmatodon,,"strictus",,"","(Bosch & Sande Lac.) Müll. Hal.",Accepted,,M,TRO,35145041,,"Linnaea","36: 21","21","1869"
tro-100370220,B,Regmatodontaceae,,Yunnanobryon,,"rhyacophilum",,"","Shevock, Ochyra, S. He & D.G. Long",Accepted,,M,TRO,100370220,,"Bryologist","114(1): 194","194","2011"
