ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35145069,B,Rhabdoweisiaceae,,Rhabdoweisia,,"africana",,"","Dixon & Naveau",Accepted,,M,TRO,35145069,,"Bull. Soc. Roy. Bot. Belgique","60: 20","20","1927"
tro-35145070,B,Rhabdoweisiaceae,,Rhabdoweisia,,"alpestris",,"","(Wahlenb.) Loeske",Accepted,,M,TRO,35145070,,"Stud. Morph. Syst. Laubm.","84","84","1910"
tro-35186442,B,Rhabdoweisiaceae,,Rhabdoweisia,,"collenchymatica",,"","(J. Froehl.) A. Eddy",Accepted,,M,TRO,35186442,,"Handb. Males. Mosses","2: 223","223","nd"
tro-35145071,B,Rhabdoweisiaceae,,Rhabdoweisia,,"crenulata",,"","(Mitt.) H. Jameson",Accepted,,M,TRO,35145071,,"Rev. Bryol.","17: 6","6","1890"
tro-35145072,B,Rhabdoweisiaceae,,Rhabdoweisia,,"crispata",,"","(Dicks. ex With.) Lindb.",Accepted,,M,TRO,35145072,,"Acta Soc. Sci. Fenn.","10: 22","22","1871"
tro-35145073,B,Rhabdoweisiaceae,,Rhabdoweisia,,"curvipes",,"","(Müll. Hal.) Mitt.",Accepted,,M,TRO,35145073,,"Nat. Hist. Azores","291","291","1870"
tro-35145074,B,Rhabdoweisiaceae,,Rhabdoweisia,,"cyathicarpa",,"","(Mont.) Mitt.",Accepted,,M,TRO,35145074,,"J. Linn. Soc., Bot.","12: 54","54","1869"
tro-35145079,B,Rhabdoweisiaceae,,Rhabdoweisia,,"fugax",,"","(Hedw.) Bruch & Schimp.",Accepted,,M,TRO,35145079,,"Bryol. Eur.","1: 98 (fasc. 33–36. Monogr. 4.)","98","1846"
tro-35145082,B,Rhabdoweisiaceae,,Rhabdoweisia,,"fugax",var.,"gymnostoma","(Hartm.) Wijk & Margad.",Accepted,,L,TRO,35145082,,"Taxon","9: 191","191","1960"
tro-35145083,B,Rhabdoweisiaceae,,Rhabdoweisia,,"fugax",var.,"leptodon","(Plaubel ex Brid.) Rabenh.",Accepted,,L,TRO,35145083,,"Deutschl. Krypt.-Fl.","2(3): 129","129","1848"
tro-35145091,B,Rhabdoweisiaceae,,Rhabdoweisia,,"lindigiana",,"","(Hampe) Mitt.",Accepted,,M,TRO,35145091,,"J. Linn. Soc., Bot.","12: 54","54","1869"
tro-35183357,B,Rhabdoweisiaceae,,Rhabdoweisia,,"lineata",,"","P.W. Richards & Argent",Accepted,,M,TRO,35183357,,"Trans. Brit. Bryol. Soc.","5: 573. f. 1","573","1968"
tro-35145093,B,Rhabdoweisiaceae,,Rhabdoweisia,,"schisti",,"","(F. Weber & D. Mohr) Bruch & Schimp.",Accepted,,M,TRO,35145093,,"Bryol. Eur.","1: 99 (fasc. 33–36 Mon. 5. 3.)","99","1846"
tro-35145097,B,Rhabdoweisiaceae,,Rhabdoweisia,,"sphaerothecia",,"","(Müll. Hal.) Kindb.",Accepted,,M,TRO,35145097,,"Enum. Bryin. Exot., Suppl. 1","94","94","1889"
tro-35145098,B,Rhabdoweisiaceae,,Rhabdoweisia,,"striata",,"","Lindb.",Unresolved,,L,TRO,35145098,,"Öfvers. Förh. Kongl. Svenska Vetensk.-Akad.","21: 230","230","1864"
tro-35145101,B,Rhabdoweisiaceae,,Rhabdoweisiella,,"papillosa",,"","R.S. Williams",Accepted,,M,TRO,35145101,,"Bull. New York Bot. Gard.","8(31): 334. pl. 171","334","1914"
