ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35145109,B,Rhacocarpaceae,,Rhacocarpus,,"alpinus",,"","(C.H. Wright) Paris",Accepted,,M,TRO,35145109,,"Index Bryol. Suppl.","291","291","1900"
tro-35145110,B,Rhacocarpaceae,,Rhacocarpus,,"apiculatus",,"","(Renauld & Cardot) Paris",Accepted,,M,TRO,35145110,,"Index Bryol.","1068","1068","1898"
tro-35145111,B,Rhacocarpaceae,,Rhacocarpus,,"appendiculatus",,"","(Müll. Hal.) Paris",Accepted,,M,TRO,35145111,,"Index Bryol. Suppl.","291","291","1900"
tro-35145112,B,Rhacocarpaceae,,Rhacocarpus,,"australis",,"","(Hook. f. & Wilson) Paris",Accepted,,M,TRO,35145112,,"Index Bryol.","1068","1068","1898"
tro-35145113,B,Rhacocarpaceae,,Rhacocarpus,,"breutelianus",,"","(Müll. Hal.) Broth.",Accepted,,M,TRO,35145113,,"Nat. Pflanzenfam.","I(3): 720","720","1905"
tro-35145115,B,Rhacocarpaceae,,Rhacocarpus,,"chlorotus",,"","Herzog",Accepted,,M,TRO,35145115,,"Biblioth. Bot.","87: 106","106","1916"
tro-35145116,B,Rhacocarpaceae,,Rhacocarpus,,"crassolimbatus",,"","(Müll. Hal.) Paris",Accepted,,M,TRO,35145116,,"Index Bryol. Suppl.","291","291","1900"
tro-35145123,B,Rhacocarpaceae,,Rhacocarpus,,"excisus",,"","(Müll. Hal.) Paris",Accepted,,M,TRO,35145123,,"Index Bryol.","1069","1069","1898"
tro-35145124,B,Rhacocarpaceae,,Rhacocarpus,,"flavipilus",,"","(Müll. Hal.) Paris",Accepted,,M,TRO,35145124,,"Index Bryol. Suppl.","291","291","1900"
tro-35145125,B,Rhacocarpaceae,,Rhacocarpus,,"fontinaloides",,"","(Müll. Hal.) Paris",Accepted,,M,TRO,35145125,,"Index Bryol. Suppl.","291","291","1900"
tro-35145126,B,Rhacocarpaceae,,Rhacocarpus,,"fontinaloides",var.,"condensata","(Müll. Hal.) Paris",Accepted,,L,TRO,35145126,,"Index Bryol. Suppl.","292","292","1900"
tro-35145128,B,Rhacocarpaceae,,Rhacocarpus,,"gracillimus",,"","(Müll. Hal.) Broth.",Accepted,,M,TRO,35145128,,"Nat. Pflanzenfam.","I(3): 720","720","1905"
tro-35145132,B,Rhacocarpaceae,,Rhacocarpus,,"inermis",,"","(Müll. Hal.) Lindb.",Accepted,,M,TRO,35145132,,"Acta Soc. Sci. Fenn.","19(5): 22","22","1891"
tro-35191563,B,Rhacocarpaceae,,Rhacocarpus,,"inermis",var.,"cuspidatulus","(Müll. Hal.) J.-P. Frahm",Accepted,,L,TRO,35191563,,"Cryptog. Bryol. Lichénol.","17: 55","55","1996"
tro-35191566,B,Rhacocarpaceae,,Rhacocarpus,,"inermis",var.,"piliformis","(Broth.) J.-P. Frahm",Accepted,,L,TRO,35191566,,"Cryptog. Bryol. Lichénol.","17: 55","55","1996"
tro-35145133,B,Rhacocarpaceae,,Rhacocarpus,,"laevigatus",,"","Herzog",Accepted,,M,TRO,35145133,,"Repert. Spec. Nov. Regni Veg.","21: 32","32","1925"
tro-35145134,B,Rhacocarpaceae,,Rhacocarpus,,"mandonii",,"","(Müll. Hal.) Paris",Accepted,,M,TRO,35145134,,"Index Bryol. Suppl.","292","292","1900"
tro-35145136,B,Rhacocarpaceae,,Rhacocarpus,,"obtusoinermis",,"","(Müll. Hal.) Paris",Accepted,,M,TRO,35145136,,"Index Bryol. Suppl.","292","292","1900"
