ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35186330,B,Rigodiaceae,,Rigodium,,"adpressum",,"","Zomlefer",Accepted,,M,TRO,35186330,,"Syst. Bot.","17: 67. f. 1–3","67","1992"
tro-35149015,B,Rigodiaceae,,Rigodium,,"arborescens",,"","(Müll. Hal.) Broth.",Accepted,,M,TRO,35149015,,"Nat. Pflanzenfam.","I(3): 1160","1160","1909"
tro-35149016,B,Rigodiaceae,,Rigodium,,"argentinicum",,"","(Müll. Hal.) Kindb.",Accepted,,M,TRO,35149016,,"Enum. Bryin. Exot., suppl. 2,","103","103","1891"
tro-35149017,B,Rigodiaceae,,Rigodium,,"brachypodium",,"","(Müll. Hal.) Paris",Accepted,,M,TRO,35149017,,"Index Bryol.","1140","1140","1898"
tro-35149029,B,Rigodiaceae,,Rigodium,,"implexum",,"","Kunze ex Schwägr.",Accepted,,M,TRO,35149029,,"Linnaea","18: 559. 9","559","1845"
tro-35149030,B,Rigodiaceae,,Rigodium,,"kilimandscharicum",,"","(Broth.) Paris",Accepted,,M,TRO,35149030,,"Index Bryol.","1140","1140","1898"
tro-35149040,B,Rigodiaceae,,Rigodium,,"penicilliferum",,"","Müll. Hal.",Accepted,,M,TRO,35149040,,"Hedwigia","40: 81","81","1901"
tro-35149042,B,Rigodiaceae,,Rigodium,,"pseudothuidium",,"","Dusén",Accepted,,M,TRO,35149042,,"Bot. Not.","1905: 310","310","1905"
tro-35149043,B,Rigodiaceae,,Rigodium,,"pterigynandroides",,"","(Broth.) Broth.",Accepted,,M,TRO,35149043,,"Nat. Pflanzenfam.","I(3): 1238","1238","1909"
tro-35149045,B,Rigodiaceae,,Rigodium,,"reflexum",,"","(Starke) Kindb.",Accepted,,M,TRO,35149045,,"Bih. Kongl. Svenska Vetensk.-Akad. Handl.","7(9): 14","14","1883"
tro-35149046,B,Rigodiaceae,,Rigodium,,"robustum",,"","Broth.",Accepted,,M,TRO,35149046,,"Nat. Hist. Juan Fernandez","2: 443","443","1924"
tro-35149047,B,Rigodiaceae,,Rigodium,,"schlosseri",,"","(Sendtn.) Kindb.",Accepted,,M,TRO,35149047,,"Enum. Bryin. Exot., suppl. 2,","103","103","1891"
tro-35149048,B,Rigodiaceae,,Rigodium,,"solutum",,"","(Taylor) Paris",Accepted,,M,TRO,35149048,,"Index Bryol.","1140","1140","1898"
tro-35149049,B,Rigodiaceae,,Rigodium,,"tamarix",,"","Müll. Hal.",Accepted,,M,TRO,35149049,,"Hedwigia","36: 139","139","1897"
tro-35149050,B,Rigodiaceae,,Rigodium,,"toxarion",,"","(Schwägr.) A. Jaeger",Accepted,,M,TRO,35149050,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1876–77: 244 (Gen. Sp. Musc. 2: 310)","244 ","1878"
tro-35187027,B,Rigodiaceae,,Rigodium,,"toxarion",var.,"robustum","(Broth.) Zomlefer",Accepted,,L,TRO,35187027,,"Bryologist","96: 45","45","1993"
tro-35149053,B,Rigodiaceae,,Rigodium,,"varium",,"","(Hedw.) Kindb.",Accepted,,M,TRO,35149053,,"Bih. Kongl. Svenska Vetensk.-Akad. Handl.","7(9): 14","14","1883"
