ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
rjp-11906,A,Rosaceae,,Acaena,,"acrobyssina",,"","Bitter",Unresolved,,L,RJP,11906,719920-1,"","; 1910","51","1910"
rjp-11908,A,Rosaceae,,Acaena,,"aculeata",,"","Meyen",Unresolved,,L,RJP,11908,,"Reise um die Erde","Reise um die Erde; 1834","348","1834"
rjp-11980,A,Rosaceae,,Acaena,,"agnipila",,"","Gand.",Unresolved,,L,RJP,11980,719927-1,"","; 1913","707","1913"
rjp-12540,A,Rosaceae,,Acaena,,"alpina",,"","Poepp. ex Walp.",Accepted,,H,RJP,12540,,"","; 1843","326","1843"
rjp-12541,A,Rosaceae,,Acaena,,"andicola",,"","Gillies ex Walp.",Unresolved,,L,RJP,12541,,"Repertorium botanices systematicae","Repertorium botanices systematicae; 1842","43","1843"
rjp-12542,A,Rosaceae,,Acaena,,"andina",,"","Phil.",Unresolved,,L,RJP,12542,,"","; 1856","636","1856"
rjp-12473,A,Rosaceae,,Acaena,×,"anserinacea",,"","Bitter",Unresolved,,L,RJP,12473,,"","; 1910","302, t.32,33;f.91","1911"
rjp-17727,A,Rosaceae,,Acaena,,"anserinifolia",,"","(J.R.Forst. & G.Forst.) Domin",Unresolved,,L,RJP,17727,,"","; 1926","718","1926"
rjp-56114,A,Rosaceae,,Acaena,,"anserinifolia",,"","(J.R.Forst. & G.Forst.) J.B.Armstr.",Accepted,,H,RJP,56114,,"","; 1880","338","1880"
rjp-948,A,Rosaceae,,Acaena,,"anserinifolia",,"","(J.R.Forst. & G.Forst.) Druce",Unresolved,,L,RJP,948,,"(Report,) Botanical Society and Exchange Club of the British Isles","(Report,) Botanical Society and Exchange Club of the British Isles; 1914","484","1917"
rjp-12582,A,Rosaceae,,Acaena,×,"anserovina",,"","Orchard",Unresolved,,L,RJP,12582,719937-1,"","; 1969","104","1969"
rjp-11930,A,Rosaceae,,Acaena,,"antarctica",,"","Hook.f.",Accepted,,H,RJP,11930,,"Flora Antarctica","Flora Antarctica; 1844","269","1846"
rjp-11955,A,Rosaceae,,Acaena,,"aquatica",,"","L.",Unresolved,,L,RJP,11955,,"Mantissa plantarum","Mantissa plantarum; 1767","145","1771"
rjp-11933,A,Rosaceae,,Acaena,,"argentea",,"","Ruiz & Pav.",Accepted,,L,RJP,11933,719940-1,"Flora peruviana, et chilensis","Flora peruviana, et chilensis; 1798","67, t.103,f.b","1798"
rjp-12543,A,Rosaceae,,Acaena,,"argentea",,"","Bertero ex Steud.",Unresolved,,L,RJP,12543,,"Nomenclator botanicus","Nomenclator botanicus; 1840","9","1840"
rjp-11953,A,Rosaceae,,Acaena,,"asthenoglochin",,"","Bitter",Unresolved,,L,RJP,11953,719942-1,"","; 1910","146","1910"
rjp-12544,A,Rosaceae,,Acaena,,"australis",,"","(Salisb.) Britten",Unresolved,,L,RJP,12544,719943-1,"","; 1916","63","1916"
rjp-11916,A,Rosaceae,,Acaena,,"basibullata",,"","Bitter",Unresolved,,L,RJP,11916,815-2,"","; 1910","228, t.23","1910"
rjp-12545,A,Rosaceae,,Acaena,,"behriana",,"","Schltdl.",Unresolved,,L,RJP,12545,719945-1,"","; 1847","660","1847"
rjp-12546,A,Rosaceae,,Acaena,,"berteriana",,"","Bernh.",Unresolved,,L,RJP,12546,,"Selectus seminum in horto Erfurtensi anno 1835","Selectus seminum in horto Erfurtensi anno 1835; 1835","[3]","1835"
rjp-11956,A,Rosaceae,,Acaena,,"boliviana",,"","Gand.",Unresolved,,L,RJP,11956,816-2,"","; 1913","707","1913"
rjp-12484,A,Rosaceae,,Acaena,×,"brunnescens",,"","Bitter",Unresolved,,L,RJP,12484,,"","; 1910","317, t.36,f.a;f.97","1911"
rjp-11957,A,Rosaceae,,Acaena,,"buchananii",,"","Hook.f.",Unresolved,,L,RJP,11957,,"Handbook of the New Zealand flora","Handbook of the New Zealand flora; 1864","57","1864"
tro-27800003,A,Rosaceae,,Acaena,,"caesiglauca",,"","Bergmans",Accepted,,M,TRO,27800003,719952-1,"Vaste Pl. Rotsheest., ed. 2","65","65","1939"
rjp-12367,A,Rosaceae,,Acaena,,"caespitosa",,"","Gillies ex Hook. & Arn.",Accepted,,H,RJP,12367,,"","; 1833","307","1833"
rjp-11975,A,Rosaceae,,Acaena,,"calvivagina",,"","Bitter",Unresolved,,L,RJP,11975,828-2,"","; 1910","203, f.48","1910"
rjp-11991,A,Rosaceae,,Acaena,,"confertissima",,"","Bitter",Accepted,,H,RJP,11991,719965-1,"","; 1910","107","1910"
rjp-11995,A,Rosaceae,,Acaena,,"craspedotricha",,"","Bitter",Unresolved,,L,RJP,11995,719967-1,"","; 1910","202","1910"
rjp-12480,A,Rosaceae,,Acaena,×,"cunctatrix",,"","Bitter",Unresolved,,L,RJP,12480,,"","; 1910","313, f.95","1911"
rjp-12552,A,Rosaceae,,Acaena,,"decumbens",,"","Menzies",Unresolved,,L,RJP,12552,,"Flora Antarctica","Flora Antarctica; 1844","9","1844"
rjp-12555,A,Rosaceae,,Acaena,,"decumbens",,"","(G.Forst. ex Gaertn.) D.W.H.Walton",Unresolved,,L,RJP,12555,719973-1,"","; 1969","49","1969"
rjp-12095,A,Rosaceae,,Acaena,,"denudata",,"","Reiche",Unresolved,,L,RJP,12095,,"Flora de Chile","Flora de Chile; 1896","232","1897"
rjp-12557,A,Rosaceae,,Acaena,,"depressa",,"","Kirk",Unresolved,,L,RJP,12557,719977-1,"","; 1877","548","1877"
rjp-56115,A,Rosaceae,,Acaena,,"deserticola",,"","Phil.",Unresolved,,L,RJP,56115,,"","; ","",""
