ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2637035,A,Sabiaceae,,Androglossa,,"reticulatum",,"","Benth.",Unresolved,,L,WCSP (in review),769160,776152-1,"Hooker's J. Bot. Kew Gard. Misc.","4: 42","","1852"
tro-28200026,A,Sabiaceae,,Lorenzanea,,"irazuensis",,"","Standl.",Accepted,,M,TRO,28200026,,"","","",""
kew-2505034,A,Sabiaceae,,Meliosma,,"abbreviata",,"","Urb.",Unresolved,,L,WCSP (in review),641505,156670-2,"Ark. Bot.","17(7): 41","","1922"
kew-2505033,A,Sabiaceae,,Meliosma,,"acuminata",,"","Hook.f.",Unresolved,,L,WCSP (in review),641504,776160-1,"Fl. Brit. India","2: 4","","1876"
kew-2505032,A,Sabiaceae,,Meliosma,,"acuminatissima",,"","Merr.",Unresolved,,L,WCSP (in review),641503,776161-1,"Philipp. J. Sci., C","10: 36","","1915"
tro-28200003,A,Sabiaceae,,Meliosma,,"alba",,"","(Schltdl.) Walp.",Accepted,,M,TRO,28200003,776163-1,"Repert. Bot. Syst.","2: 816","816","1843"
tro-28200027,A,Sabiaceae,,Meliosma,,"allenii",,"","Standl. & L.O. Williams",Accepted,,M,TRO,28200027,289809-2,"Ceiba","3(3): 213","213","1953"
kew-2505028,A,Sabiaceae,,Meliosma,,"andina",,"","Cuatrec.",Unresolved,,L,WCSP (in review),641499,156671-2,"Lloydia","11: 215","","1949"
kew-2505027,A,Sabiaceae,,Meliosma,,"angulata",,"","Blume",Unresolved,,L,WCSP (in review),641498,776166-1,"Rumphia","3: 197","","1847 publ. 1849"
tro-28200094,A,Sabiaceae,,Meliosma,,"angustifolia",,"","Merr.",Accepted,,M,TRO,28200094,776167-1,"Philipp. J. Sci.","21(4): 348–349","348","1922"
tro-50044865,A,Sabiaceae,,Meliosma,,"anisophyllas",,"","Standl. & L.O. Williams",Unresolved,,L,TRO,50044865,,"","","",""
kew-2505025,A,Sabiaceae,,Meliosma,,"annamensis",,"","Gagnep.",Unresolved,,L,WCSP (in review),641496,776168-1,"Bull. Soc. Bot. France","99: 9","","1952"
kew-2607836,A,Sabiaceae,,Meliosma,,"antioquiensis",,"","Cornejo",Unresolved,,L,WCSP (in review),740829,60450135-2,"J. Bot. Res. Inst. Texas","2: 57","","2008"
kew-2505036,A,Sabiaceae,,Meliosma,,"apoensis",,"","Elmer",Unresolved,,L,WCSP (in review),641507,,"Leafl. Philipp. Bot.","10: 3784","","1939"
tro-28200071,A,Sabiaceae,,Meliosma,,"arenosa",,"","Idrobo & Cuatrec.",Accepted,,M,TRO,28200071,156672-2,"Caldasia","7: 192","192","1955"
kew-2505022,A,Sabiaceae,,Meliosma,,"aristeguietae",,"","Steyerm. & A.H.Gentry",Accepted,,M,WCSP (in review),641493,306959-2,"Fl. Venez.","5(1): 206","","1992"
tro-28200044,A,Sabiaceae,,Meliosma,,"arnottiana",,"","(Wight) Walp.",Accepted,,M,TRO,28200044,776171-1,"Repert. Bot. Syst.","1: 423","423","1842"
kew-2505017,A,Sabiaceae,,Meliosma,,"bartlettii",,"","Merr. & L.M.Perry",Unresolved,,L,WCSP (in review),641488,776172-1,"J. Arnold Arbor.","20: 356","","1939"
tro-28200169,A,Sabiaceae,,Meliosma,,"bifida",,"","Y.W. Law",Accepted,,M,TRO,28200169,776174-1,"Acta Phytotax. Sin.","17(1): 44, pl. 3","44","1979"
tro-28200004,A,Sabiaceae,,Meliosma,,"bogotana",,"","Steyerm.",Accepted,,M,TRO,28200004,156673-2,"Bull. Torrey Bot. Club","80: 500","500","1953"
tro-28200048,A,Sabiaceae,,Meliosma,,"boliviensis",,"","Cuatrec.",Accepted,,M,TRO,28200048,156674-2,"Trop. Woods","101: 27","27","1955"
kew-2504967,A,Sabiaceae,,Meliosma,,"bontocensis",,"","Merr.",Unresolved,,L,WCSP (in review),641438,776177-1,"Philipp. J. Sci.","20: 403","","1922"
kew-2504966,A,Sabiaceae,,Meliosma,,"brachybotrys",,"","Merr.",Unresolved,,L,WCSP (in review),641437,776178-1,"Philipp. J. Sci., C","12: 275","","1917"
kew-2504965,A,Sabiaceae,,Meliosma,,"brasiliensis",,"","Urb.",Unresolved,,L,WCSP (in review),641436,776179-1,"Ber. Deutsch. Bot. Ges.","13: 216","","1895 publ. 1896"
