ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-4609415,A,Salicaceae,,Abatia,,"americana",,"","(Gardner) Eichler",Accepted,,M,WCSP (in review),1030013,779358-1,"Fl. Bras.","13(1): 510","","1871"
kew-4603352,A,Salicaceae,,Abatia,,"angeliana",,"","M.H.Alford",Accepted,,M,WCSP (in review),1029977,60444577-2,"Novon","16: 296","","2006"
kew-4609419,A,Salicaceae,,Abatia,,"canescens",,"","Sleumer",Accepted,,M,WCSP (in review),1030017,364921-1,"Notizbl. Bot. Gart. Berlin-Dahlem","11: 951","","1934"
tro-13200019,A,Salicaceae,,Abatia,,"dombeyana",,"","Taub.",Unresolved,,L,TRO,13200019,,"","","",""
kew-4609420,A,Salicaceae,,Abatia,,"glabra",,"","Sleumer",Accepted,,M,WCSP (in review),1030018,364922-1,"Fl. Neotrop. Monogr.","22: 49","","1980"
kew-4609423,A,Salicaceae,,Abatia,,"mexicana",,"","Standl.",Accepted,,M,WCSP (in review),1030021,364924-1,"Publ. Field Mus. Nat. Hist., Bot. Ser.","8: 318","","1931"
kew-4609424,A,Salicaceae,,Abatia,,"microphylla",,"","Taub.",Accepted,,M,WCSP (in review),1030022,779361-1,"Bot. Jahrb. Syst.","15(34): 11","","1892"
kew-4609425,A,Salicaceae,,Abatia,,"parviflora",,"","Ruiz & Pav.",Accepted,,M,WCSP (in review),1030023,,"Fl. Peruv. Prodr.","78, t. 14","","1794"
kew-4609426,A,Salicaceae,,Abatia,,"rugosa",,"","Ruiz & Pav.",Accepted,,M,WCSP (in review),1030024,,"Fl. Peruv. Prodr.","78, t. 14","","1794"
kew-4609427,A,Salicaceae,,Abatia,,"spicata",,"","(Turcz.) Sleumer",Accepted,,M,WCSP (in review),1030025,1104397-2,"Repert. Spec. Nov. Regni Veg.","45: 13","","1938"
