ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2667376,A,Salvadoraceae,,Azima,,"angustifolia",,"","A.DC.",Accepted,,M,WCSP (in review),799331,779306-1,"Prodr.","17: 29","","1873"
kew-2667377,A,Salvadoraceae,,Azima,,"diacantha",,"","Lam.",Unresolved,,L,WCSP (in review),799332,779307-1,"Encycl.","1: 343","","1783"
kew-2667381,A,Salvadoraceae,,Azima,,"sarmentosa",,"","(Blume) Benth. & Hook.f.",Accepted,,M,WCSP (in review),799336,779311-1,"Gen. Pl.","2: 681","","1876"
kew-2667384,A,Salvadoraceae,,Azima,,"tetracantha",,"","Lam.",Accepted,,M,WCSP (in review),799339,779315-1,"Encycl.","1: 343","","1783"
tro-100361950,A,Salvadoraceae,,Dobera,,"arabica",,"","J. St.-Hil.",Unresolved,,L,TRO,100361950,,"Expos. Fam. Nat.","2: 379","379","1805"
kew-2773607,A,Salvadoraceae,,Dobera,,"glabra",,"","(Forssk.) Juss. ex Poir.",Accepted,,M,WCSP (in review),901718,779320-1,"Encycl.","Suppl. 2: 493","","1812"
kew-2773610,A,Salvadoraceae,,Dobera,,"loranthifolia",,"","(Warb.) Harms",Accepted,,M,WCSP (in review),901721,779321-1,"Nat. Pflanzenfam.","Nachtr. 1: 282","","1897"
kew-2773612,A,Salvadoraceae,,Dobera,,"roxburghii",,"","Planch.",Unresolved,,L,WCSP (in review),901723,779323-1,"Ann. Sci. Nat., Bot.","III, 10: 191","","1848"
kew-2510544,A,Salvadoraceae,,Monetia,,"diacantha",,"","Willd.",Unresolved,,L,WCSP (in review),646887,779328-1,"Sp. Pl.","1: 670","","1798"
kew-2510542,A,Salvadoraceae,,Monetia,,"paleacea",,"","Spreng.",Unresolved,,L,WCSP (in review),646885,779330-1,"Syst. Veg.","1: 442","","1824"
kew-2510551,A,Salvadoraceae,,Monetia,,"triphylla",,"","Dennst.",Unresolved,,L,WCSP (in review),646894,779333-1,"Reis. Br.-Guiana","31","","1818"
kew-2543390,A,Salvadoraceae,,Platymitium,,"loranthifolium",,"","Warb.",Unresolved,,L,WCSP (in review),679237,112010-1,"Pflanzenw. Ost-Afrikas","C: t. 3","","1895"
kew-2581802,A,Salvadoraceae,,Salvadora,,"angustifolia",,"","Turrill",Unresolved,,L,WCSP (in review),715483,779336-1,"Bull. Misc. Inform. Kew","1918: 202","","1918"
tro-28400006,A,Salvadoraceae,,Salvadora,,"australis",,"","Schweick.",Accepted,,M,TRO,28400006,,"","","",""
kew-2581813,A,Salvadoraceae,,Salvadora,,"biflora",,"","Lour.",Unresolved,,L,WCSP (in review),715494,779338-1,"Fl. Cochinch.","88","","1790"
kew-2581812,A,Salvadoraceae,,Salvadora,,"capitulata",,"","Lour.",Unresolved,,L,WCSP (in review),715493,779339-1,"Fl. Cochinch.","87","","1790"
kew-2581804,A,Salvadoraceae,,Salvadora,,"crassinervia",,"","Hochst. ex T.Anderson",Unresolved,,L,WCSP (in review),715485,779340-1,"J. Proc. Linn. Soc., Bot.","5(Suppl. 1): 30","","1860"
kew-2581811,A,Salvadoraceae,,Salvadora,,"cyclophylla",,"","Chiov.",Unresolved,,L,WCSP (in review),715492,779341-1,"Fl. Somala","2: 282","","1932"
kew-2581810,A,Salvadoraceae,,Salvadora,,"indica",,"","Royle",Unresolved,,L,WCSP (in review),715491,,"Ill. Bot. Himal. Mts.","319","","1836"
kew-2581803,A,Salvadoraceae,,Salvadora,,"koenigii",,"","Arn.",Unresolved,,L,WCSP (in review),715484,779344-1,"Proc. Roy. Philos. Soc. Glasgow","3: 160","","1851 publ. 1855"
tro-50250901,A,Salvadoraceae,,Salvadora,,"oleoides",,"","Decne.",Accepted,,L,TRO,50250901,779346-1,"","","",""
kew-2581807,A,Salvadoraceae,,Salvadora,,"paniculata",,"","Zucc. ex Steud.",Unresolved,,L,WCSP (in review),715488,,"Nomencl. Bot.","ed. 2, 2: 503","","1841"
kew-2581806,A,Salvadoraceae,,Salvadora,,"persica",,"","L.",Accepted,,M,WCSP (in review),715487,779348-1,"Sp. Pl.","122","","1753"
kew-2581798,A,Salvadoraceae,,Salvadora,,"stocksii",,"","Wight",Unresolved,,L,WCSP (in review),715479,,"Ill. Ind. Bot.","2: 229","","1850"
kew-2581793,A,Salvadoraceae,,Salvadora,,"villosa",,"","Maire",Unresolved,,L,WCSP (in review),715474,779352-1,"Notul. Syst. (Paris)","8: 24","","1939"
kew-2581794,A,Salvadoraceae,,Salvadora,,"wightiana",,"","Planch. ex Thwaites",Unresolved,,L,WCSP (in review),715475,779353-1,"Enum. Pl. Zeyl.","190","","1860"
kew-2581795,A,Salvadoraceae,,Salvadora,,"wightii",,"","Arn.",Unresolved,,L,WCSP (in review),715476,779354-1,"Proc. Roy. Philos. Soc. Glasgow","3: 160","","1851 publ. 1855"
kew-2442247,A,Salvadoraceae,,Tomex,,"laurina",,"","Hornem. ex Meisn.",Unresolved,,L,WCSP (in review),579895,468987-1,"Prodr.","15(1): 229","","1864"
kew-2442249,A,Salvadoraceae,,Tomex,,"myrrha",,"","(Lour.) Oken",Unresolved,,L,WCSP (in review),579897,468989-1,"Allg. Naturgesch.","3(3): 1524","","1841"
