ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
ifn-8588,P,Salviniaceae,,Azolla,,"bonariensis",,"","Bertol.",Unresolved,,L,IPNI,17056900-1,17056900-1,"Misc.","21. t. 5 f. 2 a, b. 1860 (Rend. Sess. Acc. Sci. Bol. 1859-60. 64. 1860)","","1860"
tro-26602846,P,Salviniaceae,,Azolla,,"caroliniana",,"","Willd.",Accepted,,M,TRO,26602846,17056910-1,"Sp. Pl.","5(1): 541","541","1810"
tro-26610644,P,Salviniaceae,,Azolla,,"circinata",,"","Oltz & Hall",Unresolved,,L,TRO,26610644,,"Amer. Fern J.","58: 79","79","1968"
tro-50308757,P,Salviniaceae,,Azolla,,"cristata",,"","Kaulf.",Accepted,,M,TRO,50308757,17056920-1,"Enum. Filic.","274","274","1824"
ifn-8592,P,Salviniaceae,,Azolla,,"decomposita",,"","Zoll.",Unresolved,,L,IPNI,17056930-1,17056930-1,"Syst. Verz.","51, 52. 1854","","1854"
tro-50042207,P,Salviniaceae,,Azolla,,"densa",,"","Desv.",Unresolved,,L,TRO,50042207,17056940-1,"Mém. Soc. Linn. Paris","6: 178","178","1827"
tro-26602847,P,Salviniaceae,,Azolla,,"filiculoides",,"","Lam.",Accepted,,M,TRO,26602847,17056950-1,"Encycl.","1(1): 343","343","1783"
tro-50306247,P,Salviniaceae,,Azolla,,"filiculoides",var.,"rubra","(R. Br.) Strasb.",Accepted,,L,TRO,50306247,,"","","",""
tro-26612123,P,Salviniaceae,,Azolla,,"imbricata",,"","(Roxb. ex Griff.) Nakai",Accepted,,M,TRO,26612123,17307420-1,"Bot. Mag. (Tokyo)","39(463): 185","185","1925"
tro-26612124,P,Salviniaceae,,Azolla,,"japonica",,"","Franch. & Sav.",Unresolved,,L,TRO,26612124,17056970-1,"Enum. Pl. Jap.","2(1): 195","195","1877"
tro-26603594,P,Salviniaceae,,Azolla,,"mexicana",,"","C. Presl",Accepted,,M,TRO,26603594,,"Abh. Königl. Böhm. Ges. Wiss.","3: 150","150","1845"
tro-26608433,P,Salviniaceae,,Azolla,,"microphylla",,"","Kaulf.",Accepted,,M,TRO,26608433,17057000-1,"Enum. Filic.","273","273","1824"
tro-26610267,P,Salviniaceae,,Azolla,,"nilotica",,"","Mett.",Unresolved,,L,TRO,26610267,17057010-1,"Pl. Tinn.","54, t. 25","54","1867"
tro-26600073,P,Salviniaceae,,Azolla,,"pinnata",,"","R. Br.",Accepted,,M,TRO,26600073,17057020-1,"Prodr.","167","167","1810"
tro-50009388,P,Salviniaceae,,Azolla,,"pinnata",subsp.,"africana","(Desv.) R.M.K. Saunders & K. Fowler",Accepted,,L,TRO,50009388,17546020-1,"Bot. J. Linn. Soc.","109: 351, f. 30A","351","1992"
tro-26625677,P,Salviniaceae,,Azolla,,"portoricensis",,"","Spreng.",Unresolved,,L,TRO,26625677,17057030-1,"Syst. Veg. (ed. 13)","4: 9","9","1827"
tro-100365667,P,Salviniaceae,,Carpanthus,,"axillaris",,"","Raf.",Unresolved,,L,TRO,100365667,17063710-1,"Med. Repos., ser. 2,","5: 356","356","1808"
tro-50042206,P,Salviniaceae,,Salvinia,,"adnata",,"","Desv.",Accepted,,M,TRO,50042206,17219780-1,"Mém. Soc. Linn. Paris","6: 177","177","1827"
tro-26625676,P,Salviniaceae,,Salvinia,,"affinis",,"","Desv.",Unresolved,,L,TRO,26625676,17219790-1,"Mém. Soc. Linn. Paris","6: 177","177","1827"
tro-26602844,P,Salviniaceae,,Salvinia,,"auriculata",,"","Aubl.",Accepted,,M,TRO,26602844,17219800-1,"Hist. Pl. Guiane","2: 969, pl. 367","969","1775"
ifn-47707,P,Salviniaceae,,Salvinia,,"azolla",,"","Raddi",Unresolved,,L,IPNI,17219810-1,17219810-1,"Pl. Bras.","1. 2 t. 1 f. 3. 1825","","1825"
tro-50199518,P,Salviniaceae,,Salvinia,,"biloba",,"","Raddi",Accepted,,M,TRO,50199518,17219820-1,"Pl. Bras. Nov. Gen.","1, 1: 4, t.1 f.4","4","1825"
tro-26614825,P,Salviniaceae,,Salvinia,,"cucullata",,"","Roxb.",Unresolved,,L,TRO,26614825,,"","","",""
tro-50274466,P,Salviniaceae,,Salvinia,,"cyathiformis",,"","Maxon",Unresolved,,L,TRO,50274466,227106-2,"J. Wash. Acad. Sci.","12(17): 401","401","1922"
ifn-47712,P,Salviniaceae,,Salvinia,,"europaea",,"","Desv.",Unresolved,,L,IPNI,17219840-1,17219840-1,"M","6(2): 177","","1827"
