ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2615357,A,Sapindaceae,,Acer,,"acuminatum",,"","Wall. ex D.Don",Accepted,,M,WCSP (in review),747762,781223-1,"Prodr. Fl. Nepal.","249","","1825"
tro-50143067,A,Sapindaceae,,Acer,,"adscharicum",,"","Gatsch.",Unresolved,,L,TRO,50143067,,"","","",""
kew-2615365,A,Sapindaceae,,Acer,,"amamiense",,"","T.Yamaz.",Accepted,,M,WCSP (in review),747770,1018581-1,"J. Jap. Bot.","75: 282","","2000"
kew-2615369,A,Sapindaceae,,Acer,,"amplum",,"","Rehder",Accepted,,M,WCSP (in review),747774,56603-1,"Pl. Wilson.","1: 86","","1911"
kew-2606050,A,Sapindaceae,,Acer,,"amplum",subsp.,"bodinieri","(H.Lév.) Y.S.Chen",Accepted,,L,WCSP (in review),739108,77091079-1,"in Fl. China","11: 519","","2008"
kew-2606051,A,Sapindaceae,,Acer,,"amplum",subsp.,"catalpifolium","(Rehder) Y.S.Chen",Accepted,,L,WCSP (in review),739109,77091080-1,"in Fl. China","11: 519","","2008"
kew-2606052,A,Sapindaceae,,Acer,,"amplum",subsp.,"tientaiense","(C.K.Schneid.) Y.S.Chen",Accepted,,L,WCSP (in review),739110,77091077-1,"in Fl. China","11: 518","","2008"
kew-2615378,A,Sapindaceae,,Acer,,"argutum",,"","Maxim. ex Miq.",Accepted,,M,WCSP (in review),747783,,"Arch. Néerl. Sci. Exact. Nat.","2: 475","","1867"
kew-2615379,A,Sapindaceae,,Acer,,"assyriacum",,"","Pojark.",Unresolved,,L,WCSP (in review),747784,56606-1,"Trudy Bot. Inst. Akad. Nauk S.S.S.R., Ser. 1, Fl. Sist. Vyssh. Rast.","1: 145","","1933"
kew-2615385,A,Sapindaceae,,Acer,×,"avilae",,"","Font Quer & Rothm.",Unresolved,,L,WCSP (in review),747790,56609-1,"Sched. Fl. Iber. Selectam","1: 56","","1934"
kew-2615397,A,Sapindaceae,,Acer,,"barbatum",var.,"rugelii","(Pax) Bush",Unresolved,,L,WCSP (in review),747802,1750-2,"Amer. Midl. Naturalist","11: 116","","1928"
kew-2615400,A,Sapindaceae,,Acer,,"barbinerve",,"","Maxim. ex Miq.",Accepted,,M,WCSP (in review),747805,,"Arch. Néerl. Sci. Exact. Nat.","2: 476","","1967"
