ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2616736,A,Saxifragaceae,,Aceriphyllum,,"rossii",,"","(Oliv.) Engl.",Unresolved,,L,WCSP (in review),749121,790196-1,"Nat. Pflanzenfam.","3(2a): 52","","1891"
kew-2636232,A,Saxifragaceae,,Anarmosa,,"gracilis",,"","Miers ex Hook.",Unresolved,,L,WCSP (in review),768367,790209-1,"Bot. Misc.","3: 338","","1833"
kew-2642416,A,Saxifragaceae,,Antiphylla,,"acrophila",,"","Jord.",Unresolved,,L,WCSP (in review),774514,790214-1,"Icon. Fl. Eur.","2: 29","","1903"
kew-2642417,A,Saxifragaceae,,Antiphylla,,"acutiflora",,"","Jord.",Unresolved,,L,WCSP (in review),774515,790215-1,"Icon. Fl. Eur.","2: 30","","1903"
kew-2642419,A,Saxifragaceae,,Antiphylla,,"aretioides",,"","Jord.",Unresolved,,L,WCSP (in review),774517,790217-1,"Icon. Fl. Eur.","2: 28","","1903"
kew-2642423,A,Saxifragaceae,,Antiphylla,,"coryphaea",,"","Jord.",Unresolved,,L,WCSP (in review),774521,790221-1,"Icon. Fl. Eur.","2: 29","","1903"
kew-2642424,A,Saxifragaceae,,Antiphylla,,"grandiflora",,"","Jord.",Unresolved,,L,WCSP (in review),774522,790222-1,"Icon. Fl. Eur.","2: 28","","1903"
kew-2642425,A,Saxifragaceae,,Antiphylla,,"latiflora",,"","Jord.",Unresolved,,L,WCSP (in review),774523,790223-1,"Icon. Fl. Eur.","2: 28","","1903"
kew-2642426,A,Saxifragaceae,,Antiphylla,,"laxifolia",,"","Jord.",Unresolved,,L,WCSP (in review),774524,790224-1,"Icon. Fl. Eur.","2: 30","","1903"
kew-2642427,A,Saxifragaceae,,Antiphylla,,"majuscula",,"","Jord.",Unresolved,,L,WCSP (in review),774525,790225-1,"Icon. Fl. Eur.","2: 30","","1903"
kew-2642428,A,Saxifragaceae,,Antiphylla,,"nana",,"","(Engl.) Losinsk.",Unresolved,,L,WCSP (in review),774526,790226-1,"Izv. Glavn. Bot. Sada S.S.S.R.","27: 601","","1928"
kew-2642429,A,Saxifragaceae,,Antiphylla,,"octandra",,"","(H.Sm.) Losinsk.",Unresolved,,L,WCSP (in review),774527,790227-1,"Izv. Glavn. Bot. Sada S.S.S.R.","27: 601","","1928"
kew-2642431,A,Saxifragaceae,,Antiphylla,,"parviflora",,"","Jord.",Unresolved,,L,WCSP (in review),774529,790229-1,"Icon. Fl. Eur.","2: 28","","1903"
kew-2642434,A,Saxifragaceae,,Antiphylla,,"scopulosa",,"","Jord.",Unresolved,,L,WCSP (in review),774532,790232-1,"Icon. Fl. Eur.","2: 29","","1903"
kew-2642435,A,Saxifragaceae,,Antiphylla,,"spathulata",,"","Haw.",Unresolved,,L,WCSP (in review),774533,790233-1,"Saxifrag. Enum.","44","","1821"
kew-2642436,A,Saxifragaceae,,Antiphylla,,"squarrosula",,"","Jord.",Unresolved,,L,WCSP (in review),774534,790234-1,"Icon. Fl. Eur.","2: 29","","1903"
kew-2642437,A,Saxifragaceae,,Antiphylla,,"vesula",,"","Jord.",Unresolved,,L,WCSP (in review),774535,790235-1,"Icon. Fl. Eur.","2: 30","","1903"
kew-2656720,A,Saxifragaceae,,Astilbe,×,"amabilis",,"","H.Hara",Accepted,,M,WCSP (in review),788758,790264-1,"J. Jap. Bot.","51: 74","","1976"
kew-2656721,A,Saxifragaceae,,Astilbe,,"apoensis",,"","Hallier f.",Accepted,,M,WCSP (in review),788759,790265-1,"Meded. Rijks-Herb.","37: 7","","1918"
kew-2656722,A,Saxifragaceae,,Astilbe,,"aruncus",,"","(L.) Trevir.",Unresolved,,L,WCSP (in review),788760,,"Bot. Zeitung (Berlin)","13: 819","","1855"
