ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35168536,B,Sematophyllaceae,,Acanthocladiella,,"albescens",,"","(P. de la Varde) H. Rob. & C.F. Reed",Accepted,,M,TRO,35168536,,"Bryologist","69: 322","322","1966"
tro-35102015,B,Sematophyllaceae,,Acanthocladiella,,"flexilis",,"","(Renauld & Cardot) M. Fleisch.",Accepted,,M,TRO,35102015,,"Musci Buitenzorg","4: 1382","1382","1923"
tro-35168537,B,Sematophyllaceae,,Acanthocladiella,,"guineensis",,"","(Broth. & Paris) H. Rob. & C.F. Reed",Accepted,,M,TRO,35168537,,"Bryologist","69: 322","322","1966"
tro-35168538,B,Sematophyllaceae,,Acanthocladiella,,"julicaulis",,"","(Broth. & Paris) H. Rob. & C.F. Reed",Accepted,,M,TRO,35168538,,"Bryologist","69: 322","322","1966"
tro-35102023,B,Sematophyllaceae,,Acanthocladium,,"albescens",,"","Thér. & P. de la Varde",Accepted,,M,TRO,35102023,,"Bull. Soc. Bot. France","72: 363. f. 15","363","1925"
tro-35141398,B,Sematophyllaceae,,Acanthocladium,,"alboalare",,"","Tixier",Accepted,,M,TRO,35141398,,"Rev. Bryol. Lichénol.","37: 745. f. 9","745","1970"
tro-35102027,B,Sematophyllaceae,,Acanthocladium,,"baculiferum",,"","Dixon",Accepted,,M,TRO,35102027,,"J. Bombay Nat. Hist. Soc.","39: 791. pl. 1: f. 20","791","1937"
tro-35102031,B,Sematophyllaceae,,Acanthocladium,,"bessonii",,"","(Renauld & Cardot) Broth.",Accepted,,M,TRO,35102031,,"Index Bryol. (ed. 2)","1: 1","1","1903"
tro-35102034,B,Sematophyllaceae,,Acanthocladium,,"brevifolium",,"","Dixon",Accepted,,M,TRO,35102034,,"J. Linn. Soc., Bot.","50: 116. pl. 3: f. 31","116","1935"
tro-35168550,B,Sematophyllaceae,,Acanthocladium,,"carlottae",,"","W.B. Schofield",Accepted,,M,TRO,35168550,,"Bryologist","69: 336. f. 1–6","336","1966"
tro-35102037,B,Sematophyllaceae,,Acanthocladium,,"clarkii",,"","Dixon",Accepted,,M,TRO,35102037,,"J. Linn. Soc., Bot.","45: 506. pl. 29: f. 15","506","1922"
