ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-303655,A,Stemonaceae,,Croomia,,"heterosepala",,"","(Baker) Okuyama",Accepted,,H,WCSP,303655,821979-1,"J. Jap. Bot.","20: 32","","1944"
kew-462749,A,Stemonaceae,,Croomia,,"hyugaensis",,"","Kadota & Mas.Saito",Accepted,,H,WCSP,462749,77108707-1,"J. Jap. Bot.","85: 281","","2010"
kew-303656,A,Stemonaceae,,Croomia,,"japonica",,"","Miq.",Accepted,,H,WCSP,303656,742784-1,"Ann. Mus. Bot. Lugduno-Batavi","2: 138","","1865"
kew-303659,A,Stemonaceae,,Croomia,,"pauciflora",,"","(Nutt.) Torr.",Accepted,,H,WCSP,303659,,"Fl. N. Amer.","1: 663","","1840"
kew-462748,A,Stemonaceae,,Croomia,,"saitoana",,"","Kadota",Accepted,,H,WCSP,462748,77108706-1,"J. Jap. Bot.","85: 277","","2010"
kew-285328,A,Stemonaceae,,Pentastemona,,"egregia",,"","(Schott) Steenis",Accepted,,H,WCSP,285328,911060-1,"Blumea","28: 162","","1982"
kew-285407,A,Stemonaceae,,Pentastemona,,"sumatrana",,"","Steenis",Accepted,,H,WCSP,285407,900534-1,"Blumea","28: 161","","1982"
kew-308787,A,Stemonaceae,,Roxburghia,,"ruscifolia",,"","Zucc. ex Schnizl.",Unresolved,,L,WCSP,308787,742795-1,"Iconogr. Fam. Regn. Veg.","1: t. 56b, f. 17","","1845"
kew-288225,A,Stemonaceae,,Stemona,,"affinis",,"","J.J.Sm.",Unresolved,,L,WCSP,288225,821980-1,"Bull. Jard. Bot. Buitenzorg","III, 6: 74","","1924"
kew-287949,A,Stemonaceae,,Stemona,,"angusta",,"","I.R.H.Telford",Accepted,,H,WCSP,287949,929690-1,"in Fl. Australia","46: 230","","1986"
kew-288226,A,Stemonaceae,,Stemona,,"aphylla",,"","Craib",Accepted,,H,WCSP,288226,,"Bull. Misc. Inform. Kew","1912: 408","","1912"
kew-293250,A,Stemonaceae,,Stemona,,"australiana",,"","(Benth.) C.H.Wright",Accepted,,H,WCSP,293250,742800-1,"J. Linn. Soc., Bot.","32: 496","","1896"
kew-308840,A,Stemonaceae,,Stemona,,"burkillii",,"","Prain",Accepted,,H,WCSP,308840,,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist.","73: 43","","1902"
kew-288256,A,Stemonaceae,,Stemona,,"cochinchinensis",,"","Gagnep.",Accepted,,H,WCSP,288256,821984-1,"Bull. Soc. Bot. France","81: 146","","1934"
kew-288284,A,Stemonaceae,,Stemona,,"collinsiae",,"","Craib",Accepted,,H,WCSP,288284,821985-1,"Bull. Misc. Inform. Kew","1920: 305","","1920"
kew-308841,A,Stemonaceae,,Stemona,,"curtisii",,"","Hook.f.",Accepted,,H,WCSP,308841,742802-1,"Fl. Brit. India","6: 298","","1892"
kew-308844,A,Stemonaceae,,Stemona,,"griffithiana",,"","Kurz",Accepted,,H,WCSP,308844,742805-1,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist.","42(2): 109","","1873"
kew-287780,A,Stemonaceae,,Stemona,,"hutanguriana",,"","Chuakul",Accepted,,H,WCSP,287780,1017523-1,"Kew Bull.","55: 977","","2000"
kew-464176,A,Stemonaceae,,Stemona,,"involuta",,"","Inthachub",Accepted,,H,WCSP,464176,77107337-1,"Blumea","55: 147","","2010"
kew-308845,A,Stemonaceae,,Stemona,,"japonica",,"","(Blume) Miq.",Accepted,,L,WCSP,308845,,"Prol. Fl. Jap.","386","","1867"
kew-308846,A,Stemonaceae,,Stemona,,"javanica",,"","(Kunth) Engl.",Accepted,,H,WCSP,308846,742807-1,"Nat. Pflanzenfam.","2(5): 8","","1887"
kew-288269,A,Stemonaceae,,Stemona,,"kerrii",,"","Craib",Accepted,,H,WCSP,288269,821988-1,"Bull. Misc. Inform. Kew","1912: 408","","1912"
kew-308847,A,Stemonaceae,,Stemona,,"kurzii",,"","Prain",Accepted,,H,WCSP,308847,,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist.","73: 42","","1902"
kew-287968,A,Stemonaceae,,Stemona,,"lucida",,"","(R.Br.) Duyfjes",Accepted,,H,WCSP,287968,963156-1,"Blumea","36: 243","","1991"
kew-288270,A,Stemonaceae,,Stemona,,"mairei",,"","(H.Lév.) K.Krause",Accepted,,H,WCSP,288270,821989-1,"Notizbl. Bot. Gart. Berlin-Dahlem","10: 289","","1928"
kew-308848,A,Stemonaceae,,Stemona,,"moluccana",,"","(Blume) C.H.Wright",Unresolved,,L,WCSP,308848,742810-1,"J. Linn. Soc., Bot.","32: 494","","1896"
kew-308849,A,Stemonaceae,,Stemona,,"parviflora",,"","C.H.Wright",Accepted,,H,WCSP,308849,742812-1,"J. Linn. Soc., Bot.","32: 496","","1896"
kew-309832,A,Stemonaceae,,Stemona,,"phyllantha",,"","Gagnep.",Accepted,,H,WCSP,309832,821993-1,"Bull. Soc. Bot. France","81: 147","","1934"
kew-288275,A,Stemonaceae,,Stemona,,"pierrei",,"","Gagnep.",Accepted,,H,WCSP,288275,821994-1,"Bull. Soc. Bot. France","81: 147","","1934"
kew-287948,A,Stemonaceae,,Stemona,,"prostrata",,"","I.R.H.Telford",Accepted,,H,WCSP,287948,929689-1,"in Fl. Australia","46: 230","","1986"
kew-464177,A,Stemonaceae,,Stemona,,"rupestris",,"","Inthachub",Accepted,,H,WCSP,464177,77107338-1,"Blumea","55: 150","","2010"
kew-308851,A,Stemonaceae,,Stemona,,"sessilifolia",,"","(Miq.) Miq.",Accepted,,H,WCSP,308851,,"Prol. Fl. Jap.","386","","1867"
kew-288277,A,Stemonaceae,,Stemona,,"squamigera",,"","Gagnep.",Accepted,,H,WCSP,288277,821996-1,"Bull. Soc. Bot. France","81: 148","","1934"
kew-308852,A,Stemonaceae,,Stemona,,"tuberosa",,"","Lour.",Accepted,,H,WCSP,308852,742815-1,"Fl. Cochinch.","404","","1790"
kew-309815,A,Stemonaceae,,Stemona,,"tuberosa",var.,"minor","(Hook.f.) C.E.C.Fisch.",Accepted,,L,WCSP,309815,,"Fl. Madras","1514","","1928"
kew-287974,A,Stemonaceae,,Stemona,,"tuberosa",var.,"ternatensis","(J.J.Sm.) Duyfjes",Unresolved,,L,WCSP,287974,967001-1,"Blumea","36: 243","","1991"
kew-459573,A,Stemonaceae,,Stichoneuron,,"bognerianum",,"","Duyfjes",Accepted,,H,WCSP,459573,77099859-1,"Edinburgh J. Bot.","66: 219","","2009"
kew-459574,A,Stemonaceae,,Stichoneuron,,"calcicola",,"","Inthachub",Accepted,,H,WCSP,459574,77099860-1,"Edinburgh J. Bot.","66: 220","","2009"
kew-288283,A,Stemonaceae,,Stichoneuron,,"caudatum",,"","Ridl.",Accepted,,H,WCSP,288283,742816-1,"J. Straits Branch Roy. Asiat. Soc.","57: 107","","1911"
kew-459575,A,Stemonaceae,,Stichoneuron,,"halabalense",,"","Inthachub",Accepted,,H,WCSP,459575,77099861-1,"Edinburgh J. Bot.","66: 224","","2009"
kew-308854,A,Stemonaceae,,Stichoneuron,,"membranaceum",,"","Hook.f.",Accepted,,H,WCSP,308854,60447146-2,"Fl. Brit. India","6: 299","","1892"
