ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2737469,A,Symplocaceae,,Cordyloblaste,,"confusa",,"","(Brand) Ridl.",Unresolved,,L,WCSP (in review),867765,827419-1,"Fl. Malay Penins.","2: 307","","1923"
tro-50256661,A,Symplocaceae,,Cordyloblaste,,"confusa",,"","(Brand) Hatus.",Accepted,,M,TRO,50256661,827420-1,"J. Jap. Bot.","12(4): 282","282","1936"
kew-2737472,A,Symplocaceae,,Cordyloblaste,,"pendula",,"","(Wight) Alston",Unresolved,,L,WCSP (in review),867768,827422-1,"Handb. Fl. Ceylon","6(Suppl.): 188","","1931"
kew-2551857,A,Symplocaceae,,Praealstonia,,"coccinea",,"","Miers",Unresolved,,L,WCSP (in review),687582,826638-1,"J. Linn. Soc., Bot.","17: 291","","1879"
tro-30900174,A,Symplocaceae,,Praealstonia,,"parvifolia",,"","(Benth.) Miers",Accepted,,M,TRO,30900174,826644-1,"J. Linn. Soc., Bot.","17: 292","292","1879"
kew-2551842,A,Symplocaceae,,Praealstonia,,"tomentosa",,"","Miers",Unresolved,,L,WCSP (in review),687568,826649-1,"J. Linn. Soc., Bot.","17: 292","","1879"
kew-2580699,A,Symplocaceae,,Symplocos,,"abietorum",,"","Standl. & Steyerm.",Accepted,,M,WCSP (in review),714380,247130-2,"Publ. Field Mus. Nat. Hist., Bot. Ser.","23: 221","","1947"
kew-2580522,A,Symplocaceae,,Symplocos,,"acananensis",,"","Steyerm.",Accepted,,M,WCSP (in review),714203,285759-2,"Ann. Missouri Bot. Gard.","74: 656","","1987"
kew-2580523,A,Symplocaceae,,Symplocos,,"acuminata",,"","Miq.",Unresolved,,L,WCSP (in review),714204,826979-1,"Fl. Ned. Ind.","1(2): 467","","1859"
kew-2580661,A,Symplocaceae,,Symplocos,,"acuminata",,"","Bedd.",Unresolved,,L,WCSP (in review),714342,826980-1,"Fl. Sylv. S. India","150","","1873"
kew-2580479,A,Symplocaceae,,Symplocos,,"acuminatissima",,"","Merr.",Unresolved,,L,WCSP (in review),714160,827449-1,"Philipp. J. Sci., C","11: 31","","1916"
kew-2580652,A,Symplocaceae,,Symplocos,,"acuta",,"","Thwaites",Unresolved,,L,WCSP (in review),714333,826981-1,"Enum. Pl. Zeyl.","186","","1860"
