ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-26612943,P,Tectariaceae,,Aenigmopteris,,"dubia",,"","(Copel.) Holttum",Accepted,,M,TRO,26612943,17516050-1,"Blumea","30(1): 4","4","1984"
tro-26612949,P,Tectariaceae,,Aenigmopteris,,"elegans",,"","Holttum",Unresolved,,L,TRO,26612949,17509740-1,"Blumea","30(1): 8, f. 1b, c, plate 1b","8","1984"
tro-26612948,P,Tectariaceae,,Aenigmopteris,,"katoi",,"","Holttum",Unresolved,,L,TRO,26612948,17509730-1,"Blumea","30(1): 8, f. 1d","8","1984"
tro-26612947,P,Tectariaceae,,Aenigmopteris,,"mindanaensis",,"","Holttum",Unresolved,,L,TRO,26612947,17509720-1,"Blumea","30(1): 7","7","1984"
tro-26612946,P,Tectariaceae,,Aenigmopteris,,"pulchra",,"","(Copel.) Holttum",Accepted,,M,TRO,26612946,17516060-1,"Blumea","30(1): 7","7","1984"
ifn-16952,P,Tectariaceae,,Amphiblestra,,"longifolia",,"","C.Presl",Unresolved,,L,IPNI,17019440-1,17019440-1,"Tent. Pterid.","151. 1836 (nomen)","","1836"
tro-50210578,P,Tectariaceae,,Amphiblestra,,"simplex",,"","E. Fourn.",Unresolved,,L,TRO,50210578,17019450-1,"Bot. Zeitung (Berlin)","8","8","1873"
tro-50200514,P,Tectariaceae,,Arcypteris,,"difformis",,"","(Blume) Underw.",Accepted,,M,TRO,50200514,17023790-1,"Bull. Torrey Bot. Club","30: 678","678","1903"
ifn-17203,P,Tectariaceae,,Arcypteris,,"gigantea",,"","Holttum",Unresolved,,L,IPNI,17370130-1,17370130-1,"Reinwardtia","1: 195. 1951.","","1951"
ifn-17205,P,Tectariaceae,,Arcypteris,,"macrodonta",,"","Holttum",Unresolved,,L,IPNI,17370150-1,17370150-1,"Reinwardtia","1: 194. 1951.","","1951"
tro-26606983,P,Tectariaceae,,Arthropteris,,"albopunctata",,"","J. Sm.",Accepted,,M,TRO,26606983,,"","","",""
tro-26605503,P,Tectariaceae,,Arthropteris,,"altescandens",,"","J. Sm.",Accepted,,M,TRO,26605503,,"","","",""
ifn-35494,P,Tectariaceae,,Arthropteris,,"archboldiae",,"","Copel.in A.C.Smith",Unresolved,,L,IPNI,17370210-1,17370210-1,"Sargentia","1: 3","","1942"
ifn-35495,P,Tectariaceae,,Arthropteris,,"articulata",,"","C.Chr.",Unresolved,,L,IPNI,17300410-1,17300410-1,"Index Filic., Suppl. Tertium pro Annis 1917-1933","26","","1934"
tro-50338228,P,Tectariaceae,,Arthropteris,,"beckleri",,"","Mett.",Unresolved,,L,TRO,50338228,141840-3,"","","",""
tro-100374212,P,Tectariaceae,,Arthropteris,,"boutoniana",,"","(Hook.) Pic. Serm.",Accepted,,M,TRO,100374212,,"Strelitzia","23: 192","192","2009"
tro-26615093,P,Tectariaceae,,Arthropteris,,"cameroonensis",,"","Alston",Unresolved,,L,TRO,26615093,,"","","",""
ifn-35499,P,Tectariaceae,,Arthropteris,,"caudata",,"","Rosenst.",Unresolved,,L,IPNI,17238600-1,17238600-1,"Repert. Spec. Nov. Regni Veg.","8: 163","","1910"
ifn-35500,P,Tectariaceae,,Arthropteris,,"charletiana",,"","Lawalr",Unresolved,,L,IPNI,17542460-1,17542460-1,"Bull. Jard. Bot. Natl. Belg.","61(3-4): 356","","1991"
ifn-35501,P,Tectariaceae,,Arthropteris,,"dolichopoda",,"","Alderw.",Unresolved,,L,IPNI,17300420-1,17300420-1,"Nova Guinea","14: 5","","1924"
