ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35169699,B,Trachypodaceae,,Bryowijkia,,"ambigua",,"","(Hook.) Nog.",Accepted,,M,TRO,35169699,,"J. Hattori Bot. Lab.","37: 241","241","1973"
tro-35188274,B,Trachypodaceae,,Bryowijkia,,"madagassa",,"","A. Touw",Accepted,,M,TRO,35188274,,"Bull. Jard. Bot. Belg.","62: 454. f. 1","454","1993"
tro-35120638,B,Trachypodaceae,,Diaphanodon,,"blandus",,"","(Harv.) Renauld & Cardot",Accepted,,M,TRO,35120638,,"Bull. Soc. Roy. Bot. Belgique","38(1): 23","23","1900"
tro-35120639,B,Trachypodaceae,,Diaphanodon,,"blandus",var.,"thuiodes","(Bosch & Sande Lac.) Paris",Accepted,,L,TRO,35120639,,"Index Bryol. (ed. 2)","5: 150","150","1906"
tro-35140510,B,Trachypodaceae,,Diaphanodon,,"friisii",,"","Bizot & Lewinsky",Accepted,,M,TRO,35140510,,"Lindbergia","4: 275. f. 2","275","1978"
tro-35120641,B,Trachypodaceae,,Diaphanodon,,"gracillimus",,"","Cardot & Thér.",Accepted,,M,TRO,35120641,,"Bull. Acad. Int. Géogr. Bot.","18: ii","ii","1908"
tro-35204796,B,Trachypodaceae,,Diaphanodon,,"laevivittatus",,"","Zanten & C.C. Towns.",Accepted,,M,TRO,35204796,,"Haussknechtia Beih.","9: 407. f. 1","407","1999"
tro-35120644,B,Trachypodaceae,,Diaphanodon,,"procumbens",,"","(Müll. Hal.) Renauld & Cardot",Accepted,,M,TRO,35120644,,"Bull. Soc. Roy. Bot. Belgique","38(1): 24","24","1900"
tro-35120645,B,Trachypodaceae,,Diaphanodon,,"thuidioides",,"","Renauld & Cardot",Accepted,,M,TRO,35120645,,"Rev. Bryol.","22: 33","33","1895"
tro-35143324,B,Trachypodaceae,,Pseudospiridentopsis,,"horrida",,"","(Mitt. ex Cardot) M. Fleisch.",Accepted,,M,TRO,35143324,,"Musci Buitenzorg","3: 730","730","1908"
