ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-33000087,A,Tropaeolaceae,,Tropaeolum,,"adpressum",,"","Hughes",Accepted,,M,TRO,33000087,310776-2,"Kew Bull.","1922: 80, f. C, p. 84","80","1922"
tro-33000001,A,Tropaeolaceae,,Tropaeolum,,"argentinum",,"","Buchenau",Accepted,,M,TRO,33000001,311787-2,"Bot. Jahrb. Syst.","15: 221","221","1892"
tro-33000104,A,Tropaeolaceae,,Tropaeolum,,"asplundii",,"","Sparre",Accepted,,M,TRO,33000104,259952-2,"Fl. Ecuador","2: 26","26","1973"
tro-33000134,A,Tropaeolaceae,,Tropaeolum,,"atrocapillare",,"","Sparre",Accepted,,M,TRO,33000134,306623-2,"Opera Bot.","108: 116, f. 92E–F","116","1991"
kew-2442626,A,Tropaeolaceae,,Tropaeolum,,"atrosanguineum",,"","Gordon",Unresolved,,L,WCSP (in review),580266,259953-2,"Gard. Chron.","1845: 185","","1845"
kew-2899127,A,Tropaeolaceae,,Tropaeolum,,"austropurpureum",,"","(J.M.Watson & A.R.Flores) J.M.Watson & A.R.Flores",Accepted,,M,WCSP (in review),1021888,77107734-1,"Bot. Mag.","27: 248","","2010"
kew-2522276,A,Tropaeolaceae,,Tropaeolum,,"azureum",,"","Bertero ex Colla",Accepted,,M,WCSP (in review),658336,308638-2,"Nuovo Giorn. Lett., Sci.","24: 147","","1832"
kew-2442628,A,Tropaeolaceae,,Tropaeolum,,"beuthii",,"","Klotzsch",Accepted,,M,WCSP (in review),580268,309534-2,"Allg. Gartenzeitung","18: 161","","1850"
tro-33000002,A,Tropaeolaceae,,Tropaeolum,,"bicolor",,"","Ruiz & Pav.",Accepted,,M,TRO,33000002,304803-2,"Fl. Peruv.","3: 76, t. 313","76","1802"
kew-2442599,A,Tropaeolaceae,,Tropaeolum,,"bogotense",,"","Turcz.",Unresolved,,L,WCSP (in review),580239,377329-1,"Bull. Soc. Imp. Naturalistes Moscou","31(1): 425","","1858"
tro-33000004,A,Tropaeolaceae,,Tropaeolum,,"boliviense",,"","Loes.",Accepted,,M,TRO,33000004,259962-2,"Bot. Jahrb. Syst.","45(4): 462","462","1911"
kew-2442551,A,Tropaeolaceae,,Tropaeolum,,"brachyceras",,"","Hook. & Arn.",Accepted,,M,WCSP (in review),580191,307674-2,"Bot. Beechey Voy.","14","","1830"
tro-33000005,A,Tropaeolaceae,,Tropaeolum,,"brasiliense",,"","Casar.",Accepted,,M,TRO,33000005,311223-2,"Atti della Terza Riunione degli Scienzati Italiani - Firenze","512","512","1841"
tro-33000106,A,Tropaeolaceae,,Tropaeolum,,"brideanum",,"","Sparre",Accepted,,M,TRO,33000106,259968-2,"Fl. Ecuador","2: 28","28","1973"
kew-2442555,A,Tropaeolaceae,,Tropaeolum,,"buchenavianum",,"","Hieron.",Unresolved,,L,WCSP (in review),580195,259971-2,"Bot. Jahrb. Syst.","20(49): 33","","1895"
tro-33000084,A,Tropaeolaceae,,Tropaeolum,,"calcaratum",,"","Sparre",Accepted,,M,TRO,33000084,259972-2,"Bot. Not.","119: 341, f. 4D, 5","341","1966"
tro-33000079,A,Tropaeolaceae,,Tropaeolum,,"calvum",,"","(J.F. Macbr.) Sparre",Accepted,,M,TRO,33000079,962797-1,"Opera Bot.","108: 81, f. 54I–H","81","1991"
kew-2442557,A,Tropaeolaceae,,Tropaeolum,,"canariense",,"","Markham",Unresolved,,L,WCSP (in review),580197,377336-1,"Travels","78","","1862"
tro-33000006,A,Tropaeolaceae,,Tropaeolum,,"capillare",,"","Buchenau",Accepted,,M,TRO,33000006,310004-2,"Bot. Jahrb. Syst.","15: 219","219","1892"
tro-33000100,A,Tropaeolaceae,,Tropaeolum,,"carchense",,"","Killip ex Sparre",Accepted,,M,TRO,33000100,259974-2,"Fl. Ecuador","2: 20","20","1973"
kew-2442559,A,Tropaeolaceae,,Tropaeolum,×,"chaixianum",,"","E.Morren",Unresolved,,L,WCSP (in review),580199,377339-1,"Belgique Hort.","6: 2","","1856"
kew-2522309,A,Tropaeolaceae,,Tropaeolum,,"ciliatum",,"","Ruíz & Pav.",Accepted,,M,WCSP (in review),658369,,"Fl. Peruv.","2: 77","","1799"
tro-33000035,A,Tropaeolaceae,,Tropaeolum,,"cirrhipes",,"","Hook.",Accepted,,M,TRO,33000035,,"Icon. Pl.","5: t. 411","t. 411","1842"
tro-33000073,A,Tropaeolaceae,,Tropaeolum,,"cochabambae",,"","Buchenau",Accepted,,M,TRO,33000073,311742-2,"Bot. Jahrb. Syst.","22: 161","161","1895"
tro-33000036,A,Tropaeolaceae,,Tropaeolum,,"crenatiflorum",,"","Hook.",Accepted,,M,TRO,33000036,307928-2,"Bot. Mag.","72: t. 4245","t. 4245","1846"
kew-2519527,A,Tropaeolaceae,,Tropaeolum,,"curvirostre",,"","Sparre",Unresolved,,L,WCSP (in review),655672,306614-2,"Opera Bot.","108: 97","","1991"
tro-33000089,A,Tropaeolaceae,,Tropaeolum,,"cuspidatum",,"","Buchenau",Accepted,,M,TRO,33000089,311293-2,"Bot. Jahrb. Syst.","26: 581","581","1899"
kew-2522312,A,Tropaeolaceae,,Tropaeolum,,"dawei",,"","Hughes",Unresolved,,L,WCSP (in review),658372,306922-2,"Bull. Misc. Inform. Kew","1922: 78","","1922"
kew-2522313,A,Tropaeolaceae,,Tropaeolum,,"deckerianum",,"","Moritz & H.Karst.",Accepted,,M,WCSP (in review),658373,309444-2,"Auswahl Gew. Venez.","38","","1848"
tro-33000160,A,Tropaeolaceae,,Tropaeolum,,"deckerianum",var.,"tomentosum","(Hughes) Sparre",Accepted,,L,TRO,33000160,966884-1,"Opera Bot.","108: 94","94","1991"
kew-2442542,A,Tropaeolaceae,,Tropaeolum,,"dentatifolium",,"","Stokes",Unresolved,,L,WCSP (in review),580182,377350-1,"Bot. Mat. Med.","2: 346","","1812"
tro-50158133,A,Tropaeolaceae,,Tropaeolum,,"denticualtum",,"","Kuntze",Unresolved,,L,TRO,50158133,,"Revis. Gen. Pl.","1: 97","97","1891"
kew-2442550,A,Tropaeolaceae,,Tropaeolum,,"denticulatum",,"","Ruiz & Pav. ex Kuntze",Unresolved,,L,WCSP (in review),580190,377351-1,"Revis. Gen. Pl.","1: 97","","1891"
kew-2442544,A,Tropaeolaceae,,Tropaeolum,,"dicolorum",,"","Sweet",Unresolved,,L,WCSP (in review),580184,,"Brit. Fl. Gard.","3: t. 270","","1829"
tro-33000008,A,Tropaeolaceae,,Tropaeolum,,"dipetalum",,"","Ruiz & Pav.",Accepted,,M,TRO,33000008,312068-2,"Fl. Peruv.","3: 77, t. 313","77","1802"
kew-2442546,A,Tropaeolaceae,,Tropaeolum,,"elatum",,"","Salisb.",Unresolved,,L,WCSP (in review),580186,377356-1,"Prodr. Stirp. Chap. Allerton","275","","1796"
tro-50139973,A,Tropaeolaceae,,Tropaeolum,,"elzae",,"","Sparre",Accepted,,M,TRO,50139973,306615-2,"Opera Bot.","108: 116, f. 92C–D","116","1991"
kew-2442548,A,Tropaeolaceae,,Tropaeolum,,"emarginatum",,"","Turcz.",Accepted,,M,WCSP (in review),580188,310716-2,"Bull. Soc. Imp. Naturalistes Moscou","31(1): 425","","1858"
tro-33000076,A,Tropaeolaceae,,Tropaeolum,,"ferreyrae",,"","Sparre",Accepted,,M,TRO,33000076,303245-2,"Opera Bot.","108: 66","66","1991"
kew-2522302,A,Tropaeolaceae,,Tropaeolum,,"fintelmannii",,"","Schltdl.",Accepted,,M,WCSP (in review),658362,301325-2,"Allg. Gartenzeitung","18: 105","","1850"
tro-33000078,A,Tropaeolaceae,,Tropaeolum,,"fintelmannii",var.,"olmosense","(Mansf.) Sparre",Accepted,,L,TRO,33000078,259994-2,"Fl. Ecuador","2: 16","16","1973"
kew-2519562,A,Tropaeolaceae,,Tropaeolum,,"flavipilum",,"","Killip",Unresolved,,L,WCSP (in review),655706,310905-2,"J. Wash. Acad. Sci.","19: 192","","1929"
kew-2442572,A,Tropaeolaceae,,Tropaeolum,,"gaertnerianum",,"","F.Haage & M.Schmidt ex Regel",Unresolved,,L,WCSP (in review),580212,377363-1,"Gartenflora","30: T. 1146","","1884"
