ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2615318,A,Vitaceae,,Acareosperma,,"spireanum",,"","Gagnep.",Accepted,,M,WCSP (in review),747723,869575-1,"Bull. Mus. Natl. Hist. Nat.","25: 131","","1919"
kew-2629747,A,Vitaceae,,Allosampela,,"heterophylla",,"","Raf.",Unresolved,,L,WCSP (in review),761913,67327-1,"Med. Fl.","2: 122","","1830"
kew-2634299,A,Vitaceae,,Ampelocissus,,"abyssinica",,"","(Hochst. ex A.Rich.) Planch.",Accepted,,M,WCSP (in review),766437,67328-1,"Vigne Amer. Vitic. Eur.","9: 24","","1885"
kew-2634300,A,Vitaceae,,Ampelocissus,,"acapulcensis",,"","(Kunth) Planch.",Accepted,,M,WCSP (in review),766438,11474-2,"Monogr. Phan.","5: 403","","1887"
kew-2634301,A,Vitaceae,,Ampelocissus,,"acetosa",,"","(F.Muell.) Planch.",Accepted,,M,WCSP (in review),766439,67330-1,"Vigne Amer. Vitic. Eur.","9: 96","","1885"
kew-2634302,A,Vitaceae,,Ampelocissus,,"aculeata",,"","(Span.) Planch.",Accepted,,M,WCSP (in review),766440,67331-1,"Vigne Amer. Vitic. Eur.","9: 95","","1885"
kew-2634304,A,Vitaceae,,Ampelocissus,,"africana",,"","(Lour.) Merr.",Accepted,,L,WCSP (in review),766442,869577-1,"Trans. Amer. Philos. Soc.","n.s., 24(2): 253","","1935"
kew-2634307,A,Vitaceae,,Ampelocissus,,"amentacea",,"","Ridl.",Accepted,,M,WCSP (in review),766445,869579-1,"Bull. Misc. Inform. Kew","1931: 496","","1931"
kew-2634308,A,Vitaceae,,Ampelocissus,,"angolensis",,"","(Baker) Planch.",Accepted,,M,WCSP (in review),766446,67332-1,"Vigne Amer. Vitic. Eur.","9: 48","","1885"
kew-2634310,A,Vitaceae,,Ampelocissus,,"arachnoidea",,"","(Hausskn.) Planch.",Accepted,,M,WCSP (in review),766448,,"Vigne Amer. Vitic. Eur.","8: 375","","1884"
kew-2634311,A,Vitaceae,,Ampelocissus,,"araneosa",,"","(Dalzell) Gamble",Accepted,,L,WCSP (in review),766449,941759-1,"Fl. Madras","230","","1918"
kew-2634314,A,Vitaceae,,Ampelocissus,,"artemisiifolia",,"","Planch.",Accepted,,M,WCSP (in review),766452,60442452-2,"Bull. Soc. Bot. France","33: 458","","1886"
kew-2634316,A,Vitaceae,,Ampelocissus,,"ascendiflora",,"","Latiff",Accepted,,M,WCSP (in review),766454,899151-1,"Fed. Mus. J.","27: 87","","1982"
kew-2634318,A,Vitaceae,,Ampelocissus,,"banaensis",,"","Gagnep.",Accepted,,M,WCSP (in review),766456,869581-1,"Bull. Soc. Bot. France","92: 165","","1946"
kew-2634319,A,Vitaceae,,Ampelocissus,,"barbata",,"","(Wall.) Planch.",Accepted,,M,WCSP (in review),766457,67340-1,"Monogr. Phan.","5: 372","","1887"
kew-2606197,A,Vitaceae,,Ampelocissus,,"birii",,"","P.Singh & B.V.Shetty",Accepted,,M,WCSP (in review),739251,77087248-1,"in Fl. Kerala","1: 738","","2005"
kew-2634320,A,Vitaceae,,Ampelocissus,,"bombycina",,"","(Baker) Planch.",Accepted,,M,WCSP (in review),766458,67342-1,"Vigne Amer. Vitic. Eur.","9: 31","","1885"
kew-2634321,A,Vitaceae,,Ampelocissus,,"borneensis",,"","Merr.",Accepted,,M,WCSP (in review),766459,869582-1,"Univ. Calif. Publ. Bot.","15: 179","","1929"
