ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2668151,A,Vivianiaceae,,Balbisia,,"aphanifolia",,"","(Griseb.) Hunz. & Ariza",Accepted,,M,WCSP (in review),800103,28794-2,"Kurtziana","7: 238","","1973"
tro-50078515,A,Vivianiaceae,,Balbisia,,"aphanifolia",,"","(Griseb.) Hunz. & Ariza Esp.",Unresolved,,L,TRO,50078515,,"","","",""
kew-2668152,A,Vivianiaceae,,Balbisia,,"caledoniae",,"","Spreng.",Unresolved,,L,WCSP (in review),800104,469498-1,"Mant. Prim. Fl. Hal.","52","","1807"
kew-2668153,A,Vivianiaceae,,Balbisia,,"calycina",,"","(Griseb.) Hunz. & Ariza",Accepted,,M,WCSP (in review),800105,28796-2,"Kurtziana","7: 238","","1973"
kew-2668154,A,Vivianiaceae,,Balbisia,,"gracilis",,"","(Meyen) Hunz. & Ariza",Accepted,,M,WCSP (in review),800106,28798-2,"Kurtziana","7: 238","","1973"
kew-2668155,A,Vivianiaceae,,Balbisia,,"integrifolia",,"","R.Knuth",Accepted,,M,WCSP (in review),800107,28799-2,"Pflanzenr.","IV, 129: 558","","1912"
kew-2668156,A,Vivianiaceae,,Balbisia,,"meyeniana",,"","Klotzsch",Accepted,,M,WCSP (in review),800108,371877-1,"Linnaea","10: 432","","1836"
kew-2668157,A,Vivianiaceae,,Balbisia,,"microphylla",,"","(Phil.) Reiche",Accepted,,M,WCSP (in review),800109,371878-1,"Fl. Chile","1: 294","","1896"
kew-2668158,A,Vivianiaceae,,Balbisia,,"miniata",,"","(I.M.Johnst.) Descole, O'Donell & Lourteig",Accepted,,M,WCSP (in review),800110,28801-2,"Lilloa","4: 204","","1939"
kew-2668159,A,Vivianiaceae,,Balbisia,,"miniata",var.,"anomala","Ariza & Novara",Accepted,,L,WCSP (in review),800111,,"Bol. Soc. Argent. Bot.","38: 345","","2003 publ. 2004"
kew-2668160,A,Vivianiaceae,,Balbisia,,"peduncularis",,"","(Lindl.) D.Don",Accepted,,M,WCSP (in review),800112,371880-1,"Edinburgh New Philos. J.","11: 277","","1831"
kew-2668161,A,Vivianiaceae,,Balbisia,,"stitchkinii",,"","Ricardi",Accepted,,M,WCSP (in review),800113,28802-2,"Bol. Soc. Argent. Bot.","7: 24","","1957"
kew-2668162,A,Vivianiaceae,,Balbisia,,"verticillata",,"","Cav.",Accepted,,M,WCSP (in review),800114,371882-1,"Anales Ci. Nat.","7: 62","","1804"
kew-2690163,A,Vivianiaceae,,Caesarea,,"albiflora",,"","Cambess.",Unresolved,,L,WCSP (in review),821817,371971-1,"Mém. Mus. Hist. Nat.","18: 374","","1829"
kew-2690164,A,Vivianiaceae,,Caesarea,,"guevarana",,"","Cast.-Campos & M.E.Medina",Unresolved,,L,WCSP (in review),821818,326855-2,"Novon","13: 30","","2003"
kew-2690166,A,Vivianiaceae,,Caesarea,,"montevidensis",,"","Klotzsch",Unresolved,,L,WCSP (in review),821820,371975-1,"Linnaea","10: 436","","1836"
kew-2722106,A,Vivianiaceae,,Cissarobryon,,"elegans",,"","Poepp.",Accepted,,M,WCSP (in review),852486,372063-1,"Fragm. Syn. Pl.","29","","1833"
tro-13900757,A,Vivianiaceae,,Cissarobryon,,"elegans",,"","Kunze ex Poepp.",Unresolved,,L,TRO,13900757,59244-2,"","","",""
kew-2350017,A,Vivianiaceae,,Ledocarpon,,"bolivianum",,"","Rusby",Unresolved,,L,WCSP (in review),489396,136989-2,"Bull. New York Bot. Gard.","8: 95","","1912"
kew-2338044,A,Vivianiaceae,,Ledocarpon,,"reynoldsii",,"","Hook.",Unresolved,,L,WCSP (in review),477662,374461-1,"Hooker's Icon. Pl.","1: t. 14","","1836"
tro-13900218,A,Vivianiaceae,,Rhynchotheca,,"spinosa",,"","Ruiz & Pav.",Accepted,,M,TRO,13900218,377272-1,"Syst. Veg. Fl. Peruv. Chil.","1: 142","142","1798"
kew-2457856,A,Vivianiaceae,,Viviania,,"aristulata",,"","F.Meigen",Unresolved,,L,WCSP (in review),595348,266230-2,"Bot. Jahrb. Syst.","17: 249","","1893"
kew-2457857,A,Vivianiaceae,,Viviania,,"aristulatum",,"","Phil.",Unresolved,,L,WCSP (in review),595349,377510-1,"Anales Univ. Chile","41: 687","","1872"
kew-2457858,A,Vivianiaceae,,Viviania,,"australis",,"","Phil.",Unresolved,,L,WCSP (in review),595350,377511-1,"Anales Univ. Chile","41: 683","","1872"
kew-2457860,A,Vivianiaceae,,Viviania,,"brevipedunculata",,"","Phil.",Unresolved,,L,WCSP (in review),595352,266232-2,"Linnaea","33: 33","","1864"
tro-13900758,A,Vivianiaceae,,Viviania,,"crenata",,"","G. Don",Accepted,,M,TRO,13900758,,"","","",""
kew-2457866,A,Vivianiaceae,,Viviania,,"esculenta",,"","Wehmer",Unresolved,,L,WCSP (in review),595358,377519-1,"Pfl.-Stoffe","376","","1911"
kew-2457859,A,Vivianiaceae,,Viviania,,"grandifolia",,"","Hook. & Arn.",Unresolved,,L,WCSP (in review),595351,377522-1,"Bot. Misc.","3: 149","","1833"
kew-2457838,A,Vivianiaceae,,Viviania,,"hirsuta",,"","R.Knuth",Unresolved,,L,WCSP (in review),595330,266239-2,"Pflanzenr.","IV, 129: 564","","1912"
kew-2457839,A,Vivianiaceae,,Viviania,,"klotzschii",,"","R.Knuth",Unresolved,,L,WCSP (in review),595331,266240-2,"Pflanzenr.","IV, 129: 571","","1912"
kew-2457840,A,Vivianiaceae,,Viviania,,"lanceolata",,"","R.Knuth",Unresolved,,L,WCSP (in review),595332,266241-2,"Pflanzenr.","IV, 129: 571","","1912"
kew-2457841,A,Vivianiaceae,,Viviania,,"laxa",,"","Phil.",Unresolved,,L,WCSP (in review),595333,266242-2,"Anales Univ. Chile","82: 738","","1893"
kew-2457851,A,Vivianiaceae,,Viviania,,"macrophylla",,"","Reiche & Johow",Unresolved,,L,WCSP (in review),595343,377528-1,"Fl. Chile","1: 293","","1896"
tro-13900759,A,Vivianiaceae,,Viviania,,"marifolia",,"","Cav.",Accepted,,M,TRO,13900759,266245-2,"Anales Ci. Nat.","7: 212, pl. 49","212","1804"
kew-2457837,A,Vivianiaceae,,Viviania,,"microphylla",,"","Reiche & Johow",Unresolved,,L,WCSP (in review),595329,377530-1,"Fl. Chile","1: 293","","1896"
kew-2457845,A,Vivianiaceae,,Viviania,,"ovata",,"","Phil.",Accepted,,M,WCSP (in review),595337,377531-1,"Linnaea","28: 677","","1858"
kew-2458187,A,Vivianiaceae,,Viviania,,"paranensis",,"","R.Knuth",Unresolved,,L,WCSP (in review),595676,266248-2,"Repert. Spec. Nov. Regni Veg.","28: 92","","1930"
kew-2458158,A,Vivianiaceae,,Viviania,,"parvifolia",,"","Klotzsch",Unresolved,,L,WCSP (in review),595648,377536-1,"Linnaea","10: 435","","1836"
kew-2471950,A,Vivianiaceae,,Viviania,,"pauciflora",,"","Phil. ex F.Meigen",Unresolved,,L,WCSP (in review),608942,307147-2,"Bot. Jahrb. Syst.","17: 250","","1893"
kew-2458159,A,Vivianiaceae,,Viviania,,"petiolata",,"","Hook. & Arn.",Unresolved,,L,WCSP (in review),595649,377537-1,"Bot. Misc.","3: 149","","1833"
kew-2458160,A,Vivianiaceae,,Viviania,,"revoluta",,"","R.Knuth",Unresolved,,L,WCSP (in review),595650,294052-2,"Pflanzenr.","IV, 129: 565","","1912"
kew-2458171,A,Vivianiaceae,,Viviania,,"rubriflora",,"","R.Knuth",Unresolved,,L,WCSP (in review),595660,266260-2,"Pflanzenr.","IV, 129: 569","","1912"
kew-2457847,A,Vivianiaceae,,Viviania,,"sellowii",,"","R.Knuth",Unresolved,,L,WCSP (in review),595339,266261-2,"Pflanzenr.","IV, 129: 571","","1912"
kew-2457848,A,Vivianiaceae,,Viviania,,"spinescens",,"","C.Presl",Unresolved,,L,WCSP (in review),595340,377542-1,"Symb. Bot.","2: 7","","1834"
kew-2457849,A,Vivianiaceae,,Viviania,,"tenuicaulis",,"","Barnéoud",Unresolved,,L,WCSP (in review),595341,377543-1,"Fl. Chil.","1: 402","","1846"
kew-2457850,A,Vivianiaceae,,Viviania,,"viridis",,"","Phil. ex Reiche & Johow",Unresolved,,L,WCSP (in review),595342,377544-1,"Fl. Chile","1: 292","","1896"
kew-2466493,A,Vivianiaceae,,Wendtia,,"gracilis",,"","Meyen",Accepted,,M,WCSP (in review),603946,268372-2,"Observ. Bot.","1: 308","","1834"
kew-2466495,A,Vivianiaceae,,Wendtia,,"poeppigiana",,"","Klotzsch",Unresolved,,L,WCSP (in review),603948,377550-1,"Linnaea","10: 432","","1836"
kew-2466027,A,Vivianiaceae,,Wendtia,,"schelkownikowii",,"","Woronow",Unresolved,,L,WCSP (in review),603485,849994-1,"Izv. Kavkazsk. Muz.","11: 10","","1917"
