ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2692827,A,Vochysiaceae,,Callisthene,,"dryadum",,"","Duarte",Accepted,,M,WCSP (in review),824465,42475-2,"Rodriguésia","23-24: 56","","1962"
kew-2692831,A,Vochysiaceae,,Callisthene,,"fasciculata",,"","Mart.",Accepted,,M,WCSP (in review),824469,870827-1,"Nov. Gen. Sp. Pl.","1: 126","","1826"
tro-34100004,A,Vochysiaceae,,Callisthene,,"glaziovii",,"","Briq.",Unresolved,,L,TRO,34100004,,"","","",""
kew-2692834,A,Vochysiaceae,,Callisthene,,"inundata",,"","O.L.Bueno, A.D.Nilson & R.G.Magalh.",Accepted,,M,WCSP (in review),824472,20010427-1,"Iheringia, Bot.","53: 104","","2000"
kew-2692836,A,Vochysiaceae,,Callisthene,,"major",,"","Mart.",Accepted,,M,WCSP (in review),824474,870830-1,"Nov. Gen. Sp. Pl.","1: 124","","1826"
kew-2692837,A,Vochysiaceae,,Callisthene,,"major",var.,"pilosa","Warm.",Accepted,,L,WCSP (in review),824475,42479-2,"Fl. Bras.","13(2): 26","","1875"
kew-2692838,A,Vochysiaceae,,Callisthene,,"microphylla",,"","Warm.",Accepted,,M,WCSP (in review),824476,870831-1,"Fl. Bras.","13(2): 28","","1875"
kew-2692839,A,Vochysiaceae,,Callisthene,,"minor",,"","Mart.",Accepted,,M,WCSP (in review),824477,870832-1,"Nov. Gen. Sp. Pl.","2: 126","","1827"
kew-2692840,A,Vochysiaceae,,Callisthene,,"mollissima",,"","Warm.",Accepted,,M,WCSP (in review),824478,870833-1,"Fl. Bras.","13(2): 26","","1875"
kew-2746836,A,Vochysiaceae,,Cucullaria,,"citrifolia",,"","Schult.",Unresolved,,L,WCSP (in review),877068,870839-1,"Mant.","1: 52","","1822"
kew-2746837,A,Vochysiaceae,,Cucullaria,,"elliptica",,"","Spreng.",Unresolved,,L,WCSP (in review),877069,870840-1,"Syst. Veg.","4(2): 9","","1827"
kew-2746838,A,Vochysiaceae,,Cucullaria,,"emarginata",,"","Vahl",Unresolved,,L,WCSP (in review),877070,870841-1,"Enum. Pl.","1: 5","","1804"
kew-2746839,A,Vochysiaceae,,Cucullaria,,"excelsa",,"","Willd.",Unresolved,,L,WCSP (in review),877071,870843-1,"Sp. Pl.","1: 17","","1797"
kew-2746842,A,Vochysiaceae,,Cucullaria,,"floribunda",,"","Spreng.",Unresolved,,L,WCSP (in review),877074,870845-1,"Syst. Veg.","4(2): 9","","1827"
kew-2746843,A,Vochysiaceae,,Cucullaria,,"grandis",,"","(Mart.) Spreng.",Unresolved,,L,WCSP (in review),877075,870846-1,"Syst. Veg.","4(2): 9","","1827"
kew-2746844,A,Vochysiaceae,,Cucullaria,,"guianensis",,"","(Aubl.) Oken",Unresolved,,L,WCSP (in review),877076,870847-1,"Allg. Naturgesch.","3(2): 1296","","1841"
kew-2746845,A,Vochysiaceae,,Cucullaria,,"haenkeana",,"","Spreng.",Unresolved,,L,WCSP (in review),877077,870848-1,"Syst. Veg.","4(2): 9","","1827"
kew-2746846,A,Vochysiaceae,,Cucullaria,,"lutea",,"","Willd. ex Steud.",Unresolved,,L,WCSP (in review),877078,,"Nomencl. Bot.","ed. 2, 1: 451","","1840"
kew-2746847,A,Vochysiaceae,,Cucullaria,,"pyramidalis",,"","Spreng.",Unresolved,,L,WCSP (in review),877079,870850-1,"Syst. Veg.","4(2): 9","","1827"
kew-2746850,A,Vochysiaceae,,Cucullaria,,"rufa",,"","Spreng.",Unresolved,,L,WCSP (in review),877082,870853-1,"Syst. Veg.","4(2): 9","","1827"
kew-2746854,A,Vochysiaceae,,Cucullaria,,"vochy",,"","J.F.Gmel.",Unresolved,,L,WCSP (in review),877086,870857-1,"Syst. Nat.","10","","1791"
kew-2797605,A,Vochysiaceae,,Erisma,,"arietinum",,"","M.L.Kawas.",Accepted,,M,WCSP (in review),925422,1004124-1,"Mem. New York Bot. Gard.","81: 21","","1998"
kew-2797606,A,Vochysiaceae,,Erisma,,"bicolor",,"","Ducke",Accepted,,M,WCSP (in review),925423,95991-2,"Bull. Mus. Natl. Hist. Nat.","II, 4: 740","","1932"
kew-2797607,A,Vochysiaceae,,Erisma,,"bicolor",var.,"macrophyllum","(Ducke) Stafleu",Accepted,,L,WCSP (in review),925424,95992-2,"Acta Bot. Neerl.","3: 465","","1954"
kew-2797608,A,Vochysiaceae,,Erisma,,"blancoa",,"","Marc.-Berti",Accepted,,M,WCSP (in review),925425,276816-2,"Pittieria","13: 12","","1986"
kew-2797609,A,Vochysiaceae,,Erisma,,"bracteosum",,"","Ducke",Accepted,,M,WCSP (in review),925426,95993-2,"Bull. Mus. Natl. Hist. Nat.","II, 4: 740","","1932"
kew-2797610,A,Vochysiaceae,,Erisma,,"calcaratum",,"","(Link) Warm.",Accepted,,M,WCSP (in review),925427,870864-1,"Fl. Bras.","13(2): 111","","1875"
kew-2797611,A,Vochysiaceae,,Erisma,,"costatum",,"","Stafleu",Accepted,,M,WCSP (in review),925428,870865-1,"Acta Bot. Neerl.","3: 466","","1954"
kew-2797613,A,Vochysiaceae,,Erisma,,"djalma-batistae",,"","Paula",Accepted,,M,WCSP (in review),925430,95995-2,"Bol. Mus. Paraense Emilio Goeldi, Bot.","28: 2","","1967"
kew-2797614,A,Vochysiaceae,,Erisma,,"floribundum",,"","Rudge",Accepted,,M,WCSP (in review),925431,,"Pl. Guian.","1: 7","","1805"
kew-2797615,A,Vochysiaceae,,Erisma,,"floribundum",var.,"tomentosum","(Ducke) Stafleu",Accepted,,L,WCSP (in review),925432,95996-2,"Acta Bot. Neerl.","3: 468","","1954"
kew-2797616,A,Vochysiaceae,,Erisma,,"fuscum",,"","Ducke",Accepted,,M,WCSP (in review),925433,95997-2,"Arch. Jard. Bot. Rio de Janeiro","4: 105","","1925"
kew-2797617,A,Vochysiaceae,,Erisma,,"gracile",,"","Ducke",Accepted,,M,WCSP (in review),925434,95998-2,"Arq. Inst. Biol. Veg.","2: 55","","1935"
tro-50336621,A,Vochysiaceae,,Erisma,,"homosepala",,"","Ducke",Unresolved,,L,TRO,50336621,,"Arq. Inst. Biol. Veg.","4: 38","38","1938"
kew-2797618,A,Vochysiaceae,,Erisma,,"japura",,"","Spruce ex Warm.",Accepted,,M,WCSP (in review),925435,870870-1,"Fl. Bras.","13(2): 109","","1875"
kew-2797619,A,Vochysiaceae,,Erisma,,"lanceolatum",,"","Stafleu",Accepted,,M,WCSP (in review),925436,95999-2,"Acta Bot. Neerl.","3: 470","","1954"
kew-2797620,A,Vochysiaceae,,Erisma,,"laurifolium",,"","Warm.",Accepted,,M,WCSP (in review),925437,870872-1,"Fl. Bras.","13(2): 109","","1875"
kew-2797622,A,Vochysiaceae,,Erisma,,"maliforme",,"","Link ex Warm.",Accepted,,M,WCSP (in review),925439,,"Fl. Bras.","13(3): 114","","1875"
kew-2797623,A,Vochysiaceae,,Erisma,,"megalophyllum",,"","Stafleu",Accepted,,M,WCSP (in review),925440,96001-2,"Acta Bot. Neerl.","3: 471","","1954"
kew-2797624,A,Vochysiaceae,,Erisma,,"micranthum",,"","Spruce ex Warm.",Accepted,,M,WCSP (in review),925441,870876-1,"Fl. Bras.","13(2): 112","","1875"
kew-2797625,A,Vochysiaceae,,Erisma,,"nitidum",,"","DC.",Accepted,,M,WCSP (in review),925442,870877-1,"Prodr.","3: 30","","1828"
kew-2797626,A,Vochysiaceae,,Erisma,,"niveum",,"","Link ex Warm.",Accepted,,M,WCSP (in review),925443,870878-1,"Fl. Bras.","13(2): 114","","1875"
kew-2797632,A,Vochysiaceae,,Erisma,,"silvae",,"","Marc.-Berti",Accepted,,M,WCSP (in review),925449,276817-2,"Pittieria","13: 15","","1986"
kew-2797633,A,Vochysiaceae,,Erisma,,"splendens",,"","Stafleu",Accepted,,M,WCSP (in review),925450,96007-2,"Acta Bot. Neerl.","3: 476","","1954"
kew-2797634,A,Vochysiaceae,,Erisma,,"tessmannii",,"","Pilg.",Accepted,,M,WCSP (in review),925451,96008-2,"Notizbl. Bot. Gart. Berlin-Dahlem","11: 295","","1931"
kew-2797636,A,Vochysiaceae,,Erisma,,"uncinatum",,"","Warm.",Accepted,,M,WCSP (in review),925453,318964-2,"Fl. Bras.","13(2): 110","","1875"
kew-2797640,A,Vochysiaceae,,Erismadelphus,,"exsul",,"","Mildbr.",Accepted,,M,WCSP (in review),925457,870888-1,"Bot. Jahrb. Syst.","49: 549","","1913"
kew-2797642,A,Vochysiaceae,,Erismadelphus,,"sessilis",,"","Keay & Stafleu",Accepted,,M,WCSP (in review),925459,870889-1,"Acta Bot. Neerl.","1: 595","","1953"
tro-50282513,A,Vochysiaceae,,Korupodendron,,"songweanum",,"","Litt & Cheek",Accepted,,M,TRO,50282513,20006583-1,"Brittonia","54(1): 14","14","2002"
kew-2868138,A,Vochysiaceae,,Qualea,,"acuminata",,"","Spruce ex Warm.",Accepted,,M,WCSP (in review),994762,318965-2,"Fl. Bras.","13(2): 40","","1875"
kew-2868139,A,Vochysiaceae,,Qualea,,"albiflora",,"","Warm.",Accepted,,M,WCSP (in review),994763,215230-2,"Fl. Bras.","13(2): 36","","1875"
kew-2868140,A,Vochysiaceae,,Qualea,,"amapaensis",,"","Balslev & S.A.Mori",Accepted,,M,WCSP (in review),994764,215231-2,"Brittonia","33: 5","","1981"
kew-2868141,A,Vochysiaceae,,Qualea,,"amoena",,"","Ducke",Accepted,,M,WCSP (in review),994765,215232-2,"Arch. Jard. Bot. Rio de Janeiro","3: 197","","1922"
kew-2868145,A,Vochysiaceae,,Qualea,,"brasiliana",,"","Stafleu & Marc.-Berti",Accepted,,M,WCSP (in review),994769,284092-2,"Pittieria","13: 8","","1986"
kew-2868146,A,Vochysiaceae,,Qualea,,"brevipedicellata",,"","Stafleu",Accepted,,M,WCSP (in review),994770,215236-2,"Acta Bot. Neerl.","2: 184","","1953"
kew-2868147,A,Vochysiaceae,,Qualea,,"calantha",,"","Pilg.",Accepted,,M,WCSP (in review),994771,215237-2,"Notizbl. Bot. Gart. Berlin-Dahlem","11: 297","","1931"
kew-2868149,A,Vochysiaceae,,Qualea,,"calophylla",,"","Pittier",Accepted,,M,WCSP (in review),994773,215238-2,"Contr. Fl. Venez.","29","","1923"
kew-2868152,A,Vochysiaceae,,Qualea,,"clavata",,"","Stafleu",Accepted,,M,WCSP (in review),994776,215241-2,"Acta Bot. Neerl.","2: 156","","1953"
