"Family","Genus"
"Acanthaceae","Acanthodium"
"Acanthaceae","Acanthopale"
"Acanthaceae","Acanthopsis"
"Acanthaceae","Acanthura"
"Acanthaceae","Acanthus"
"Acanthaceae","Acelica"
"Acanthaceae","Achyrocalyx"
"Acanthaceae","Adeloda"
"Acanthaceae","Adenacanthus"
"Acanthaceae","Adenostachya"
"Acanthaceae","Adhatoda"
"Acanthaceae","Aetheilema"
"Acanthaceae","Afrofittonia"
"Acanthaceae","Afromendoncia"
"Acanthaceae","Alvarezia"
"Acanthaceae","Ambongia"
"Acanthaceae","Amphiscopia"
"Acanthaceae","Ancistranthus"
"Acanthaceae","Ancistrostylis"
"Acanthaceae","Andrographis"
"Acanthaceae","Angkalanthus"
"Acanthaceae","Anisacanthus"
"Acanthaceae","Anisosepalum"
"Acanthaceae","Anisostachya"
"Acanthaceae","Anisotes"
"Acanthaceae","Anomacanthus"
"Acanthaceae","Anthacanthus"
"Acanthaceae","Antheliacanthus"
"Acanthaceae","Apassalus"
"Acanthaceae","Aphanosperma"
"Acanthaceae","Aphelandra"
"Acanthaceae","Aphelandrella"
"Acanthaceae","Aphragmia"
"Acanthaceae","Aporuellia"
"Acanthaceae","Arrhostoxylum"
"Acanthaceae","Ascotheca"
"Acanthaceae","Asystasia"
"Acanthaceae","Asystasiella"
"Acanthaceae","Athlianthus"
"Acanthaceae","Avicennia"
"Acanthaceae","Ballochia"
"Acanthaceae","Banjolea"
"Acanthaceae","Baphicacanthus"
"Acanthaceae","Barleria"
"Acanthaceae","Barleriola"
"Acanthaceae","Beloperone"
"Acanthaceae","Benoicanthus"
"Acanthaceae","Birnbaumia"
"Acanthaceae","Blechum"
"Acanthaceae","Blepharis"
"Acanthaceae","Borneacanthus"
"Acanthaceae","Boutonia"
"Acanthaceae","Brachystephanus"
"Acanthaceae","Bravaisia"
"Acanthaceae","Bremekampia"
"Acanthaceae","Brillantaisia"
"Acanthaceae","Brunoniella"
"Acanthaceae","Buceragenia"
"Acanthaceae","Buteraea"
"Acanthaceae","Calacanthus"
"Acanthaceae","Caldenbachia"
"Acanthaceae","Calophanes"
"Acanthaceae","Calophanoides"
"Acanthaceae","Calycacanthus"
"Acanthaceae","Camarotea"
"Acanthaceae","Cardanthera"
"Acanthaceae","Cardiacanthus"
"Acanthaceae","Carlowrightia"
"Acanthaceae","Celerina"
"Acanthaceae","Centrilla"
"Acanthaceae","Cephalacanthus"
"Acanthaceae","Cephalophis"
"Acanthaceae","Chaetacanthus"
"Acanthaceae","Chaetochlamys"
"Acanthaceae","Chaetothylax"
"Acanthaceae","Chalarothyrsus"
"Acanthaceae","Chamaeranthemum"
"Acanthaceae","Championella"
"Acanthaceae","Chileranthemum"
"Acanthaceae","Chingiacanthus"
"Acanthaceae","Chlamydacanthus"
"Acanthaceae","Chlamydocardia"
"Acanthaceae","Chlamydostachya"
"Acanthaceae","Chorisochora"
"Acanthaceae","Chrestienia"
"Acanthaceae","Chroesthes"
"Acanthaceae","Clarkeasia"
"Acanthaceae","Clinacanthus"
"Acanthaceae","Clistax"
"Acanthaceae","Codonacanthus"
"Acanthaceae","Conocalyx"
"Acanthaceae","Corythacanthus"
"Acanthaceae","Cosmianthemum"
"Acanthaceae","Crabbea"
"Acanthaceae","Crateola"
"Acanthaceae","Crossandra"
