"Pest","intercept","Std. Error","z value","Pr(>|z|)","2.5 %","97.5 %","slope","Std. Error.1","z value.1","Pr(>|z|).1","2.5 %.1","97.5 %.1"
"Virus1034",10.6597969702472,4.23154876332517,2.28027016998065,0.207007833608678,2.36611379530489,18.9534801451896,-6.00624576397264,1.93807610967066,-3.01431612606626,0.0269408749420758,-9.80480513822463,-2.20768638972065
"Virus1065",7.23096542540338,3.29223684105631,2.15613403203102,0.121334477531595,0.778299788357088,13.6836310624497,-4.92148902701959,1.58894254854117,-3.03356061513742,0.014607074315888,-8.03575919566356,-1.80721885837562
"Virus1072",10.5846580456035,2.80146346353922,3.53378031548003,0.0886923405263973,5.09389055306181,16.0754255381452,-5.90125041386315,1.33318870944954,-4.25734860692837,0.015328209931304,-8.51425226897968,-3.28824855874661
"Virus1094",3.73062762364504,2.46552862510255,1.61862344453979,0.178815036072036,-1.10171968440852,8.5629749316986,-3.07106638733356,1.15824542306282,-2.74470829264208,0.0262430082240574,-5.34118570179504,-0.800947072872083
"Virus1120",8.41856046098161,3.31845930138054,2.21938062119037,0.12590913011297,1.91449974611381,14.9226211758494,-4.4076748395876,1.45273692235569,-2.81653177799396,0.0275263246968435,-7.25498688641631,-1.5603627927589
"Virus1174",4.44148189937819,3.90916612991336,1.13374138432551,0.256934758311261,-3.22034292483582,12.1033067235922,-5.06091162360575,2.7990432639371,-1.84061713260799,0.0692978958631317,-10.5469356120919,0.425112364880404
"Virus12",10.1920857577462,3.50690791450914,2.36932831956718,0.181111983791965,3.3186725482098,17.0654989672825,-5.54034229302143,1.55308532777818,-3.16098294100332,0.04188980724442,-8.58433360038425,-2.49635098565862
"Virus1212",5.50353899343593,5.49359905094462,0.934199460065936,0.357961149880877,-5.26371729191894,16.2707952787908,-4.1328989278737,2.44892651166543,-1.81768407152492,0.0851779391216019,-8.93270669152325,0.666908835775844
"Virus1222",12.4271018978216,7.5742661705981,1.68809469002012,0.205838750018222,-2.41818700587077,27.272390801514,-6.94102149154278,3.33151244813428,-2.2571459550672,0.0826559752350751,-13.4706659039328,-0.411377079152721
"Virus143",9.72814728845037,3.422310614073,2.41988204357803,0.137186072853446,3.02054174095812,16.4357528359426,-5.2640267728768,1.50213406031744,-3.18236924194838,0.0432785238015554,-8.2081554310499,-2.31989811470371
"Virus144",106.351637515668,23116.3953328376,1.62060161529804,0.404885429449138,-45200.9506672358,45413.6539422671,-55.474581913977,12045.5024310365,-1.75291313880467,0.403791456476448,-23664.2255224353,23553.2763586073
"Virus146",57.2351597806484,15701.0024986855,0.00364531881231407,0.997091462842061,-30716.1642588163,30830.6345783776,-35.0546032739148,9684.94395640088,-0.00361949469524259,0.997112067370436,-19017.1959501085,18947.0867435607
"Virus148",8.54655093363662,3.76632607884169,2.23812375220419,0.0610271247365158,1.16468746507295,15.9284144022003,-4.2054111712766,1.61104696944387,-2.68527906161418,0.0273917011883601,-7.36300520878899,-1.04781713376421
"Virus160",50.9349724976725,15720.2477590687,0.00324008713337798,0.997414789023951,-30760.1844633235,30862.0544083188,-32.2736425577026,9696.81507772596,-0.00332827245843191,0.997344427694078,-19037.6819596455,18973.1346745301
"Virus171",83.8287809692631,19738.1506749837,1.26069170571896,0.377927912756002,-38602.2356634237,38769.8932253623,-44.4391709844857,10285.2289388456,-1.45243556883591,0.365243728483538,-20203.1174638709,20114.2391219019
"Virus172",518.672708073348,228610.109792257,0.00226873435695994,0.998189813437218,-447548.908986498,448586.254402645,-259.282294231218,113472.144305877,-0.00228492397450171,0.998176896024839,-222660.598382281,222142.033793819
"Virus180",4.35292902471116,2.34265257883765,1.97377685906801,0.108938720014301,-0.238585658100514,8.94444370752283,-2.83892250452021,1.03759464927239,-2.89775648481341,0.0250440733066165,-4.87257064764557,-0.805274361394847
"Virus183",3.3702631776927,3.38615103041862,0.879464967600886,0.399499031725783,-3.26647088814099,10.0069972435264,-3.05109825701139,1.52300138737873,-2.0604929855019,0.0416414237990707,-6.03612612467825,-0.0660703893445425
"Virus184",2.15771218211804,2.43554331742044,0.840972500160322,0.408318221643762,-2.61586500281322,6.93128936704931,-2.46146875046055,1.12773370012302,-2.24809188503494,0.0301531625784102,-4.67178618685376,-0.251151314067347
"Virus1880",7.04878114549565,5.07128544099225,1.25460740741536,0.23948906024893,-2.89075567417148,16.9883179651628,-4.8740921132097,2.34386747492872,-2.128397406153,0.0347129487863893,-9.46798794860484,-0.280196277814567
"Virus1883",3.27514155063054,2.76158322160363,1.03465472575995,0.339035243504999,-2.13746210402266,8.68774520528374,-2.50259584628573,1.20579248219844,-2.07577398022431,0.039251564204535,-4.86590568422382,-0.13928600834763
"Virus191",5.8585003194088,2.77609987490819,2.08582509475076,0.109901872086156,0.417444547102592,11.299556091715,-4.5756263349479,1.51281083270683,-2.95996406680185,0.0113493447318734,-7.54068108247532,-1.61057158742047
"Virus192",5.66488491374417,2.09575427863828,2.67842699649113,0.115072275304473,1.55728200716741,9.77248782032093,-3.89987678642642,1.03005001859451,-3.70878937853795,0.0141807254038132,-5.91873772514647,-1.88101584770637
"Virus193",60.6536187628016,15565.7104805204,0.00389661742961918,0.996890956981312,-30447.5783168348,30568.8855543604,-36.5582211197816,9601.4909137805,-0.00380755670635604,0.99696201663014,-18855.1346100181,18782.0181677786
"Virus208",9.05404770238373,3.77391713972448,2.33016215607232,0.0276649883562605,1.65730602788532,16.4507893768821,-5.26243732464599,1.69777038220539,-3.06457346083982,0.00257295843457194,-8.59000612778735,-1.93486852150462
"Virus209",1.86554069982701,2.62317266688832,0.708008309046304,0.479184379551279,-3.27578325250397,7.006864652158,-2.54820696064458,1.18500428036556,-2.17905923306723,0.0324007083908483,-4.87077267168688,-0.225641249602277
"Virus210",3.74401343946829,2.80351991978547,1.26899160448779,0.289250507511412,-1.75078463325186,9.23881151218844,-2.84686690345056,1.2322403248756,-2.27599994862657,0.0413153591416017,-5.26201356050468,-0.431720246396446
"Virus2103",32.86487093081,23.3997506696811,2.65702241158316,0.0498078179540186,-12.9977976289819,78.727539490602,-16.1501179466339,10.9043939933121,-2.95831995665064,0.0474041983736354,-37.5223374467605,5.22210155349265
"Virus217",4.54121122620429,2.72184444284523,1.40444223400153,0.257078585378681,-0.793505853292849,9.87592830570143,-2.66471131609307,1.1629175516229,-2.15755562504679,0.0467836262438651,-4.94398783426345,-0.385434797922678
"Virus2171",2.23552593748525,3.23325766349432,0.693584208916129,0.487961933007737,-4.10154263570174,8.57259451067225,-2.95638238244322,1.45918459436772,-2.07862223354368,0.0449353909586969,-5.81633163419965,-0.0964331306867994
"Virus2172",99.0737420614461,40070.0246164684,0.00247251512844661,0.998027220362704,-78436.7313658501,78634.878849973,-67.0020636268151,27289.6736224534,-0.00245521674439107,0.998041022434375,-53553.7795134882,53419.7753862346
"Virus2174",25.7335780668191,8.5293487103213,3.22790929334854,0.00306750977634012,9.01636178300618,42.450794350632,-12.53365909285,3.96484098905291,-3.46983072349424,0.00255210575603815,-20.3046046358218,-4.76271354987812
"Virus2175",7.70402710127087,3.0646803478911,1.93811761170691,0.222961679118818,1.69736399527663,13.7106902072651,-4.09531817640064,1.32080429943352,-2.67216133295203,0.0435149945519918,-6.684047033916,-1.50658931888528
"Virus2177",4.08347950231668,10.0985977126178,0.558116476681746,0.585101323929406,-15.7094083087727,23.8763673134061,-3.75906047260205,4.33116760615145,-1.45323910415882,0.278842506639617,-12.2479929916654,4.72987204646134
"Virus2178",2.87459166591595,2.63030332255375,0.988679659055269,0.332058648320055,-2.28070811470545,8.02989144653734,-2.3335749485714,1.14902615222497,-2.01206156834021,0.0551478898842278,-4.58562482422697,-0.0815250729158315
"Virus2179",7.63798961218577,3.42845714496586,2.02498801469226,0.148882837026312,0.91833708551366,14.3576421388579,-5.18013181353221,1.69089906919832,-2.96042109707569,0.00646188082771829,-8.49423309065322,-1.86603053641119
"Virus2182",3.17964017027657,3.53667368804949,0.841192408028889,0.406554495106484,-3.75211288337087,10.111393223924,-2.92415290898314,1.55732326768178,-1.95787284969072,0.0558678902166586,-5.97645042592567,0.128144607959377
"Virus2183",2.51209507522289,3.43819232147762,0.737215025304192,0.461208398283503,-4.2266380467954,9.25082819724117,-3.13014501382744,1.57954699171555,-2.02896328095933,0.0493742840184016,-6.2260002294785,-0.0342897981763792
"Virus2184",17.5694522380059,8.64894190896264,1.88051075537417,0.0892320534383706,0.617837592059992,34.5210668839517,-9.44725041848235,4.06839181344901,-2.33281898102223,0.0205130076295774,-17.42115184784,-1.47334898912469
"Virus2186",64.0522288889884,13024.0483270529,1.54566589058655,0.433323887909833,-25462.6134250438,25590.7178828217,-35.6667306046275,7102.26158665083,-2.07371446496517,0.427163655890374,-13955.8436492225,13884.5101880133
"Virus2187",9.34040161104678,3.66540519039187,2.22897058776041,0.179600447913103,2.15633944913253,16.524463772961,-5.0193463384094,1.5910288142941,-2.92334883324691,0.032529575233731,-8.13770551279131,-1.90098716402749
"Virus2188",5.17946919816796,3.49608794671088,1.23668878261542,0.279602233940134,-1.67273726416994,12.0316756605059,-3.5139295153843,1.54291242489814,-2.1709148199637,0.049341103607188,-6.53798229948402,-0.489876731284581
"Virus2189",26.4171405257483,7.62834980016574,3.15713600572185,0.0915019527272661,11.4658496559502,41.3684313955465,-13.1320140571472,3.54137564662694,-3.52101657255617,0.00852725178846082,-20.0729827802633,-6.19104533403118
"Virus2190",72.430720788335,14669.506721729,1.69289018267346,0.287310362077032,-28679.2741247687,28824.1355663454,-38.2593876894643,7644.05283808395,-1.86323851386535,0.28388641119402,-15020.3276462552,14943.8088708763
"Virus2191",3.13680527242517,4.10081756385031,0.712587576930776,0.479039851837132,-4.90064945989071,11.174260004741,-2.88166921171996,1.7813724459488,-1.78246880978963,0.0944634091715069,-6.37309504883163,0.609756625391714
"Virus2192",17.7908516593757,10.4709909941647,1.5775520295828,0.142523278010533,-2.73191357163033,38.3136168903818,-9.78833515681411,4.97571887644236,-1.94640858816847,0.0550325978788407,-19.5405649518372,-0.0361053617909919
"Virus2195",10.5006615487495,3.90481161279347,2.33110783807601,0.13816802068868,2.84737142126053,18.1539516762385,-6.02197008052711,1.79747047975989,-3.12598541460664,0.00891298613335415,-9.54494748413043,-2.49899267692379
"Virus2197",17.3049589901651,5.46110149026239,2.88177634668665,0.0785942114832608,6.60139675333284,28.0085212269974,-9.22788786258418,2.60262769225539,-3.38822097663702,0.0043788206789556,-14.3289444045713,-4.12683132059703
"Virus2201",14.3024149361967,4.26221588340635,2.78454455391305,0.173875561984993,5.94862531038569,22.6562045620077,-7.55973202763755,1.94531524083044,-3.49599724049769,0.0269608349841414,-11.3724798382421,-3.74698421703302
"Virus2202",203.207769341123,59016.936645272,0.00344321106604577,0.997252720479306,-115467.862533274,115874.278071956,-106.726871285698,30752.7529467863,-0.00347048186126214,0.997230961662849,-60381.0150724449,60167.5613298735
"Virus2215",5.64703366768928,3.43701888091293,1.65886453008009,0.099016247407413,-1.08939955308422,12.3834668884628,-4.9192414789339,1.99629671873722,-2.47029838866304,0.0142419956359969,-8.83191115011435,-1.00657180775346
"Virus223",26.0066469697068,7.0896666512806,3.67641683472741,0.000246761325887476,12.1111556708021,39.9021382686114,-12.6943270560509,3.3230715985063,-3.8360340499923,0.000139369700953245,-19.2074277071712,-6.18122640493057
"Virus224",20.0612061041674,10.3677013412872,1.99978707279515,0.0504652150148373,-0.259115127223163,40.3815273355579,-11.0594021525056,5.24933752548943,-2.28995888186636,0.0315342118729501,-21.3479146451594,-0.770889659851667
"Virus2246",5.51856911875981,3.18525119524362,1.76193143978093,0.20098283735989,-0.724408505630833,11.7615467431505,-3.90342078447301,1.43254516142426,-2.7334382675497,0.0363048792855133,-6.71115770709167,-1.09568386185436
"Virus225",20.8543032411009,7.38003243542633,2.85784885105388,0.00662731654624535,6.38970546292783,35.3189010192739,-10.4181857795361,3.41317203474717,-3.18269138577733,0.00268388991678575,-17.1078800406798,-3.7284915183923
"Virus2250",2.542258768968,2.37300087382473,0.942898771700193,0.372966890216262,-2.10873747901054,7.19325501694654,-1.74805935672792,1.00931877167978,-1.68740826891829,0.104523629278241,-3.72628779814049,0.230169084684655
"Virus2252",17.1588143647451,7.71021405736181,2.15511619293763,0.0388424035367347,2.04707249922149,32.2705562302687,-9.09610465306749,3.6032309647702,-2.58478089217514,0.011160590360704,-16.1583075719966,-2.03390173413839
"Virus2253",2.90734981084039,2.91323388044168,0.907490799464575,0.397451758440672,-2.80248367336717,8.61718329504795,-2.63307873794469,1.29629091354245,-2.14935158989816,0.0427897534188656,-5.17376224197441,-0.0923952339149581
"Virus2256",2.72308531921079,2.2342351662644,1.05434798854224,0.36413461929389,-1.65593513966029,7.10210577808188,-1.91909210195772,0.959311383194226,-1.92301752101253,0.0735933166111064,-3.79930786297771,-0.038876340937735
"Virus226",15.3604732991918,13.331993003068,1.15261314229464,0.250125802010333,-10.7697528289614,41.490699427345,-8.81175383737433,6.17179934647219,-1.42831786277911,0.154095780860621,-20.9082582762677,3.284750601519
"Virus227",35.5288645104816,15.3114904403799,2.58524567566509,0.0198220023193751,5.51889469770763,65.5388343232556,-18.1032764101001,7.68601430401964,-2.65879410293684,0.0192912403595085,-33.1675876306383,-3.03896518956191
"Virus228",22.4658137844038,10.2392739473004,2.55979305712939,0.0271656145497441,2.39720561985574,42.5344219489519,-11.2011927175015,4.73209012556545,-2.85451492779499,0.0217402025729702,-20.4759189352074,-1.92646649979559
"Virus229",29.9030138561315,18.3156245232804,2.1426487664933,0.0654695258327935,-5.9949505638566,65.8009782761196,-15.7670328639796,9.30086841040598,-2.27495281701795,0.0602960107314276,-33.9963999733216,2.4623342453624
