"Pest","intercept","Std. Error","z value","Pr(>|z|)","2.5 %","97.5 %","slope","Std. Error.1","z value.1","Pr(>|z|).1","2.5 %.1","97.5 %.1"
"Euwallacea fornicatus",2.83306590664224,3.09895253877679,0.904283027336253,0.392420318409391,-3.24076945915923,8.90690127244371,-1.72412049099313,1.16887993119354,-1.60921207919922,0.126767104638139,-4.01508305838412,0.566842076397868
"Euwallacea validus",8.21130046416128,4.42603154948512,1.14602133942105,0.406493297790661,-0.463561967267554,16.8861628955901,-3.764489118847,1.62837848225795,-1.85636161535348,0.12122921771925,-6.95605229727258,-0.572925940421428
"Xyleborus atratus",3.40010861007131,6.13370574829216,0.593129384785862,0.554645110104447,-8.62173374834763,15.4219509684902,-3.1830927885239,2.28141477996566,-1.5943951720559,0.155287517672237,-7.65458359105396,1.28839801400616
"Xyleborus ferrugineus",2.72102318209345,2.61479455089575,0.962018826884064,0.376948435656117,-2.40387996463379,7.8459263288207,-1.47497606224189,0.984225232515416,-1.48044625406294,0.161722626180142,-3.40402207064767,0.454069946163886
"Xyleborus germanus",4.28928302801869,3.34742178749589,0.626454662880449,0.500017467023652,-2.27154311653795,10.8501091725753,-2.16358521145415,1.22641848975417,-1.3198452245917,0.26699113251949,-4.56732128134631,0.240150858438023
"Xyleborus obesus",2.35506160004684,3.37696335303724,0.695367491417011,0.486884069604786,-4.26366494901777,8.97378814911145,-2.44473743831578,1.29137036792115,-1.91023752102003,0.0588090212038123,-4.97577685014346,0.0863019735119008
"Xyleborus posticus",1.74604628114634,2.66058000758328,0.652935960079075,0.517382677155934,-3.4685947117042,6.96068727399687,-1.8026803023867,1.0096011537946,-1.87842612221024,0.0720518705164848,-3.78146220257419,0.176101597800789
"Xyleborus spathipennis",2.72679145032624,3.90462177261363,0.698260148044292,0.485014914162494,-4.92612659724742,10.3797094978999,-3.0333590626996,1.55388000366755,-1.95599493969784,0.0511119797573338,-6.07890790618496,0.0121897807857652
"Xylosandrus compactus",3.04229489031595,3.47676359147665,0.542958983371613,0.601086990814607,-3.77203653173842,9.85662631237031,-1.89949148677906,1.28262036874252,-1.4260865505619,0.158138302547128,-4.41338121535188,0.614398241793768
"Xylosandrus crassiusculus",2.97217752965738,3.21631333248445,0.86614068389275,0.388120210354395,-3.33168076500814,9.27603582432289,-1.32004747574389,1.19496087410138,-1.09643732635177,0.329968167612338,-3.66212775191709,1.02203280042931
"Xylosandrus morigerus",3.51317715457738,2.95280214463638,1.10486399667668,0.320159015849503,-2.27420870238255,9.3005630115373,-1.76860019243087,1.11190957170197,-1.59240686093525,0.140967521031057,-3.94790290703209,0.410702522170359
