ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35190739,B,Adelanthaceae,,Adelocolia,,"decipiens",,"","(Hook.) Mitt.",Accepted,,M,TRO,35190739,,"Rep. Challenger, Bot.","1(2): 106","106","1884"
tro-35215979,B,Adelanthaceae,,Calyptrocolea,,"aureomarginata",,"","(R.M. Schust.) R.M. Schust.",Accepted,,M,TRO,35215979,,"Nova Hedwigia Beih.","119: 189","189","2002"
tro-35212127,B,Adelanthaceae,,Calyptrocolea,,"falcata",,"","(Hook.) R.M. Schust.",Accepted,,M,TRO,35212127,,"Rev. Bryol. Lichénol.","34: 689","689","1966"
tro-35212128,B,Adelanthaceae,,Calyptrocolea,,"occlusa",,"","(Hook. f. & Taylor) R.M. Schust.",Accepted,,M,TRO,35212128,,"Rev. Bryol. Lichénol.","34: 692","692","1966"
tro-35215978,B,Adelanthaceae,,Calyptrocolea,,"pittieri",,"","(Stephani) R.M. Schust.",Accepted,,M,TRO,35215978,,"Nova Hedwigia Beih.","119: 189","189","2002"
tro-35215977,B,Adelanthaceae,,Calyptrocolea,,"squarrosa",,"","(Grolle) R.M. Schust.",Accepted,,M,TRO,35215977,,"Nova Hedwigia Beih.","119: 189","189","2002"
tro-35215981,B,Adelanthaceae,,Calyptrocolea,,"tenuis",,"","(J.J. Engel & Grolle) R.M. Schust.",Accepted,,M,TRO,35215981,,"Nova Hedwigia Beih.","119: 191","191","2002"
tro-35217746,B,Adelanthaceae,,Pseudomarsupidium,,"aureocinctum",,"","(R.M. Schust.) J.J. Engel",Accepted,,M,TRO,35217746,,"Novon","17: 312","312","2007"
tro-35217747,B,Adelanthaceae,,Pseudomarsupidium,,"crossii",,"","(Spruce) J.J. Engel",Accepted,,M,TRO,35217747,,"Novon","17: 312","312","2007"
tro-35214401,B,Adelanthaceae,,Pseudomarsupidium,,"decipiens",,"","(Hook.) Grolle",Accepted,,M,TRO,35214401,,"Trans. Brit. Bryol. Soc.","4: 443","443","1963"
tro-35212495,B,Adelanthaceae,,Wettsteinia,,"densiretis",,"","(Herzog) Grolle",Accepted,,M,TRO,35212495,,"J. Hattori Bot. Lab.","28: 99","99","1965"
tro-35209577,B,Adelanthaceae,,Wettsteinia,,"inversa",,"","(Sande Lac.) Schiffner",Accepted,,M,TRO,35209577,,"Ann. Jard. Bot. Buitenzorg, Suppl.","2: 45","45",""
tro-35209578,B,Adelanthaceae,,Wettsteinia,,"rotundifolia",,"","(Horik.) Grolle",Accepted,,M,TRO,35209578,,"J. Hattori Bot. Lab.","28: 100","100","1965"
tro-35212492,B,Adelanthaceae,,Wettsteinia,,"schusteriana",,"","Grolle",Unresolved,,L,TRO,35212492,,"J. Hattori Bot. Lab.","28: 99. f. 2","99","1965"
