ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2623230,A,Adoxaceae,,Adoxa,,"moschatellina",,"","L.",Accepted,,M,WCSP (in review),755586,148240-1,"Sp. Pl.","367","","1753"
kew-2623235,A,Adoxaceae,,Adoxa,,"omeiensis",,"","H.Hara",Unresolved,,L,WCSP (in review),755591,896844-1,"J. Jap. Bot.","56: 271","","1981"
kew-2623238,A,Adoxaceae,,Adoxa,,"xizangensis",,"","G.Yao",Accepted,,M,WCSP (in review),755594,961129-1,"Acta Phytotax. Sin.","30: 179","","1992"
tro-50200358,A,Adoxaceae,,Oreinotinus,,"acutifolius",,"","(Benth.) Oerst.",Accepted,,M,TRO,50200358,149233-1,"Vidensk. Meddel. Dansk Naturhist. Foren. Kjøbenhavn","1860: 293, t. 6, f. 25","293","1860"
tro-6001115,A,Adoxaceae,,Oreinotinus,,"divaricatus",,"","(Benth.) Oerst.",Accepted,,M,TRO,6001115,149237-1,"Vidensk. Meddel. Dansk Naturhist. Foren. Kjøbenhavn","1860: 287","287","1861"
kew-2392314,A,Adoxaceae,,Oreinotinus,,"ferrugineus",,"","Oerst.",Unresolved,,L,WCSP (in review),530872,149238-1,"Vidensk. Meddel. Naturhist. Foren. Kjøbenhavn","1860: 286","","1860"
kew-2392329,A,Adoxaceae,,Oreinotinus,,"furcatus",,"","Oerst.",Unresolved,,L,WCSP (in review),530887,149239-1,"Vidensk. Meddel. Naturhist. Foren. Kjøbenhavn","1860: 284","","1860"
tro-6001096,A,Adoxaceae,,Oreinotinus,,"pichinchensis",,"","(Benth.) Oerst.",Accepted,,M,TRO,6001096,149252-1,"Vidensk. Meddel. Dansk Naturhist. Foren. Kjøbenhavn","1860: 287","287","1861"
kew-2486600,A,Adoxaceae,,Sambucus,,"acuminata",,"","Greene",Unresolved,,L,WCSP (in review),623367,227131-2,"Leafl. Bot. Observ. Crit.","2: 100","","1910"
tro-6000746,A,Adoxaceae,,Sambucus,,"adnata",,"","Wall. ex DC.",Accepted,,M,TRO,6000746,,"Prodr.","4: 322","322","1830"
kew-2486602,A,Adoxaceae,,Sambucus,,"africana",,"","Standl.",Unresolved,,L,WCSP (in review),623369,149285-1,"Smithsonian Misc. Collect.","68(5): 19","","1917"
kew-2486580,A,Adoxaceae,,Sambucus,,"alba",,"","Raf.",Unresolved,,L,WCSP (in review),623347,149286-1,"Alsogr. Amer.","48","","1838"
kew-2486597,A,Adoxaceae,,Sambucus,,"angustifolia",,"","Noronha",Unresolved,,L,WCSP (in review),623364,149287-1,"Verh. Batav. Genootsch. Kunsten","5(4): 27","","1790"
kew-2486574,A,Adoxaceae,,Sambucus,,"arborescens",,"","Gilib.",Unresolved,,L,WCSP (in review),623341,149289-1,"Exerc. Phyt.","1: 5","","1792"
kew-2486595,A,Adoxaceae,,Sambucus,,"arborescens",,"","Nutt.",Unresolved,,L,WCSP (in review),623362,,"Fl. N. Amer.","2: 13","","1841"
kew-2486576,A,Adoxaceae,,Sambucus,,"arisanensis",,"","Kaneh. & Sasaki",Unresolved,,L,WCSP (in review),623343,,"Rep. Dept. Forest. Gov. Res. Inst. Taihoku","9: 484","","1930"
kew-2486577,A,Adoxaceae,,Sambucus,,"aurea",,"","Carrière",Unresolved,,L,WCSP (in review),623344,149293-1,"Rev. Hort.","63: 384","","1891"
tro-50044259,A,Adoxaceae,,Sambucus,,"australasica",,"","(Lindl.) Fritsch",Accepted,,M,TRO,50044259,149294-1,"Nat. Pflanzenfam.","4(4): 162","162","1891"
tro-6000522,A,Adoxaceae,,Sambucus,,"australis",,"","Cham. & Schltdl.",Accepted,,M,TRO,6000522,149295-1,"Linnaea","3: 140","140","1828"
kew-2486583,A,Adoxaceae,,Sambucus,,"borealis",,"","Greene",Unresolved,,L,WCSP (in review),623350,227133-2,"Leafl. Bot. Observ. Crit.","2: 101","","1910"
kew-2486585,A,Adoxaceae,,Sambucus,,"californica",,"","K.Koch",Unresolved,,L,WCSP (in review),623352,321981-2,"Dendrologie","2(1): 72","","1872"
tro-6000146,A,Adoxaceae,,Sambucus,,"callicarpa",,"","Greene",Accepted,,M,TRO,6000146,289824-2,"Fl. Francisc.","342","342","1892"
kew-2486578,A,Adoxaceae,,Sambucus,,"canadensis",,"","L.",Accepted,,M,WCSP (in review),623345,321978-2,"Sp. Pl.","269","","1753"
tro-6000148,A,Adoxaceae,,Sambucus,,"cerulea",,"","Raf.",Accepted,,M,TRO,6000148,,"Alsogr. Amer.","48","48","1838"
tro-6000290,A,Adoxaceae,,Sambucus,,"cerulea",var.,"neomexicana","Rehder",Accepted,,L,TRO,6000290,,"Deuts. Dendr. Ges.","1915: 228","228","1915"
kew-2486624,A,Adoxaceae,,Sambucus,,"cochinchinensis",,"","Spreng.",Unresolved,,L,WCSP (in review),623391,149307-1,"Syst. Veg.","1: 935","","1824"
kew-2486625,A,Adoxaceae,,Sambucus,,"columnaris",,"","Lebas",Unresolved,,L,WCSP (in review),623392,149308-1,"Rev. Hort.","1884: 298","","1884"
tro-6000493,A,Adoxaceae,,Sambucus,,"coreana",,"","Kom. & Aliss.",Unresolved,,L,TRO,6000493,,"","","",""
kew-2486626,A,Adoxaceae,,Sambucus,,"coriacea",,"","Greene",Unresolved,,L,WCSP (in review),623393,227157-2,"Leafl. Bot. Observ. Crit.","2: 99","","1910"
kew-2486627,A,Adoxaceae,,Sambucus,,"decipiens",,"","M.E.Jones",Unresolved,,L,WCSP (in review),623394,227158-2,"Bull. Montana Univ., Biol. Ser.","15(61): 46","","1910"
kew-2486636,A,Adoxaceae,,Sambucus,,"dimidiata",,"","Raf.",Unresolved,,L,WCSP (in review),623403,149311-1,"Alsogr. Amer.","49","","1838"
