ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2617457,A,Amaranthaceae,,Achyranthes,,"albida",,"","(Moq.) Standl.",Unresolved,,L,WCSP (in review),749839,2464-2,"J. Wash. Acad. Sci.","5: 74","","1915"
kew-2617463,A,Amaranthaceae,,Achyranthes,,"amabilis",,"","Britton",Unresolved,,L,WCSP (in review),749845,2465-2,"Fl. Bermuda","121","","1918"
kew-2617465,A,Amaranthaceae,,Achyranthes,,"ancistrophora",,"","C.C.Towns.",Unresolved,,L,WCSP (in review),749847,58652-1,"Kew Bull.","30: 223","","1975"
kew-2617469,A,Amaranthaceae,,Achyranthes,,"aphylla",,"","(Glaz.) Standl.",Unresolved,,L,WCSP (in review),749851,2466-2,"J. Wash. Acad. Sci.","5: 74","","1915"
kew-2617471,A,Amaranthaceae,,Achyranthes,,"arborescens",,"","R.Br.",Accepted,,M,WCSP (in review),749853,58659-1,"Prodr. Fl. Nov. Holl.","417","","1810"
kew-2617475,A,Amaranthaceae,,Achyranthes,,"aspera",,"","L.",Accepted,,M,WCSP (in review),749857,2468-2,"Sp. Pl.","204","","1753"
kew-2617481,A,Amaranthaceae,,Achyranthes,,"aspera",var.,"borbonica","(Willd. ex Schult.) C.C.Towns.",Accepted,,L,WCSP (in review),749863,874075-1,"Kew Bull.","29: 474","","1974"
kew-2617484,A,Amaranthaceae,,Achyranthes,,"aspera",var.,"indica","L.",Accepted,,L,WCSP (in review),749866,2469-2,"Sp. Pl.","204","","1753"
kew-2617487,A,Amaranthaceae,,Achyranthes,,"aspera",var.,"porphyristachya","(Wall. ex Moq.) Hook.f.",Accepted,,L,WCSP (in review),749869,1219846-2,"Fl. Brit. India","4: 730","","1885"
kew-2617489,A,Amaranthaceae,,Achyranthes,,"aspera",var.,"pubescens","(Moq.) M.Gómez",Accepted,,L,WCSP (in review),749871,1197256-2,"Noc. Bot. Sist.","58","","1893"
kew-2617493,A,Amaranthaceae,,Achyranthes,,"aspera",var.,"rubrofusca","(Wight) Hook.f.",Accepted,,L,WCSP (in review),749875,1013105-2,"Fl. Brit. India","4: 730","","1885"
kew-2617494,A,Amaranthaceae,,Achyranthes,,"aspera",var.,"sicula","L.",Accepted,,L,WCSP (in review),749876,326789-2,"Sp. Pl.","204","","1753"
kew-2617498,A,Amaranthaceae,,Achyranthes,,"aspera",var.,"velutina","(Hook. & Arn.) C.C.Towns.",Accepted,,L,WCSP (in review),749880,874077-1,"Kew Bull.","29: 473","","1974"
kew-2617505,A,Amaranthaceae,,Achyranthes,,"atra",,"","Pav. ex Moq.",Unresolved,,L,WCSP (in review),749887,58667-1,"Prodr.","13(2): 372","","1849"
kew-2617513,A,Amaranthaceae,,Achyranthes,,"bengalensis",,"","(L.) Lam.",Unresolved,,L,WCSP (in review),749895,58675-1,"Encycl.","1: 549","","1785"
kew-2617516,A,Amaranthaceae,,Achyranthes,,"bidentata",,"","Blume",Accepted,,M,WCSP (in review),749898,58678-1,"Bijdr.","545","","1826"
kew-2617531,A,Amaranthaceae,,Achyranthes,,"capitata",,"","Forssk.",Unresolved,,L,WCSP (in review),749912,58690-1,"Fl. Aegypt.-Arab.","48","","1775"
kew-2617534,A,Amaranthaceae,,Achyranthes,,"carnosa",,"","Wall.",Unresolved,Invalid,L,WCSP (in review),749915,58693-1,"Numer. List","6931","","1832"
tro-1101176,A,Amaranthaceae,,Achyranthes,,"carpathicum",,"","Herb. cm. Leucojum vernum",Unresolved,,L,TRO,1101176,,"","","",""
