ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2635704,A,Anacampserotaceae,,Anacampseros,,"affinis",,"","H.Pearson & Stephens",Accepted,,M,WCSP (in review),767841,698232-1,"Ann. S. African Mus.","9: 31","","1912"
kew-2635709,A,Anacampserotaceae,,Anacampseros,,"albidiflora",,"","Poelln.",Accepted,,M,WCSP (in review),767846,698233-1,"Repert. Spec. Nov. Regni Veg.","26: 243","","1929"
kew-2635711,A,Anacampserotaceae,,Anacampseros,,"albissima",,"","Marloth",Accepted,,M,WCSP (in review),767848,698235-1,"Trans. Roy. Soc. South Africa","2: 238","","1912"
kew-2635713,A,Anacampserotaceae,,Anacampseros,,"alstonii",,"","Schönland",Accepted,,M,WCSP (in review),767850,698236-1,"Rec. Albany Mus.","1: 51","","1903"
tro-26200307,A,Anacampserotaceae,,Anacampseros,,"alstonii",,"","Schoenl.",Unresolved,,L,TRO,26200307,,"","","",""
kew-2635714,A,Anacampserotaceae,,Anacampseros,,"alta",,"","Poelln.",Accepted,,M,WCSP (in review),767851,698237-1,"Repert. Spec. Nov. Regni Veg.","28: 30","","1930"
kew-2635720,A,Anacampserotaceae,,Anacampseros,,"arachnoides",,"","(Haw.) Sims",Accepted,,M,WCSP (in review),767857,698240-1,"Bot. Mag.","33: t. 1368","","1811"
kew-2635731,A,Anacampserotaceae,,Anacampseros,,"bayeriana",,"","S.A.Hammer",Accepted,,M,WCSP (in review),767868,936097-1,"Cact. Succ. J. (Los Angeles)","60: 215","","1988"
kew-2899361,A,Anacampserotaceae,,Anacampseros,,"coahuilensis",,"","(S.Watson) Eggli & Nyffeler",Accepted,,M,WCSP (in review),1022090,77103956-1,"Taxon","59: 240","","2010"
kew-2635744,A,Anacampserotaceae,,Anacampseros,,"comptonii",,"","Pillans",Accepted,,M,WCSP (in review),767881,698247-1,"S. African Gard.","17: 218","","1927"
kew-2635748,A,Anacampserotaceae,,Anacampseros,,"crinita",,"","Dinter",Accepted,,M,WCSP (in review),767885,,"Sukkulentenforsch. Südwestafr.","2","","1928"
tro-26200313,A,Anacampserotaceae,,Anacampseros,,"crinita",,"","ex Poelln.",Unresolved,,L,TRO,26200313,,"","","",""
kew-2902629,A,Anacampserotaceae,,Anacampseros,,"decapitata",,"","Burgoyne & J.van Thiel",Unresolved,,L,WCSP (in review),1025086,77112216-1,"Novon","20: 381","","2010"
kew-2635749,A,Anacampserotaceae,,Anacampseros,,"decipiens",,"","Poelln.",Accepted,,M,WCSP (in review),767886,698249-1,"Bot. Jahrb. Syst.","65: 415","","1933"
kew-2635751,A,Anacampserotaceae,,Anacampseros,,"densifolia",,"","Dinter ex Poelln.",Accepted,,M,WCSP (in review),767888,698251-1,"Repert. Spec. Nov. Regni Veg.","26: 22","","1929"
kew-2635753,A,Anacampserotaceae,,Anacampseros,,"depauperata",,"","(A.Berger) Poelln.",Accepted,,M,WCSP (in review),767890,698252-1,"Bot. Jahrb. Syst.","65: 435","","1933"
kew-2635754,A,Anacampserotaceae,,Anacampseros,,"dielsiana",,"","Dinter",Accepted,,M,WCSP (in review),767891,698253-1,"Repert. Spec. Nov. Regni Veg.","19: 149","","1923"
kew-2635755,A,Anacampserotaceae,,Anacampseros,,"dinteri",,"","Schinz",Accepted,,M,WCSP (in review),767892,698254-1,"Bull. Herb. Boissier","II, 1: 873","","1901"
kew-2635759,A,Anacampserotaceae,,Anacampseros,,"filamentosa",,"","(Haw.) Sims",Accepted,,M,WCSP (in review),767896,698255-1,"Bot. Mag.","33: t. 1367","","1811"
kew-2635763,A,Anacampserotaceae,,Anacampseros,,"fissa",,"","Poelln.",Accepted,,M,WCSP (in review),767900,698256-1,"Repert. Spec. Nov. Regni Veg.","27: 132","","1929"
kew-2635765,A,Anacampserotaceae,,Anacampseros,,"gracilis",,"","Poelln.",Accepted,,M,WCSP (in review),767902,698257-1,"Repert. Spec. Nov. Regni Veg.","26: 21","","1929"
kew-2635766,A,Anacampserotaceae,,Anacampseros,,"herreana",,"","Poelln.",Accepted,,M,WCSP (in review),767903,698258-1,"Repert. Spec. Nov. Regni Veg.","28: 30","","1930"
kew-2606201,A,Anacampserotaceae,,Anacampseros,,"hillii",,"","G.Will.",Accepted,,M,WCSP (in review),739255,,"Aloe","45: 16","","2008"
kew-2635773,A,Anacampserotaceae,,Anacampseros,,"karasmontana",,"","Dinter",Accepted,,M,WCSP (in review),767910,698262-1,"Neue Pfl. Südw.-Afr.","15, 4","","1914"
tro-26200326,A,Anacampserotaceae,,Anacampseros,,"karasmontana",,"","ex Poelln.",Unresolved,,L,TRO,26200326,,"","","",""
kew-2635774,A,Anacampserotaceae,,Anacampseros,,"kurtzii",,"","Bacig.",Accepted,,M,WCSP (in review),767911,,"Bol. Soc. Argent. Bot.","26: 197","","1990"
kew-2635775,A,Anacampserotaceae,,Anacampseros,,"lanceolata",,"","(Haw.) Sweet",Accepted,,M,WCSP (in review),767912,698263-1,"Hort. Brit.","170","","1826"
kew-2635778,A,Anacampserotaceae,,Anacampseros,,"lanigera",,"","Burch.",Accepted,,M,WCSP (in review),767915,698264-1,"Trav. S. Africa","2: 333","","1824"
kew-2635785,A,Anacampserotaceae,,Anacampseros,,"mallei",,"","(G.Will.) G.Will.",Accepted,,M,WCSP (in review),767922,997083-1,"Aloe","34: 45","","1997"
tro-50331555,A,Anacampserotaceae,,Anacampseros,,"margarethae",,"","Dinter",Unresolved,,L,TRO,50331555,,"","","",""
kew-2635787,A,Anacampserotaceae,,Anacampseros,,"marlothii",,"","Poelln.",Accepted,,M,WCSP (in review),767924,698267-1,"Repert. Spec. Nov. Regni Veg.","24: 297","","1928"
kew-2635790,A,Anacampserotaceae,,Anacampseros,,"meyeri",,"","Poelln.",Accepted,,M,WCSP (in review),767927,698268-1,"Repert. Spec. Nov. Regni Veg.","26: 242","","1929"
kew-2635795,A,Anacampserotaceae,,Anacampseros,,"namaquensis",,"","H.Pearson & Stephens",Accepted,,M,WCSP (in review),767932,698269-1,"Ann. S. African Mus.","9: 30","","1912"
kew-2635797,A,Anacampserotaceae,,Anacampseros,,"nebrownii",,"","Poelln.",Accepted,,M,WCSP (in review),767934,698270-1,"Bot. Jahrb. Syst.","65: 425","","1933"
kew-2635799,A,Anacampserotaceae,,Anacampseros,,"nitida",,"","Poelln.",Accepted,,M,WCSP (in review),767936,698272-1,"Bot. Jahrb. Syst.","65: 438","","1933"
kew-2635803,A,Anacampserotaceae,,Anacampseros,,"papyracea",,"","E.Mey. ex Fenzl",Accepted,,M,WCSP (in review),767940,,"Ann. Wiener Mus. Naturgesch.","2: 295","","1840"
kew-2635804,A,Anacampserotaceae,,Anacampseros,,"papyracea",subsp.,"namaensis","Gerbaulet",Accepted,,L,WCSP (in review),767941,965790-1,"Bot. Jahrb. Syst.","113: 547","","1992"
kew-2635805,A,Anacampserotaceae,,Anacampseros,,"paradoxa",,"","Poelln.",Accepted,,M,WCSP (in review),767942,698277-1,"Repert. Spec. Nov. Regni Veg.","33: 72","","1933"
kew-2635807,A,Anacampserotaceae,,Anacampseros,,"parviflora",,"","Poelln.",Accepted,,M,WCSP (in review),767944,698278-1,"Repert. Spec. Nov. Regni Veg.","26: 21","","1929"
kew-2635810,A,Anacampserotaceae,,Anacampseros,,"pisina",,"","G.Will.",Accepted,,M,WCSP (in review),767947,1002272-1,"Aloe","35: 18","","1998"
kew-2635812,A,Anacampserotaceae,,Anacampseros,,"polyphylla",,"","(Haw.) Sweet",Unresolved,,L,WCSP (in review),767949,698281-1,"Hort. Brit.","170","","1826"
kew-2635817,A,Anacampserotaceae,,Anacampseros,,"prominens",,"","G.Will.",Accepted,,M,WCSP (in review),767954,997084-1,"Aloe","34: 45","","1997"
kew-2635821,A,Anacampserotaceae,,Anacampseros,,"quinaria",,"","E.Mey. ex Fenzl",Accepted,,M,WCSP (in review),767958,,"Ann. Wiener Mus. Naturgesch.","2: 295","","1840"
kew-2635825,A,Anacampserotaceae,,Anacampseros,,"recurvata",,"","Schönland",Accepted,,M,WCSP (in review),767962,1002839-1,"Rec. Albany Mus.","1: 52","","1903"
kew-2635826,A,Anacampserotaceae,,Anacampseros,,"recurvata",subsp.,"buderiana","(Poelln.) Gerbaulet",Accepted,,L,WCSP (in review),767963,967458-1,"Bot. Jahrb. Syst.","113: 548","","1992"
kew-2635827,A,Anacampserotaceae,,Anacampseros,,"recurvata",subsp.,"minuta","Gerbaulet",Accepted,,L,WCSP (in review),767964,965791-1,"Bot. Jahrb. Syst.","113: 548","","1992"
kew-2635829,A,Anacampserotaceae,,Anacampseros,,"retusa",,"","Poelln.",Accepted,,M,WCSP (in review),767966,698283-1,"Repert. Spec. Nov. Regni Veg.","27: 131","","1929"
