ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
ifn-47769,P,Anemiaceae,,Aneimiaebotrys,,"asper",,"","F",Unresolved,,L,IPNI,17021370-1,17021370-1,"Crypt. Vasc. Bresil","1. 267 t. 78 f. 2. 1869.","","1869"
ifn-47775,P,Anemiaceae,,Anemia,,"abbottii",,"","Maxon",Unresolved,,L,IPNI,13223-2,13223-2,"Proc. Biol. Soc. Washington","35: 48","","1922"
ifn-82732,P,Anemiaceae,,Anemia,,"abscissa",,"","Schrad.",Unresolved,,L,IPNI,13224-2,13224-2,"","","",""
tro-26604083,P,Anemiaceae,,Anemia,,"adiantifolia",,"","(L.) Sw.",Accepted,,M,TRO,26604083,1031990-2,"Syn. Fil.","157","157","1806"
tro-26600016,P,Anemiaceae,,Anemia,,"affinis",,"","Baker",Accepted,,M,TRO,26600016,17020090-1,"Syn. Fil. (ed. 2)","525","525","1874"
ifn-47784,P,Anemiaceae,,Anemia,,"alfredi-rohrii",,"","Brade",Unresolved,,L,IPNI,13229-2,13229-2,"Bradea","1(3): 28, fig","","1970"
tro-26616996,P,Anemiaceae,,Anemia,,"alternifolia",,"","Mickel",Unresolved,,L,TRO,26616996,13230-2,"Brittonia","33(3): 424, f. 3C","424","1981"
tro-26615064,P,Anemiaceae,,Anemia,,"angolensis",,"","Alston",Unresolved,,L,TRO,26615064,17369040-1,"Contr. Conhecimento Fl. Mocambique","2: 9, t. 2, 3a","9","1954"
tro-26609861,P,Anemiaceae,,Anemia,,"antrorsa",,"","Mickel",Accepted,,M,TRO,26609861,272136-2,"Amer. Fern J.","75: 33","33","1985"
tro-26619791,P,Anemiaceae,,Anemia,,"aspera",,"","(Fée) Baker",Accepted,,M,TRO,26619791,17020120-1,"J. Linn. Soc., Bot.","14: 27","27","1873"
tro-50314223,P,Anemiaceae,,Anemia,,"australis",,"","(Mickel) M. Kessler & A.R. Sm.",Accepted,,M,TRO,50314223,77087339-1,"Brittonia","59: 196","196","2007"
tro-26609862,P,Anemiaceae,,Anemia,,"ayacuchensis",,"","Mickel",Accepted,,M,TRO,26609862,272137-2,"Amer. Fern J.","75: 36","36","1985"
ifn-82752,P,Anemiaceae,,Anemia,,"barbatula",,"","Christ",Unresolved,,L,IPNI,17238210-1,17238210-1,"Denkschr. Akad. Wien","79. 48. 1907","","1907"
tro-26608312,P,Anemiaceae,,Anemia,,"bartlettii",,"","Mickel",Accepted,,M,TRO,26608312,13237-2,"Iowa State J. Sci.","36(4): 420, t. 26, f. B","420","1962"
ifn-47801,P,Anemiaceae,,Anemia,,"blackii",,"","Brade",Unresolved,,L,IPNI,13238-2,13238-2,"Arch. Jard. Bot. Rio de Janeiro","18: 25","","1965"
tro-26616255,P,Anemiaceae,,Anemia,,"blechnoides",,"","Sm.",Accepted,,M,TRO,26616255,17523180-1,"Cycl.","39(1): Anemia n. 3","Anemia n. 3","1818"
tro-26619781,P,Anemiaceae,,Anemia,,"brandegeea",,"","Davenp.",Accepted,,M,TRO,26619781,13239-2,"Fern Bull.","13: 20, t. 17, f. A","20","1905"
tro-50007833,P,Anemiaceae,,Anemia,,"breuteliana",,"","C. Presl",Unresolved,,L,TRO,50007833,17020170-1,"Suppl. Tent. Pterid.","90","90","1845"
