ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2626140,A,Aquifoliaceae,,Ageria,,"mucronata",,"","Raf.",Unresolved,,L,WCSP (in review),758484,82979-1,"Sylva Tellur.","47","","1838"
kew-2626143,A,Aquifoliaceae,,Ageria,,"ovalis",,"","Raf.",Unresolved,,L,WCSP (in review),758487,82982-1,"Sylva Tellur.","48","","1838"
kew-2626146,A,Aquifoliaceae,,Ageria,,"uniflora",,"","Raf.",Unresolved,,L,WCSP (in review),758490,82985-1,"Sylva Tellur.","47","","1838"
kew-2651059,A,Aquifoliaceae,,Arinemia,,"lanceolata",,"","Raf.",Unresolved,,L,WCSP (in review),783115,82996-1,"Sylva Tellur.","49","","1838"
kew-2789402,A,Aquifoliaceae,,Ennepta,,"myricoides",,"","Raf.",Unresolved,,L,WCSP (in review),917230,83009-1,"Sylva Tellur.","52","","1838"
kew-2849001,A,Aquifoliaceae,,Hexotria,,"lanceolata",,"","Raf.",Unresolved,,L,WCSP (in review),976216,83010-1,"Amer. Monthly Mag. & Crit. Rev.","4: 265","","1818"
kew-2860300,A,Aquifoliaceae,,Ilex,,"abscondita",,"","Steyerm.",Accepted,,M,WCSP (in review),987019,278759-2,"Ann. Missouri Bot. Gard.","75: 320","","1988"
tro-50000892,A,Aquifoliaceae,,Ilex,,"aculeolata",,"","Nakai",Accepted,,M,TRO,50000892,83013-1,"Bot. Mag. (Tokyo)","44(517): 13","13","1930"
kew-2860308,A,Aquifoliaceae,,Ilex,,"acutidenticulata",,"","Steyerm.",Accepted,,M,WCSP (in review),987027,278760-2,"Ann. Missouri Bot. Gard.","75: 321","","1988"
tro-2000008,A,Aquifoliaceae,,Ilex,,"aequitoriensis",,"","Loes.",Unresolved,,L,TRO,2000008,,"","","",""
kew-2860309,A,Aquifoliaceae,,Ilex,,"aestivalis",,"","Lam.",Unresolved,,L,WCSP (in review),987028,83017-1,"Encycl.","3: 147","","1789"
kew-2860310,A,Aquifoliaceae,,Ilex,,"affinis",,"","Gardner",Accepted,,M,WCSP (in review),987029,83018-1,"Hooker's Icon. Pl.","5: t. 465","","1842"
tro-2000011,A,Aquifoliaceae,,Ilex,,"aggregata",,"","(Ruiz & Pav.) Loes.",Accepted,,M,TRO,2000011,127660-2,"Notizbl. Bot. Gart. Berlin-Dahlem","11: 95","95","1931"
kew-2860321,A,Aquifoliaceae,,Ilex,,"alainii",,"","T.R.Dudley",Unresolved,Illegitimate,L,WCSP (in review),987040,997218-1,"Hollies, The Genus Ilex","154","","1997"
kew-2860323,A,Aquifoliaceae,,Ilex,,"altiplana",,"","Steyerm.",Accepted,,M,WCSP (in review),987042,278761-2,"Ann. Missouri Bot. Gard.","75: 321","","1988"
kew-2860324,A,Aquifoliaceae,,Ilex,,"amara",,"","Bonpl. ex Miers",Unresolved,,L,WCSP (in review),987043,83021-1,"Ann. Mag. Nat. Hist.","III, 8: 395","","1861"
kew-2860326,A,Aquifoliaceae,,Ilex,,"amara",,"","Loes.",Unresolved,,L,WCSP (in review),987045,83023-1,"Nova Acta Acad. Caes. Leop.-Carol. German. Nat. Cur.","78: 457","","1901"
kew-2860340,A,Aquifoliaceae,,Ilex,,"amazonensis",,"","Edwin",Accepted,,M,WCSP (in review),987059,127674-2,"Mem. New York Bot. Gard.","12(3): 133","","1965"
tro-2000014,A,Aquifoliaceae,,Ilex,,"ambigua",,"","(Michx.) Torr.",Accepted,,M,TRO,2000014,83025-1,"Fl. New York","2: 2","2","1843"
tro-50124093,A,Aquifoliaceae,,Ilex,,"ambigua",f.,"mollis","(A. Gray) H.E. Ahles",Accepted,,L,TRO,50124093,127681-2,"J. Elisha Mitchell Sci. Soc.","80(2): 173","173","1964"
tro-2000454,A,Aquifoliaceae,,Ilex,,"ambigua",var.,"monticola","(A. Gray) Wunderlin & Poppleton",Accepted,,L,TRO,2000454,127682-2,"Florida Sci.","40(1): 10","10","1977"
tro-2000016,A,Aquifoliaceae,,Ilex,,"amboroica",,"","Loes.",Accepted,,M,TRO,2000016,127683-2,"Repert. Spec. Nov. Regni Veg.","7: 61","61","1909"
tro-2000310,A,Aquifoliaceae,,Ilex,,"amelanchier",,"","M.A. Curtis ex Chapm.",Accepted,,M,TRO,2000310,83029-1,"Fl. South. U.S.","270","270","1860"
tro-2000324,A,Aquifoliaceae,,Ilex,,"ampla",,"","I.M. Johnst.",Accepted,,M,TRO,2000324,127684-2,"J. Arnold Arbor.","19(2): 123","123","1938"
tro-2000017,A,Aquifoliaceae,,Ilex,,"amplifolia",,"","Rusby",Accepted,,M,TRO,2000017,127685-2,"Mem. Torrey Bot. Club","6: 20","20","1896"
tro-2000019,A,Aquifoliaceae,,Ilex,,"amygdalina",,"","Reissek ex Loes.",Accepted,,M,TRO,2000019,,"Nov. Actorum Acad. Caes. Leop.-Carol. German. Nat. Cur.","1: 299","299","1901"
kew-2860362,A,Aquifoliaceae,,Ilex,,"andersonii",,"","Pasq.",Unresolved,,L,WCSP (in review),987081,83034-1,"Cat. Ort. Bot. Napoli","55","","1867"
tro-2000022,A,Aquifoliaceae,,Ilex,,"andicola",,"","Loes.",Accepted,,M,TRO,2000022,127690-2,"Nova Acta Acad. Caes. Leop.-Carol. German. Nat. Cur.","1: 161","161","1901"
tro-2000523,A,Aquifoliaceae,,Ilex,,"angulata",,"","Merr. & Chun",Accepted,,M,TRO,2000523,,"Sunyatsenia","2(3–4): 266–267, f. 30","266","1935"
tro-2000023,A,Aquifoliaceae,,Ilex,,"angustissima",,"","Reissek",Accepted,,M,TRO,2000023,,"","","",""
kew-2860369,A,Aquifoliaceae,,Ilex,,"annamensis",,"","Tardieu",Unresolved,,L,WCSP (in review),987088,83041-1,"Notul. Syst. (Paris)","12: 117","","1945"
tro-2000024,A,Aquifoliaceae,,Ilex,,"anodonta",,"","Standl. & Steyerm.",Accepted,,M,TRO,2000024,127692-2,"Publ. Field Mus. Nat. Hist., Bot. Ser.","22(4): 245","245","1940"
kew-2860371,A,Aquifoliaceae,,Ilex,,"anomala",,"","Hook. & Arn.",Accepted,,M,WCSP (in review),987090,83043-1,"Bot. Beechey Voy.","111","","1832"
tro-2000248,A,Aquifoliaceae,,Ilex,,"anonoides",,"","Loesner",Accepted,,M,TRO,2000248,,"Nov. Act. Acad. Caes. Leop.-Carol. Germ. Nat. Cur.","1: 164","164","1901"
kew-2860373,A,Aquifoliaceae,,Ilex,,"antonii",,"","Elmer",Unresolved,,L,WCSP (in review),987092,83045-1,"Leafl. Philipp. Bot.","5: 1666","","1913"
kew-2860374,A,Aquifoliaceae,,Ilex,,"apicidens",,"","N.E.Br.",Accepted,,M,WCSP (in review),987093,83046-1,"Trans. Linn. Soc. London, Bot.","6: 22","","1901"
