ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35168833,B,Bartramiaceae,,Anacolia,,"aurescens",,"","(Dixon) Z. Iwats.",Accepted,,M,TRO,35168833,,"J. Hattori Bot. Lab.","32: 278","278","1969"
tro-35183513,B,Bartramiaceae,,Anacolia,,"breutelii",,"","(Schimp. ex Müll. Hal.) Magill",Accepted,,M,TRO,35183513,,"Fl. S. Africa, Bryophyta","2: 411","411","1987"
tro-35183514,B,Bartramiaceae,,Anacolia,,"breutelii",var.,"squarrifolia","(Sim) Magill",Accepted,,L,TRO,35183514,,"Fl. S. Africa, Bryophyta","2: 412","412","1987"
tro-35103516,B,Bartramiaceae,,Anacolia,,"cameruniae",,"","Dixon",Accepted,,M,TRO,35103516,,"Ann. Bryol.","6: 25","25","1933"
tro-35183794,B,Bartramiaceae,,Anacolia,,"campylopus",,"","(Schimp.) Fransén",Accepted,,M,TRO,35183794,,"Lindbergia","14: 31","31","1988"
tro-35103517,B,Bartramiaceae,,Anacolia,,"didymocarpa",,"","(Schimp. ex Müll. Hal.) Paris",Accepted,,M,TRO,35103517,,"Index Bryol. Suppl.","8","8","1900"
tro-35103518,B,Bartramiaceae,,Anacolia,,"intertexta",,"","(Besch.) Paris",Accepted,,M,TRO,35103518,,"Index Bryol.","27","27","1894"
tro-35103521,B,Bartramiaceae,,Anacolia,,"laevisphaera",,"","(Taylor) Flowers",Accepted,,M,TRO,35103521,,"Moss Fl. N. Amer.","2: 155","155","1935"
tro-35103524,B,Bartramiaceae,,Anacolia,,"menziesii",,"","(Turner) Paris",Accepted,,M,TRO,35103524,,"Index Bryol.","27","27","1894"
tro-35103525,B,Bartramiaceae,,Anacolia,,"menziesii",var.,"baueri","(Hampe) Paris",Accepted,,L,TRO,35103525,,"Index Bryol.","27","27","1894"
tro-35103528,B,Bartramiaceae,,Anacolia,,"scioana",,"","(Brizi) Broth.",Accepted,,M,TRO,35103528,,"Nat. Pflanzenfam. (ed. 2)","10: 450","450","1924"
tro-35103529,B,Bartramiaceae,,Anacolia,,"setifolia",,"","(Hook. & Arn.) Paris",Accepted,,M,TRO,35103529,,"Index Bryol.","27","27","1894"
tro-35103530,B,Bartramiaceae,,Anacolia,,"sinensis",,"","Broth.",Accepted,,M,TRO,35103530,,"Akad. Wiss. Wien Sitzungsber., Math.-Naturwiss. Kl., Abt. 1,","133: 570","570","1924"
tro-35103531,B,Bartramiaceae,,Anacolia,,"subsessilis",,"","(Taylor) Broth.",Accepted,,M,TRO,35103531,,"Nat. Pflanzenfam.","I(3): 634. 477","634","1904"
tro-35103535,B,Bartramiaceae,,Anacolia,,"webbii",,"","(Mont.) Schimp.",Accepted,,M,TRO,35103535,,"Syn. Musc. Eur. (ed. 2)","513","513","1876"
tro-35111701,B,Bartramiaceae,,Bartramia,,"abyssinica",,"","Müll. Hal.",Accepted,,M,TRO,35111701,,"Syn. Musc. Frond.","1: 506","506","1849"
tro-35111703,B,Bartramiaceae,,Bartramia,,"acicularis",,"","Müll. Hal.",Accepted,,M,TRO,35111703,,"Int. Polarforsch., Deutsch. Exped.","2: 307","307","1890"
tro-35111704,B,Bartramiaceae,,Bartramia,,"aciphylla",,"","Wilson",Accepted,,M,TRO,35111704,,"Hooker's J. Bot. Kew Gard. Misc.","3: 356","356","1851"
tro-35111705,B,Bartramiaceae,,Bartramia,,"acutissima",,"","Müll. Hal.",Accepted,,M,TRO,35111705,,"Linnaea","43: 416","416","1882"
tro-35111706,B,Bartramiaceae,,Bartramia,,"adpressa",,"","(Fergusson) Hobk.",Accepted,,M,TRO,35111706,,"Syn. Brit. Mosses","130","130","1873"
tro-35111709,B,Bartramiaceae,,Bartramia,,"affinis",,"","Hook.",Accepted,,M,TRO,35111709,,"Musci Exot.","2: 16. pl. 176","16","1820"
tro-35111721,B,Bartramiaceae,,Bartramia,,"alaris",,"","Dixon & Sainsbury",Accepted,,M,TRO,35111721,,"J. Bot.","71: 221","221","1933"
tro-35111726,B,Bartramiaceae,,Bartramia,,"ambigua",,"","Mont.",Accepted,,M,TRO,35111726,,"Ann. Sci. Nat., Bot., sér. 3,","4: 103","103","1845"
tro-35111731,B,Bartramiaceae,,Bartramia,,"andina",,"","Mitt.",Accepted,,M,TRO,35111731,,"J. Linn. Soc., Bot.","12: 261","261","1869"
tro-35111733,B,Bartramiaceae,,Bartramia,,"angularis",,"","(Müll. Hal.) Müll. Hal.",Accepted,,M,TRO,35111733,,"Nuovo Giorn. Bot. Ital., n.s.,","4: 250","250","1897"
tro-35111734,B,Bartramiaceae,,Bartramia,,"angulata",,"","Taylor",Accepted,,M,TRO,35111734,,"London J. Bot.","5: 55","55","1846"
