ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2617401,A,Berberidaceae,,Achlys,,"japonica",,"","Maxim.",Accepted,,M,WCSP (in review),749783,106369-1,"Bull. Acad. Imp. Sci. Saint-Pétersbourg","III, 12: 61","","1868"
kew-2617402,A,Berberidaceae,,Achlys,,"triphylla",,"","DC.",Accepted,,M,WCSP (in review),749784,106370-1,"Syst. Nat.","2: 35","","1821"
kew-2617403,A,Berberidaceae,,Achlys,,"triphylla",subsp.,"californica","(Fukuda & H.Baker) Brayshaw",Accepted,,L,WCSP (in review),749785,,"Royal Brit. Columb. Mus. Mem.","1: 179","","1989"
kew-2673364,A,Berberidaceae,,Berberis,,"actinacantha",,"","Mart. ex Schult. & Schult.f.",Accepted,,M,WCSP (in review),805196,106382-1,"Syst. Veg.","7: 12","","1829"
kew-2673371,A,Berberidaceae,,Berberis,,"acuminata",,"","Franch.",Accepted,,M,WCSP (in review),805203,106383-1,"Bull. Soc. Bot. France","33: 387","","1886"
kew-2673373,A,Berberidaceae,,Berberis,,"acutifolia",,"","Prantl",Unresolved,,L,WCSP (in review),805205,106384-1,"Index Seminum (WB)","1873: 7","","1873"
kew-2673374,A,Berberidaceae,,Berberis,,"acutinervia",,"","L.A.Camargo",Accepted,,M,WCSP (in review),805206,31326-2,"Caldasia","9: 315","","1966"
kew-2673375,A,Berberidaceae,,Berberis,,"aemulans",,"","C.K.Schneid.",Accepted,,M,WCSP (in review),805207,106386-1,"Pl. Wilson.","3: 435","","1917"
kew-2673377,A,Berberidaceae,,Berberis,,"aetnensis",,"","C.Presl",Accepted,,M,WCSP (in review),805209,106389-1,"Fl. Sicul.","28","","1826"
kew-2673379,A,Berberidaceae,,Berberis,,"affinis",,"","G.Don",Accepted,,M,WCSP (in review),805211,106390-1,"Gen. Hist.","1: 115","","1831"
kew-2673380,A,Berberidaceae,,Berberis,,"afghanica",,"","C.K.Schneid.",Accepted,,M,WCSP (in review),805212,,"Bull. Herb. Boissier","II, 5: 455","","1905"
kew-2673382,A,Berberidaceae,,Berberis,,"agapatensis",,"","Lechl.",Accepted,,M,WCSP (in review),805214,106393-1,"Berberid. Amer. Austral.","44","","1857"
kew-2673383,A,Berberidaceae,,Berberis,,"aggregata",,"","C.K.Schneid.",Accepted,,M,WCSP (in review),805215,106394-1,"Bull. Herb. Boissier","II, 8: 203","","1908"
kew-2673387,A,Berberidaceae,,Berberis,,"agricola",,"","Ahrendt",Accepted,,M,WCSP (in review),805219,106395-1,"J. Linn. Soc., Bot.","57: 192","","1961"
kew-2673388,A,Berberidaceae,,Berberis,,"ahrendtii",,"","R.R.Rao & Uniyal",Accepted,,M,WCSP (in review),805220,940829-1,"Indian J. Forest.","8: 334","","1985 publ. 1986"
kew-2673389,A,Berberidaceae,,Berberis,,"aitchisonii",,"","Ahrendt",Accepted,,M,WCSP (in review),805221,106396-1,"J. Roy. Asiat. Soc. Bengal","11: 4","","1945"
kew-2673391,A,Berberidaceae,,Berberis,,"albicans",,"","Zamudio & Marroq.",Accepted,,M,WCSP (in review),805223,273232-2,"S. W. Naturalist","32: 483","","1987"
kew-2673392,A,Berberidaceae,,Berberis,,"aldenhamensis",,"","Ahrendt",Accepted,,M,WCSP (in review),805224,,"Gard. Ill.","1946(Dec.): 21","","1946"
kew-2673394,A,Berberidaceae,,Berberis,,"alpicola",,"","C.K.Schneid.",Accepted,,M,WCSP (in review),805226,106399-1,"Repert. Spec. Nov. Regni Veg.","46: 253","","1939"
kew-2895585,A,Berberidaceae,,Berberis,,"alpina",,"","Zamudio",Accepted,,M,WCSP (in review),1018545,77101403-1,"Acta Bot. Mex.","87: 44","","2009"
kew-2673396,A,Berberidaceae,,Berberis,,"amabilis",,"","C.K.Schneid.",Accepted,,M,WCSP (in review),805228,106401-1,"Repert. Spec. Nov. Regni Veg.","46: 257","","1939"
kew-2673398,A,Berberidaceae,,Berberis,,"ambigua",,"","Ahrendt",Accepted,,M,WCSP (in review),805230,106402-1,"J. Bot.","79(Suppl.): 60","","1941"
kew-2673399,A,Berberidaceae,,Berberis,,"ambrozyana",,"","C.K.Schneid.",Accepted,,M,WCSP (in review),805231,106403-1,"Pl. Wilson.","1: 356","","1913"
kew-2673400,A,Berberidaceae,,Berberis,,"amoena",,"","Dunn",Accepted,,M,WCSP (in review),805232,982160-1,"J. Linn. Soc., Bot.","39: 422","","1911"
kew-2673403,A,Berberidaceae,,Berberis,,"amplectens",,"","(Eastw.) Wheeler",Unresolved,,L,WCSP (in review),805235,106404-1,"Rhodora","39: 376","","1937"
kew-2673404,A,Berberidaceae,,Berberis,,"amurensis",,"","Rupr.",Accepted,,M,WCSP (in review),805236,106405-1,"Bull. Cl. Phys.-Math. Acad. Imp. Sci. Saint-Pétersbourg","15: 260","","1857"
kew-2673409,A,Berberidaceae,,Berberis,,"andeana",,"","Job",Accepted,,M,WCSP (in review),805241,31327-2,"Lilloa","17: 81","","1949"
kew-2673410,A,Berberidaceae,,Berberis,,"andreana",,"","Naudin",Accepted,,M,WCSP (in review),805242,31328-2,"Rev. Hort.","71: 9","","1899"
kew-2673413,A,Berberidaceae,,Berberis,,"angulosa",,"","Wall. ex Hook.f. & Thomson",Accepted,,M,WCSP (in review),805245,60447753-2,"Fl. Ind.","1: 227","","1855"
