ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2647085,A,Bonnetiaceae,,Archytaea,,"alternifolia",,"","Szyszył.",Unresolved,,L,WCSP (in review),779150,828462-1,"Nat. Pflanzenfam.","3(6): 181","","1893"
kew-2647086,A,Bonnetiaceae,,Archytaea,,"angustifolia",,"","Maguire",Accepted,,M,WCSP (in review),779151,17684-2,"Mem. New York Bot. Gard.","23: 137","","1972"
kew-2647090,A,Bonnetiaceae,,Archytaea,,"triflora",,"","Mart.",Accepted,,M,WCSP (in review),779155,828466-1,"Nov. Gen. Sp. Pl.","1: 117","","1824"
kew-2647091,A,Bonnetiaceae,,Archytaea,,"vahlii",,"","Choisy",Unresolved,,L,WCSP (in review),779156,828467-1,"Mém. Soc. Phys. Genève","14: 163","","1855"
kew-2679481,A,Bonnetiaceae,,Bonnetia,,"ahogadoi",,"","(Steyerm.) A.L.Weitzman & P.F.Stevens",Accepted,,M,WCSP (in review),811206,997731-1,"BioLlania, Ed. Espec.","6: 559","","1997"
kew-2679482,A,Bonnetiaceae,,Bonnetia,,"anceps",,"","Mart. & Zucc.",Accepted,,M,WCSP (in review),811207,828480-1,"Nov. Gen. Sp. Pl.","1: 115","","1826"
kew-2679484,A,Bonnetiaceae,,Bonnetia,,"bahiensis",,"","Turcz.",Accepted,,M,WCSP (in review),811209,828481-1,"Bull. Soc. Imp. Naturalistes Moscou","31(1): 246","","1858"
kew-2679485,A,Bonnetiaceae,,Bonnetia,,"bolivarensis",,"","Steyerm.",Accepted,,M,WCSP (in review),811210,273384-2,"Ann. Missouri Bot. Gard.","74: 102","","1987"
kew-2679486,A,Bonnetiaceae,,Bonnetia,,"celiae",,"","Maguire",Accepted,,M,WCSP (in review),811211,34752-2,"Mem. New York Bot. Gard.","23: 143","","1972"
kew-2679487,A,Bonnetiaceae,,Bonnetia,,"chimantensis",,"","Steyerm.",Accepted,,M,WCSP (in review),811212,273385-2,"Ann. Missouri Bot. Gard.","71: 326","","1984"
kew-2679489,A,Bonnetiaceae,,Bonnetia,,"cordifolia",,"","Maguire",Accepted,,M,WCSP (in review),811214,34753-2,"Bol. Soc. Venez. Ci. Nat.","32(132-133): 357","","1976"
kew-2679491,A,Bonnetiaceae,,Bonnetia,,"corymbosa",,"","Spreng.",Unresolved,,L,WCSP (in review),811216,828483-1,"Syst. Veg.","4(2): 207","","1827"
kew-2679492,A,Bonnetiaceae,,Bonnetia,,"crassa",,"","Gleason",Accepted,,M,WCSP (in review),811217,34754-2,"Bull. Torrey Bot. Club","58: 395","","1931"
kew-2679493,A,Bonnetiaceae,,Bonnetia,,"cubensis",,"","(Britton) Howard",Accepted,,M,WCSP (in review),811218,,"J. Arnold Arbor.","28: 125","","1947"
kew-2679496,A,Bonnetiaceae,,Bonnetia,,"euryanthera",,"","Steyerm.",Accepted,,M,WCSP (in review),811221,273387-2,"Ann. Missouri Bot. Gard.","74: 647","","1987"
kew-2679497,A,Bonnetiaceae,,Bonnetia,,"fasciculata",,"","P.F.Stevens & A.L.Weitzman",Accepted,,M,WCSP (in review),811222,997732-1,"BioLlania, Ed. Espec.","6: 559","","1997"
kew-2679499,A,Bonnetiaceae,,Bonnetia,,"holostyla",,"","Huber",Accepted,,M,WCSP (in review),811224,34758-2,"Bol. Mus. Goeldi Hist. Nat. Ethnogr.","7: 301","","1913"
kew-2679500,A,Bonnetiaceae,,Bonnetia,,"huberiana",,"","Steyerm.",Accepted,,M,WCSP (in review),811225,273390-2,"Ann. Missouri Bot. Gard.","71: 326","","1984"
kew-2679501,A,Bonnetiaceae,,Bonnetia,,"jauaensis",,"","Maguire",Accepted,,M,WCSP (in review),811226,34759-2,"Bol. Soc. Venez. Ci. Nat.","32(132-133): 358","","1976"
tro-31600307,A,Bonnetiaceae,,Bonnetia,,"kathleenae",,"","Lasser",Accepted,,M,TRO,31600307,34760-2,"Bol. Soc. Venez. Ci. Nat.","10: 327","327","1946"
kew-2679502,A,Bonnetiaceae,,Bonnetia,,"katleeniae",,"","Lasser",Accepted,,M,WCSP (in review),811227,,"Bol. Soc. Venez. Ci. Nat.","10: 327","","1946"
kew-2679503,A,Bonnetiaceae,,Bonnetia,,"lanceifolia",,"","Kobuski",Accepted,,M,WCSP (in review),811228,34761-2,"J. Arnold Arbor.","29: 412","","1948"
kew-2679504,A,Bonnetiaceae,,Bonnetia,,"liesneri",,"","Steyerm.",Accepted,,M,WCSP (in review),811229,273391-2,"Ann. Missouri Bot. Gard.","76: 969","","1989"
kew-2679506,A,Bonnetiaceae,,Bonnetia,,"maguireorum",,"","Steyerm.",Accepted,,M,WCSP (in review),811231,907635-1,"Ann. Missouri Bot. Gard.","71: 330","","1984"
kew-2679509,A,Bonnetiaceae,,Bonnetia,,"meridionalis",,"","Sw.",Unresolved,Illegitimate,L,WCSP (in review),811234,828484-1,"Fl. Ind. Occid.","2: 967","","1800"
kew-2679510,A,Bonnetiaceae,,Bonnetia,,"multinervia",,"","(Maguire) Steyerm.",Accepted,,M,WCSP (in review),811235,913759-1,"Ann. Missouri Bot. Gard.","71: 330","","1984"
kew-2679511,A,Bonnetiaceae,,Bonnetia,,"neblinae",,"","Maguire",Accepted,,M,WCSP (in review),811236,34765-2,"Mem. New York Bot. Gard.","23: 148","","1972"
kew-2679513,A,Bonnetiaceae,,Bonnetia,,"palustris",,"","(Aubl.) J.F.Gmel.",Unresolved,,L,WCSP (in review),811238,828485-1,"Syst. Nat.","814","","1791"
kew-2679514,A,Bonnetiaceae,,Bonnetia,,"paniculata",,"","Spruce ex Benth.",Accepted,,M,WCSP (in review),811239,828487-1,"J. Proc. Linn. Soc., Bot.","5: 63","","1861"
kew-2679518,A,Bonnetiaceae,,Bonnetia,,"petiolaris",,"","Spreng.",Unresolved,,L,WCSP (in review),811243,828489-1,"Syst. Veg.","4(2): 207","","1827"
kew-2679520,A,Bonnetiaceae,,Bonnetia,,"ptariensis",,"","Steyerm.",Accepted,,M,WCSP (in review),811245,273398-2,"Ann. Missouri Bot. Gard.","74: 102","","1987"
kew-2679521,A,Bonnetiaceae,,Bonnetia,,"racemosa",,"","Sw.",Unresolved,,L,WCSP (in review),811246,828490-1,"Fl. Ind. Occid.","2: 965","","1800"
kew-2679522,A,Bonnetiaceae,,Bonnetia,,"roraimae",,"","Oliveri",Accepted,,M,WCSP (in review),811247,,"Trans. Linn. Soc. London, Bot.","2: 272","","1887"
tro-31600317,A,Bonnetiaceae,,Bonnetia,,"roraimae",,"","Oliv.",Unresolved,,L,TRO,31600317,34771-2,"Timehri","5: 190","190","1886"
kew-2679523,A,Bonnetiaceae,,Bonnetia,,"rosea",,"","Spreng.",Unresolved,,L,WCSP (in review),811248,828492-1,"Syst. Veg.","4(2): 207","","1827"
kew-2679524,A,Bonnetiaceae,,Bonnetia,,"roseiflora",,"","Maguire",Accepted,,M,WCSP (in review),811249,34772-2,"Mem. New York Bot. Gard.","23: 145","","1972"
kew-2679525,A,Bonnetiaceae,,Bonnetia,,"rubicunda",,"","(Sastre) A.L.Weitzman & P.F.Stevens",Accepted,,M,WCSP (in review),811250,1073801-2,"BioLlania, Ed. Espec.","6: 558","","1997"
kew-2679526,A,Bonnetiaceae,,Bonnetia,,"sessilis",,"","Benth.",Accepted,,M,WCSP (in review),811251,828493-1,"London J. Bot.","2: 363","","1843"
kew-2679527,A,Bonnetiaceae,,Bonnetia,,"steyermarkii",,"","Kobuski",Accepted,,M,WCSP (in review),811252,34774-2,"J. Arnold Arbor.","29: 402","","1948"
kew-2679528,A,Bonnetiaceae,,Bonnetia,,"stricta",,"","Mart.",Accepted,,M,WCSP (in review),811253,,"Nova Acta Phys.-Med. Acad. Caes. Leop.-Carol. Nat. Cur.","12: 87","","1825"
tro-31600308,A,Bonnetiaceae,,Bonnetia,,"stricta",,"","(Nees) Nees & Mart.",Unresolved,,L,TRO,31600308,34775-2,"Nova Acta Phys.-Med. Acad. Caes. Leop.-Carol. Nat. Cur.","12(1): 37, pl. 6","37","1824"
kew-2679529,A,Bonnetiaceae,,Bonnetia,,"tepuiensis",,"","Kobuski & Steyerm.",Accepted,,M,WCSP (in review),811254,34776-2,"J. Arnold Arbor.","29: 399","","1948"
kew-2679533,A,Bonnetiaceae,,Bonnetia,,"tristyla",,"","Gleason",Accepted,,M,WCSP (in review),811258,34777-2,"Bull. Torrey Bot. Club","58: 396","","1931"
kew-2679535,A,Bonnetiaceae,,Bonnetia,,"variabilis",,"","Spreng.",Unresolved,,L,WCSP (in review),811260,828496-1,"Syst. Veg.","4(2): 207","","1827"
kew-2679536,A,Bonnetiaceae,,Bonnetia,,"venulosa",,"","Mart. & Zucc.",Accepted,,M,WCSP (in review),811261,828497-1,"Nov. Gen. Sp. Pl.","1: 115","","1826"
kew-2679537,A,Bonnetiaceae,,Bonnetia,,"wurdackii",,"","Maguire",Accepted,,M,WCSP (in review),811262,34779-2,"Mem. New York Bot. Gard.","23: 147","","1972"
tro-100363294,A,Bonnetiaceae,,Ploiarium,,"alternifolium",,"","(Vahl) Melch.",Accepted,,M,TRO,100363294,830392-1,"Nat. Pflanzenfam. (ed. 2)","21: 151","151","1925"
tro-100354812,A,Bonnetiaceae,,Ploiarium,,"elegans",,"","Korth.",Unresolved,,L,TRO,100354812,829220-1,"Verh. Nat. Gesch. Ned. Bezitt., Bot.","135, t. 25","135","1842"
