ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2617978,A,Calyceraceae,,Acicarpha,,"bonariensis",,"","(Pers.) Herter",Accepted,,M,WCSP (in review),750358,139262-1,"Revista Sudamer. Bot.","7: 233","","1943"
kew-2617981,A,Calyceraceae,,Acicarpha,,"lanata",,"","Lag. ex Pers.",Accepted,,M,WCSP (in review),750361,139265-1,"Syn. Pl.","2: 488","","1807"
kew-2617985,A,Calyceraceae,,Acicarpha,,"procumbens",,"","Less.",Accepted,,M,WCSP (in review),750365,139268-1,"Linnaea","6: 527","","1831"
kew-2617989,A,Calyceraceae,,Acicarpha,,"runcinata",,"","Miers",Accepted,,M,WCSP (in review),750369,139270-1,"Ann. Mag. Nat. Hist.","III, 6: 404","","1860"
kew-2617993,A,Calyceraceae,,Acicarpha,,"tribuloides",,"","Juss.",Accepted,,M,WCSP (in review),750373,139272-1,"Ann. Mus. Natl. Hist. Nat.","2: 348","","1803"
kew-2641286,A,Calyceraceae,,Anomocarpus,,"tenuis",,"","Miers",Unresolved,,L,WCSP (in review),773390,,"Ann. Mag. Nat. Hist.","III, 6: 356","","1860"
kew-2679577,A,Calyceraceae,,Boopis,,"andicola",,"","Gand.",Accepted,,M,WCSP (in review),811302,34796-2,"Bull. Soc. Bot. France","59: 710","","1912 publ. 1913"
kew-2679578,A,Calyceraceae,,Boopis,,"anthemoides",,"","Juss.",Accepted,,M,WCSP (in review),811303,139286-1,"Ann. Mus. Natl. Hist. Nat.","2: 350","","1803"
kew-2679583,A,Calyceraceae,,Boopis,,"australis",,"","Decne.",Accepted,,M,WCSP (in review),811308,139288-1,"Voy. Pôle Sud","2: 87","","1853"
kew-2679584,A,Calyceraceae,,Boopis,,"australis",,"","Phil.",Unresolved,,L,WCSP (in review),811309,139289-1,"Anales Univ. Chile","85: 818","","1894"
kew-2679588,A,Calyceraceae,,Boopis,,"balsamitifolia",,"","Juss.",Unresolved,,L,WCSP (in review),811313,139290-1,"Ann. Mus. Natl. Hist. Nat.","2: 350","","1803"
kew-2679592,A,Calyceraceae,,Boopis,,"breviscapa",,"","Phil.",Accepted,,M,WCSP (in review),811317,34806-2,"Anales Univ. Chile","85: 818","","1894"
kew-2679593,A,Calyceraceae,,Boopis,,"bupleuroides",,"","C.A.Mull.",Accepted,,M,WCSP (in review),811318,,"Fl. Bras.","6(4): 355","","1885"
kew-2679597,A,Calyceraceae,,Boopis,,"castillonii",,"","(Hicken) Pontiroli",Accepted,,M,WCSP (in review),811322,34810-2,"Revista Mus. La Plata, Secc. Bot.","n.s., 9: 223","","1963"
kew-2679598,A,Calyceraceae,,Boopis,,"chubutensis",,"","Speg.",Accepted,,M,WCSP (in review),811323,139298-1,"Anales Mus. Nac. Buenos Aires","III, 7: 300","","1907"
kew-2679604,A,Calyceraceae,,Boopis,,"filifolia",,"","Speg.",Accepted,,M,WCSP (in review),811329,34814-2,"Anales Soc. Ci. Argent.","48: 176","","1901"
kew-2679607,A,Calyceraceae,,Boopis,,"gracilis",,"","Phil.",Accepted,,M,WCSP (in review),811332,139307-1,"Linnaea","28: 707","","1856"
kew-2679611,A,Calyceraceae,,Boopis,,"graminea",,"","Phil.",Accepted,,M,WCSP (in review),811336,139308-1,"Linnaea","28: 707","","1856"
kew-2679613,A,Calyceraceae,,Boopis,,"integrifolia",,"","Phil.",Accepted,,M,WCSP (in review),811338,34820-2,"Anales Univ. Chile","85: 814","","1894"
kew-2679614,A,Calyceraceae,,Boopis,,"itatiaiae",,"","Dusén",Accepted,,M,WCSP (in review),811339,34821-2,"Arq. Mus. Nac. Rio de Janeiro","13: 24","","1905"
