ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2609441,A,Caprifoliaceae,,Abelia,,"aitchinsonii",,"","Nakai",Unresolved,,L,WCSP (in review),742325,148178-1,"J. Jap. Bot.","13: 569","","1937"
kew-2609442,A,Caprifoliaceae,,Abelia,,"angustifolia",,"","Bureau & Franch.",Accepted,,M,WCSP (in review),742326,148179-1,"J. Bot. (Morot)","5: 47","","1891"
kew-2609443,A,Caprifoliaceae,,Abelia,,"anhwensis",,"","Nakai",Accepted,,M,WCSP (in review),742327,148180-1,"J. Jap. Bot.","13: 557","","1937"
kew-2609444,A,Caprifoliaceae,,Abelia,,"aschersoniana",,"","(Graebn.) Rehder",Accepted,,M,WCSP (in review),742328,148181-1,"Pl. Wilson.","1: 127","","1911"
kew-2609445,A,Caprifoliaceae,,Abelia,,"biflora",,"","Turcz.",Accepted,,M,WCSP (in review),742329,148182-1,"Bull. Soc. Imp. Naturalistes Moscou","10(7): 152","","1837"
kew-2609449,A,Caprifoliaceae,,Abelia,,"brachystemon",,"","(Diels) Rehder",Accepted,,M,WCSP (in review),742333,148183-1,"J. Arnold Arbor.","9: 117","","1928"
kew-2609451,A,Caprifoliaceae,,Abelia,,"buddleioides",,"","W.W.Sm.",Accepted,,M,WCSP (in review),742335,148185-1,"Notes Roy. Bot. Gard. Edinburgh","9: 75","","1916"
kew-2609452,A,Caprifoliaceae,,Abelia,,"cavaleriei",,"","H.Lév.",Accepted,,M,WCSP (in review),742336,148186-1,"Fl. Kouy-Tchéou","60","","1914"
kew-2609453,A,Caprifoliaceae,,Abelia,,"chinensis",,"","R.Br.",Accepted,,M,WCSP (in review),742337,148187-1,"Narr. Journey China","376","","1818"
kew-2609454,A,Caprifoliaceae,,Abelia,,"chowii",,"","G.Hoo",Accepted,,M,WCSP (in review),742338,148188-1,"Acta Phytotax.","1: 197","","1951"
