ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2700856,A,Caricaceae,,Carica,,"aprica",,"","V.M.Badillo",Accepted,,M,WCSP (in review),832270,150132-1,"Monogr. Caricaceae","96","","1971"
kew-2700857,A,Caricaceae,,Carica,,"augusti",,"","Harms",Accepted,,M,WCSP (in review),832271,47456-2,"Notizbl. Bot. Gart. Berlin-Dahlem","11: 280","","1931"
kew-2700858,A,Caricaceae,,Carica,,"aurantiaca",,"","W.Bull",Unresolved,,L,WCSP (in review),832272,,"J. Hort. Pract. Gard.","49: 488","","1873"
kew-2700865,A,Caricaceae,,Carica,,"candicans",,"","A.Gray",Accepted,,M,WCSP (in review),832279,674270-1,"U.S. Expl. Exped., Phan.","1: 640","","1854"
kew-2700869,A,Caricaceae,,Carica,,"chilensis",,"","(Planch. ex A.DC.) Solms",Accepted,,M,WCSP (in review),832283,150136-1,"Nat. Pflanzenfam.","3(6a): 98","","1894"
kew-2700873,A,Caricaceae,,Carica,,"cnidoscoloides",,"","Lorence & R.Torres",Accepted,,M,WCSP (in review),832287,274137-2,"Syst. Bot.","13: 107","","1988"
kew-2700874,A,Caricaceae,,Carica,,"crassipetala",,"","V.M.Badillo",Accepted,,M,WCSP (in review),832288,150139-1,"Revista Fac. Agric. Univ. Centr. Venezuela","4(2): 68","","1967"
kew-2700884,A,Caricaceae,,Carica,,"glandulosa",,"","Pav. ex A.DC.",Accepted,,M,WCSP (in review),832298,674281-1,"Prodr.","15(1): 417","","1864"
kew-2700887,A,Caricaceae,,Carica,,"goudotiana",,"","(Triana & Planch.) Solms",Accepted,,M,WCSP (in review),832301,150144-1,"Fl. Bras.","13(3): 183","","1889"
kew-2700899,A,Caricaceae,,Carica,,"horovitziana",,"","V.M.Badillo",Accepted,,M,WCSP (in review),832313,150147-1,"Revista Fac. Agric. Univ. Centr. Venezuela","4(1): 61","","1966"
tro-6100013,A,Caricaceae,,Carica,,"karstenii",,"","Solms",Unresolved,,L,TRO,6100013,,"","","",""
tro-6100014,A,Caricaceae,,Carica,,"lagerheimii",,"","Eggers",Unresolved,,L,TRO,6100014,,"","","",""
kew-2700905,A,Caricaceae,,Carica,,"longiflora",,"","V.M.Badillo",Accepted,,M,WCSP (in review),832319,150153-1,"Revista Fac. Agric. Univ. Centr. Venezuela","4(2): 72","","1967"
kew-2700914,A,Caricaceae,,Carica,,"monoica",,"","Desf.",Accepted,,M,WCSP (in review),832328,674293-1,"Ann. Mus. Natl. Hist. Nat.","1: 273","","1802"
kew-2700915,A,Caricaceae,,Carica,,"nana",,"","Benth.",Unresolved,,L,WCSP (in review),832329,674294-1,"Pl. Hartw.","288","","1849"
kew-2700916,A,Caricaceae,,Carica,,"omnilingua",,"","V.M.Badillo",Accepted,,M,WCSP (in review),832330,150155-1,"Revista Fac. Agric. Univ. Centr. Venezuela","4(2): 74","","1967"
kew-2700917,A,Caricaceae,,Carica,,"palandensis",,"","V.M.Badillo, Van den Eynden & Van Damme",Accepted,,M,WCSP (in review),832331,1014013-1,"Novon","10: 4","","2000"
kew-2700919,A,Caricaceae,,Carica,,"papaya",,"","L.",Accepted,,M,WCSP (in review),832333,30011248-2,"Sp. Pl.","1036","","1753"
kew-2700926,A,Caricaceae,,Carica,,"parviflora",,"","(A.DC.) Solms",Accepted,,M,WCSP (in review),832340,,"Fl. Bras.","13(3): 177","","1889"
kew-2700929,A,Caricaceae,,Carica,×,"pentagona",,"","Heilborn",Accepted,,M,WCSP (in review),832343,150158-1,"Ark. Bot.","17(12): 2","","1922"
kew-2700936,A,Caricaceae,,Carica,,"pulchra",,"","V.M.Badillo",Accepted,,M,WCSP (in review),832350,150162-1,"Revista Fac. Agric. Univ. Centr. Venezuela","4(2): 76","","1967"
kew-2700938,A,Caricaceae,,Carica,,"quercifolia",,"","(A.St.Hil.) Hieron.",Accepted,,M,WCSP (in review),832352,,"Bol. Acad. Nac. Ci","4: 122","","1882"
kew-2700942,A,Caricaceae,,Carica,,"scandens",,"","A.Gray",Unresolved,,L,WCSP (in review),832356,674304-1,"U.S. Expl. Exped., Phan.","1: 640","","1854"
kew-2700943,A,Caricaceae,,Carica,,"sphaerocarpa",,"","García-Barr. & Hern.Cam.",Accepted,,M,WCSP (in review),832357,47505-2,"Caldasia","8: 135","","1958"
kew-2700945,A,Caricaceae,,Carica,,"sprucei",,"","V.M.Badillo",Accepted,,M,WCSP (in review),832359,150165-1,"Revista Fac. Agric. Univ. Centr. Venezuela","4(2): 80","","1967"
kew-2700947,A,Caricaceae,,Carica,,"stipulata",,"","V.M.Badillo",Accepted,,M,WCSP (in review),832361,150167-1,"Revista Fac. Agric. Univ. Centr. Venezuela","4(1): 57","","1966"
kew-2700950,A,Caricaceae,,Carica,,"tunariensis",,"","(Kuntze) K.Schum.",Unresolved,,L,WCSP (in review),832364,47512-2,"Just's Bot. Jahresber.","26(1): 345","","1900"
tro-6100023,A,Caricaceae,,Carica,,"vanvalxenii",,"","Solms",Unresolved,,L,TRO,6100023,,"","","",""
kew-2700951,A,Caricaceae,,Carica,,"weberhaueri",,"","Harms",Accepted,,M,WCSP (in review),832365,47513-2,"Notizbl. Bot. Gart. Berlin-Dahlem","8: 94","","1922"
kew-2750309,A,Caricaceae,,Cylicomorpha,,"parviflora",,"","Urb.",Accepted,,M,WCSP (in review),880065,674359-1,"Bot. Jahrb. Syst.","30: 116","","1901"
kew-2750310,A,Caricaceae,,Cylicomorpha,,"solmsii",,"","(Urb.) Urb.",Accepted,,M,WCSP (in review),880066,674360-1,"Bot. Jahrb. Syst.","30: 115","","1901"
tro-50072009,A,Caricaceae,,Jacaratia,,"chocoensis",,"","A.H. Gentry & Forero",Accepted,,M,TRO,50072009,130967-2,"Phytologia","55(6): 370–371","370","1984"
tro-6100026,A,Caricaceae,,Jacaratia,,"corumbensis",,"","Kuntze",Accepted,,M,TRO,6100026,130968-2,"Revis. Gen. Pl.","3(3): 101","101","1898"
kew-2332946,A,Caricaceae,,Jacaratia,,"digitata",,"","(Poepp. & Endl.) Solms",Accepted,,M,WCSP (in review),472788,130970-2,"Fl. Bras.","13(3): 191","","1889"
kew-2332947,A,Caricaceae,,Jacaratia,,"dolichaula",,"","(Donn.Sm.) Woodson",Accepted,,M,WCSP (in review),472789,130973-2,"Ann. Missouri Bot. Gard.","37: 404","","1950"
tro-50157489,A,Caricaceae,,Jacaratia,,"heptaphylla",,"","(Vell.) A. DC.",Accepted,,L,TRO,50157489,,"Prodr.","15(1): 420","420","1864"
kew-2870235,A,Caricaceae,,Jacaratia,,"mexicana",,"","A.DC.",Accepted,,M,WCSP (in review),996824,,"Prodr.","15(1): 420","","1864"
kew-2870238,A,Caricaceae,,Jacaratia,,"spinosa",,"","(Aubl.) A.DC.",Accepted,,M,WCSP (in review),996827,,"Prodr.","15(1): 419","","1864"
tro-50129184,A,Caricaceae,,Jarilla,,"caudata",,"","(Brandegee) Standl.",Accepted,,L,TRO,50129184,131403-2,"Contr. U.S. Natl. Herb.","23(4): 853","853","1924"
tro-6100030,A,Caricaceae,,Jarilla,,"chocola",,"","Standl.",Accepted,,M,TRO,6100030,131404-2,"Publ. Field Mus. Nat. Hist., Bot. Ser.","17(2): 200","200","1937"
tro-50217901,A,Caricaceae,,Jarilla,,"heterophylla",,"","(Cerv. ex La Llave) Rusby",Accepted,,M,TRO,50217901,131405-2,"Torreya","21(3): 50","50","1921"
tro-50220258,A,Caricaceae,,Jarilla,,"nana",,"","(Benth.) McVaugh",Accepted,,M,TRO,50220258,20004880-1,"Fl. Novo-Galiciana","3: 475","475","2001"
kew-2332923,A,Caricaceae,,Jarrilla,,"heterophylla",,"","I.M.Johnst.",Unresolved,,L,WCSP (in review),472765,150179-1,"Contr. Gray Herb.","70: 78","","1924"
tro-6100123,A,Caricaceae,,Papaya,,"aurantiaca",,"","(Regel) Kuntze",Accepted,,M,TRO,6100123,182799-2,"Revis. Gen. Pl.","1: 253","253","1891"
tro-6100101,A,Caricaceae,,Papaya,,"cundinamarcencis",,"","Kuntze",Unresolved,,L,TRO,6100101,182805-2,"Revis. Gen. Pl.","1: 253","253","1891"
kew-2409221,A,Caricaceae,,Papaya,,"digitata",,"","Baill.",Unresolved,,L,WCSP (in review),547630,150182-1,"Traité Bot. Méd. Phan.","2: 835","","1884"
kew-2409220,A,Caricaceae,,Papaya,,"dodecaphylla",,"","Baill.",Unresolved,,L,WCSP (in review),547629,150183-1,"Traité Bot. Méd. Phan.","2: 835","","1884"
tro-6100125,A,Caricaceae,,Papaya,,"goudotiana",,"","(Triana & Planch.) Kuntze",Accepted,,M,TRO,6100125,182809-2,"Revis. Gen. Pl.","1: 253","253","1891"
tro-6100092,A,Caricaceae,,Papaya,,"paniculata",,"","(Spruce) Kuntze",Accepted,,M,TRO,6100092,182814-2,"Revis. Gen. Pl.","1: 253","253","1891"
tro-6100091,A,Caricaceae,,Papaya,,"parviflora",,"","(A. DC.) Kuntze",Accepted,,M,TRO,6100091,182815-2,"Revis. Gen. Pl.","1: 253","253","1891"
kew-2458628,A,Caricaceae,,Vasconcellea,,"cauliflora",,"","(Jacq.) A.DC.",Accepted,,M,WCSP (in review),596112,675769-1,"Prodr.","15(1): 415","","1864"
tro-50174519,A,Caricaceae,,Vasconcellea,,"glandulosa",,"","A. DC.",Accepted,,M,TRO,50174519,675772-1,"Prodr.","15(1): 417","417","1864"
tro-6100060,A,Caricaceae,,Vasconcellea,,"goudotiana",,"","Triana & Planch.",Accepted,,M,TRO,6100060,675773-1,"Ann. Sci. Nat., Bot., sér. 5,","17: 192–193","192","1873"
tro-50222199,A,Caricaceae,,Vasconcellea,,"gracilis",,"","hort. ex Regel",Unresolved,,L,TRO,50222199,,"Gartenflora","28: 258","258","1879"
kew-2456774,A,Caricaceae,,Vasconcellea,,"microcarpa",,"","(Jacq.) A.DC.",Accepted,,M,WCSP (in review),594269,675778-1,"Prodr.","15(1): 418","","1864"
kew-2456791,A,Caricaceae,,Vasconcellea,,"microcarpa",subsp.,"australis","(V.M.Badillo) V.M.Badillo",Accepted,,L,WCSP (in review),594286,1015569-1,"Ernstia","n.s., 10: 77","","2000"
kew-2456789,A,Caricaceae,,Vasconcellea,,"microcarpa",subsp.,"baccata","(Heilborn) V.M.Badillo",Accepted,,L,WCSP (in review),594284,1015567-1,"Ernstia","n.s., 10: 77","","2000"
kew-2456767,A,Caricaceae,,Vasconcellea,,"microcarpa",subsp.,"heterophylla","(Poepp. & Endl.) V.M.Badillo",Accepted,,L,WCSP (in review),594262,1015568-1,"Ernstia","n.s., 10: 77","","2000"
kew-2456768,A,Caricaceae,,Vasconcellea,,"microcarpa",subsp.,"pilifera","(V.M.Badillo) V.M.Badillo",Accepted,,L,WCSP (in review),594263,1015566-1,"Ernstia","n.s., 10: 77","","2000"
tro-6100040,A,Caricaceae,,Vasconcellea,,"parviflora",,"","A. DC.",Accepted,,M,TRO,6100040,675780-1,"Prodr.","15(1): 417","417","1864"
kew-2456766,A,Caricaceae,,Vasconcellea,,"pubescens",,"","A.DC.",Accepted,,M,WCSP (in review),594261,675782-1,"Prodr.","15(1): 419","","1864"
tro-6100067,A,Caricaceae,,Vasconcellea,,"quercifolia",,"","A. St.-Hil.",Accepted,,M,TRO,6100067,675783-1,"Deux. Mém. Réséd.","13","13","1837"
tro-50174540,A,Caricaceae,,Vasconcellea,,"weberbaueri",,"","(Harms) V.M. Badillo",Accepted,,M,TRO,50174540,1015577-1,"Ernstia","10(2): 78","78","2000"
