ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2615027,A,Caryophyllaceae,,Acanthophyllum,,"acerosum",,"","Sosn.",Accepted,,M,WCSP (in review),747432,,"V?stn. Tiflissk. Bot. Sada","11: 7","","1915"
kew-2615029,A,Caryophyllaceae,,Acanthophyllum,,"aculeatum",,"","Schischk.",Accepted,,M,WCSP (in review),747434,150210-1,"Fl. URSS","6: 895","","1936"
kew-2615030,A,Caryophyllaceae,,Acanthophyllum,,"adenophorum",,"","Freyn",Accepted,,M,WCSP (in review),747435,150211-1,"Bull. Herb. Boissier","II, 3: 867","","1903"
kew-2615031,A,Caryophyllaceae,,Acanthophyllum,,"albidum",,"","Schischk.",Accepted,,M,WCSP (in review),747436,150212-1,"Fl. URSS","6: 893","","1936"
kew-2615034,A,Caryophyllaceae,,Acanthophyllum,,"andarabicum",,"","Podlech ex Schiman-Czeika",Accepted,,M,WCSP (in review),747439,935233-1,"in Fl. Iran.","163: 317","","1988"
kew-2615035,A,Caryophyllaceae,,Acanthophyllum,,"andersenii",,"","Schiman-Czeika",Accepted,,M,WCSP (in review),747440,935229-1,"in Fl. Iran.","163: 301","","1988"
kew-2615036,A,Caryophyllaceae,,Acanthophyllum,,"anisocladum",,"","Schiman-Czeika",Accepted,,M,WCSP (in review),747441,941037-1,"in Fl. Iran.","163: 326","","1988"
kew-2615038,A,Caryophyllaceae,,Acanthophyllum,,"bilobum",,"","Schiman-Czeika",Accepted,,M,WCSP (in review),747443,935235-1,"in Fl. Iran.","163: 328","","1988"
kew-2615040,A,Caryophyllaceae,,Acanthophyllum,,"bracteatum",,"","Boiss.",Accepted,,M,WCSP (in review),747445,150216-1,"Diagn. Pl. Orient.","1: 43","","1843"
kew-2615041,A,Caryophyllaceae,,Acanthophyllum,,"brevibracteatum",,"","Lipsky",Accepted,,M,WCSP (in review),747446,150217-1,"Zap. Kievsk. Obsc. Estestvoisp.","12: 6","","1889"
kew-2615044,A,Caryophyllaceae,,Acanthophyllum,,"caespitosum",,"","Boiss.",Accepted,,M,WCSP (in review),747449,150220-1,"Diagn. Pl. Orient.","1: 42","","1843"
kew-2615045,A,Caryophyllaceae,,Acanthophyllum,,"campylacme",,"","Rech.f.",Unresolved,,L,WCSP (in review),747450,150221-1,"Bot. Jahrb. Syst.","75: 359","","1951"
kew-2615047,A,Caryophyllaceae,,Acanthophyllum,,"coloratum",,"","(Preobr.) Schischk.",Accepted,,M,WCSP (in review),747452,,"Trudy Bot. Inst. Akad. Nauk S.S.S.R., Ser. 1, Fl. Sist. Vyssh. Rast.","3: 182","","1937"
kew-2615050,A,Caryophyllaceae,,Acanthophyllum,,"conjungens",,"","Rech.f.",Unresolved,,L,WCSP (in review),747455,150225-1,"Anz. Österr. Akad. Wiss., Math.-Naturwiss. Kl.","98: 10","","1961"
kew-2615051,A,Caryophyllaceae,,Acanthophyllum,,"crassifolium",,"","Boiss.",Accepted,,M,WCSP (in review),747456,150226-1,"Diagn. Pl. Orient.","1: 42","","1843"
kew-2615053,A,Caryophyllaceae,,Acanthophyllum,,"cyrtostegium",,"","Vved.",Accepted,,M,WCSP (in review),747458,978235-1,"Bot. Mater. Gerb. Bot. Inst. Uzbekistansk. Fil. Akad. Nauk S.S.S.R.","3: 7","","1941"
kew-2615054,A,Caryophyllaceae,,Acanthophyllum,,"diezianum",,"","Hand.-Mazz.",Accepted,,M,WCSP (in review),747459,150228-1,"Verh. K. K. Zool.-Bot. Ges. Wien","72: 31","","1922 publ. 1923"
tro-6303379,A,Caryophyllaceae,,Acanthophyllum,,"elandulosum",,"","Bunge",Unresolved,,L,TRO,6303379,,"","","",""
kew-2615055,A,Caryophyllaceae,,Acanthophyllum,,"elatius",,"","Bunge",Accepted,,M,WCSP (in review),747460,150229-1,"Fl. Orient.","1: 561","","1867"
kew-2615057,A,Caryophyllaceae,,Acanthophyllum,,"fissicalyx",,"","Rech.f.",Accepted,,M,WCSP (in review),747462,150231-1,"Oesterr. Bot. Z.","104: 174","","1957"
