ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2723255,A,Cistaceae,,Cistus,,"acutifolius",,"","Sweet",Unresolved,,L,WCSP (in review),853633,168156-1,"Cistineae","t. 78","","1828"
kew-2723258,A,Cistaceae,,Cistus,×,"aguilari",,"","O.E.Warb.",Accepted,,M,WCSP (in review),853636,168160-1,"J. Roy. Hort. Soc.","56: 222","","1931"
kew-2603959,A,Cistaceae,,Cistus,×,"akamantis",,"","Demoly",Accepted,,M,WCSP (in review),737193,77077304-1,"Biocosme Mésogéen","23: 8","","2006"
kew-2723263,A,Cistaceae,,Cistus,×,"albereensis",,"","Gaut. ex Rouy & Fouc.",Accepted,,M,WCSP (in review),853641,,"Fl. France","2: 268","","1895"
kew-2723264,A,Cistaceae,,Cistus,,"albidus",,"","L.",Accepted,,M,WCSP (in review),853642,168163-1,"Sp. Pl.","524","","1753"
kew-2723266,A,Cistaceae,,Cistus,,"albissimus",,"","Noronha",Unresolved,,L,WCSP (in review),853644,168164-1,"Verh. Batav. Genootsch. Kunsten","5(4): 10","","1790"
kew-2723267,A,Cistaceae,,Cistus,,"algarvensis",,"","Sims",Unresolved,,L,WCSP (in review),853645,168165-1,"Bot. Mag.","17: t. 627","","1803"
kew-2723269,A,Cistaceae,,Cistus,,"alternifolius",,"","Vahl",Unresolved,,L,WCSP (in review),853647,168167-1,"Symb. Bot.","1: 38","","1790"
kew-2723272,A,Cistaceae,,Cistus,,"angustifolius",,"","Jacq.",Unresolved,,L,WCSP (in review),853650,168172-1,"Hort. Bot. Vindob.","3: 29","","1777"
kew-2723279,A,Cistaceae,,Cistus,×,"argenteus",,"","Dans.",Unresolved,,L,WCSP (in review),853657,168178-1,"Contr. Inst. Bot. Univ. Montréal","37: 5","","1941"
kew-2723281,A,Cistaceae,,Cistus,,"asper",,"","Demoly & R.Mesa",Accepted,,M,WCSP (in review),853659,77072800-1,"Biocosme Mesogeen","22: 117","","2005"
kew-2606700,A,Cistaceae,,Cistus,×,"banaresii",,"","Demoly",Accepted,,M,WCSP (in review),739746,77090028-1,"J. Bot. Soc. Bot. France","36: 30","","2006 publ. 2007"
kew-2723285,A,Cistaceae,,Cistus,,"barbatus",,"","Lam.",Unresolved,,L,WCSP (in review),853663,168183-1,"Encycl.","2: 24","","1786"
kew-2723287,A,Cistaceae,,Cistus,×,"bernardii",,"","Sennen",Unresolved,,L,WCSP (in review),853665,168185-1,"Monde Pl.","32: 23","","1931"
kew-2723288,A,Cistaceae,,Cistus,×,"bornetianus",,"","Demoly",Unresolved,,L,WCSP (in review),853666,990322-1,"Anales Jard. Bot. Madrid","54: 253","","1996"
kew-2723289,A,Cistaceae,,Cistus,×,"bornetii",,"","Sennen",Unresolved,,L,WCSP (in review),853667,168186-1,"Monde Pl.","32: 30","","1931"
