ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35157871,B,Climaciaceae,,Climacium,,"acuminatum",,"","Warnst.",Accepted,,M,TRO,35157871,,"Hedwigia","57: 129. 62","129","1915"
tro-35157872,B,Climaciaceae,,Climacium,,"americanum",,"","Brid.",Accepted,,M,TRO,35157872,,"Muscol. Recent. Suppl.","2: 45","45","1812"
tro-35157877,B,Climaciaceae,,Climacium,,"dendroides",,"","(Hedw.) F. Weber & D. Mohr",Accepted,,M,TRO,35157877,,"Naturh. Reise Schwedens","96","96","1804"
tro-35157879,B,Climaciaceae,,Climacium,,"dendroides",var.,"depauperatum","(Boulay) Mans.",Accepted,,L,TRO,35157879,,"Bull. Soc. Roy. Bot. Belgique","41(2): 155","155","1904"
tro-35157890,B,Climaciaceae,,Climacium,,"japonicum",,"","Lindb.",Accepted,,M,TRO,35157890,,"Contr. Fl. Crypt. As.","232","232","1872"
tro-35157892,B,Climaciaceae,,Climacium,,"longirostre",,"","(Hook.) Brid.",Accepted,,M,TRO,35157892,,"Bryol. Univ.","2: 275","275","1827"
tro-35157894,B,Climaciaceae,,Climacium,,"lutescens",,"","(Hedw.) Voit",Accepted,,M,TRO,35157894,,"Hist. Musc. Frond.","79","79","1812"
tro-35157899,B,Climaciaceae,,Climacium,,"ramulosum",,"","(Mitt.) A. Jaeger",Accepted,,M,TRO,35157899,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1877–78: 298 (Gen. Sp. Musc. 2: 364)","298 ","1880"
tro-35157900,B,Climaciaceae,,Climacium,,"ruthenicum",,"","(Weinm.) Lindb.",Accepted,,M,TRO,35157900,,"Contr. Fl. Crypt. As.","248","248","1872"
tro-35157901,B,Climaciaceae,,Climacium,,"sulcatum",,"","(Hook.) Brid.",Accepted,,M,TRO,35157901,,"Bryol. Univ.","2: 274","274","1827"
