ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2641162,A,Combretaceae,,Anogeissus,,"acuminata",,"","(Roxb. ex DC.) Wall. ex Guillem. & Perr.",Accepted,,M,WCSP (in review),773266,60452260-2,"Fl. Seneg. Tent.","280","","1832"
kew-2641165,A,Combretaceae,,Anogeissus,,"acuminata",var.,"phillyreifolia","(Van Heurck & Müll.Arg.) Kurz",Accepted,,L,WCSP (in review),773269,,"Forest Fl. Burma","466","","1877"
kew-2641166,A,Combretaceae,,Anogeissus,,"bentii",,"","Baker",Accepted,,M,WCSP (in review),773270,169725-1,"Hooker's Icon. Pl.","24: t. 2354","","1895"
kew-2641168,A,Combretaceae,,Anogeissus,,"dhofarica",,"","A.J.Scott",Accepted,,M,WCSP (in review),773272,169727-1,"Kew Bull.","33: 559","","1979"
kew-2641173,A,Combretaceae,,Anogeissus,,"latifolia",,"","(Roxb. ex DC.) Wall. ex Guillem. & Perr.",Accepted,,M,WCSP (in review),773277,60452261-2,"Fl. Seneg. Tent.","280","","1832"
tro-8200750,A,Combretaceae,,Anogeissus,,"latifolia",,"","(Roxb. ex DC.) Wall. ex Bedd.",Unresolved,,L,TRO,8200750,,"","","",""
kew-2641178,A,Combretaceae,,Anogeissus,,"leiocarpa",,"","(DC.) Guill. & Perr.",Accepted,,M,WCSP (in review),773282,,"Fl. Seneg. Tent.","280","","1832"
kew-2641183,A,Combretaceae,,Anogeissus,,"pendula",,"","Edgew.",Accepted,,M,WCSP (in review),773287,,"J. Asiat. Soc. Bengal","21: 171","","1853"
kew-2641186,A,Combretaceae,,Anogeissus,,"rivularis",,"","(Gagnep.) O.Lecompte",Accepted,,L,WCSP (in review),773290,169738-1,"in Fl. Camb., Laos & Vietn.","10: 111","","1969"
kew-2641189,A,Combretaceae,,Anogeissus,,"sericea",,"","Brandis",Accepted,,M,WCSP (in review),773293,169741-1,"Indian Forester","25: 287","","1899"
kew-2641190,A,Combretaceae,,Anogeissus,,"sericea",var.,"nummularia","King ex Duthie",Accepted,,L,WCSP (in review),773294,,"Fl. Gangetic Plain","1(1): 340","","1903"
kew-2684042,A,Combretaceae,,Bruguiera,,"madagascariensis",,"","DC.",Unresolved,,L,WCSP (in review),815724,169745-1,"Prodr.","3: 23","","1828"
kew-2684733,A,Combretaceae,,Buceras,,"angustifolia",,"","Hitchc.",Unresolved,,L,WCSP (in review),816414,37615-2,"Rep. (Annual) Missouri Bot. Gard.","4: 85","","1893"
kew-2684734,A,Combretaceae,,Buceras,,"angustifolium",,"","(Jacq.) Lyons",Unresolved,,L,WCSP (in review),816415,169747-1,"Pl. Nam.","71","","1900"
