ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
ifn-59146,A,Convolvulaceae,,Amphione,,"asarifolia",,"","Raf.",Unresolved,,L,IPNI,265071-1,265071-1,"Fl. Tellur.","4: 79","","1838 [1836 publ. mid-1838]"
ifn-59147,A,Convolvulaceae,,Amphione,,"chenopodia",,"","Raf.",Unresolved,,L,IPNI,265072-1,265072-1,"Fl. Tellur.","4: 79","","1838 [1836 publ. mid-1838]"
ifn-59148,A,Convolvulaceae,,Amphione,,"cymosa",,"","Raf.",Unresolved,,L,IPNI,265073-1,265073-1,"Fl. Tellur.","4: 79","","1838 [1836 publ. mid-1838]"
ifn-59149,A,Convolvulaceae,,Amphione,,"lobata",,"","Raf.",Unresolved,,L,IPNI,265074-1,265074-1,"Fl. Tellur.","4: 79","","1838 [1836 publ. mid-1838]"
ifn-59150,A,Convolvulaceae,,Amphione,,"splendens",,"","Raf.",Unresolved,,L,IPNI,265075-1,265075-1,"Sylva Tellur.","130","","1838"
ifn-59151,A,Convolvulaceae,,Amphione,,"venosa",,"","Raf.",Unresolved,,L,IPNI,265076-1,265076-1,"Fl. Tellur.","4: 79","","1838 [1836 publ. mid-1838]"
tro-50149115,A,Convolvulaceae,,Aniseia,,"afzelii",,"","G. Don",Unresolved,,L,TRO,50149115,265077-1,"Gen. Hist.","4: 295","295","1837"
tro-8502647,A,Convolvulaceae,,Aniseia,,"argentina",,"","(N.E. Br.) O'Donell",Accepted,,M,TRO,8502647,13953-2,"Lilloa","23: 473","473","1950"
tro-50149120,A,Convolvulaceae,,Aniseia,,"bracteata",,"","Hassk.",Unresolved,,L,TRO,50149120,,"Pl. Rar. Java","516","516","1848"
ifn-59158,A,Convolvulaceae,,Aniseia,,"calystegioides",,"","Choisy",Unresolved,,L,IPNI,265085-1,265085-1,"Prodr. (DC.)","9: 431","","1845 [1 Jan 1845]"
ifn-59159,A,Convolvulaceae,,Aniseia,,"carnea",,"","Griseb.",Unresolved,,L,IPNI,265086-1,265086-1,"Fl. Brit. W.I. [Grisebach]","471, sphalm.","","1862 [prob. May 1862]"
tro-8501587,A,Convolvulaceae,,Aniseia,,"cernua",,"","Moric.",Accepted,,M,TRO,8501587,13955-2,"Pl. Nouv. Amer.","56–58, t. 38","56","1837"
tro-8500075,A,Convolvulaceae,,Aniseia,,"eliadis",,"","Standl.",Unresolved,,L,TRO,8500075,,"","","",""
tro-50162594,A,Convolvulaceae,,Aniseia,,"harmandii",,"","(Gagnep.) P.H. Hô",Accepted,,M,TRO,50162594,976729-1,"Cayco Vietnam","2(2): 978","978","1993"
tro-50149128,A,Convolvulaceae,,Aniseia,,"heterophylla",,"","(Ortega) Meisn.",Accepted,,M,TRO,50149128,1172996-2,"Fl. Bras.","7: 321","321","1869"
tro-8500612,A,Convolvulaceae,,Aniseia,,"martinicensis",,"","(Jacq.) Choisy",Accepted,,M,TRO,8500612,30070865-2,"Mém. Soc. Phys. Genève","8(1): 66","66","1838"
tro-8503120,A,Convolvulaceae,,Aniseia,,"martinicensis",var.,"ambigua","Hallier f.",Accepted,,L,TRO,8503120,13964-2,"Bot. Jahrb. Syst.","18: 96","96","1893"
tro-50332663,A,Convolvulaceae,,Aniseia,,"media",,"","Choisy",Unresolved,,L,TRO,50332663,,"","","",""
tro-8500080,A,Convolvulaceae,,Aniseia,,"minor",,"","Pilg.",Accepted,,M,TRO,8500080,13967-2,"Revista Mus. Paul. Univ. São Paulo","13: 1252","1252","1922"
tro-50149136,A,Convolvulaceae,,Aniseia,,"syringifolia",,"","Dammer",Unresolved,,L,TRO,50149136,13969-2,"Bot. Jahrb. Syst.","23(Beibl. 57): 38","38","1897"
ifn-59175,A,Convolvulaceae,,Anthanema,,"capitata",,"","Raf.",Unresolved,,L,IPNI,265110-1,265110-1,"Fl. Tellur.","4: 90","","1838 [1836 publ. mid-1838]"
ifn-59176,A,Convolvulaceae,,Anthanema,,"paradoxa",,"","Raf.",Unresolved,,L,IPNI,265111-1,265111-1,"Fl. Tellur.","4: 90","","1838 [1836 publ. mid-1838]"
ifn-59177,A,Convolvulaceae,,Anthanema,,"verticillata",,"","Raf.",Unresolved,,L,IPNI,265112-1,265112-1,"Fl. Tellur.","4: 90","","1838 [1836 publ. mid-1838]"
ifn-59178,A,Convolvulaceae,,Aplostylis,,"lupuliformis",,"","Raf.",Unresolved,,L,IPNI,265114-1,265114-1,"Fl. Tellur.","4: 91","","1838 [1836 publ. mid-1838]"
